,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
03/01/2009 10.00,"2,875261","122,13869","59,567116","1,333744","12,052978","1138,270022","197,725591","18,0723","7,3763","11,31651"
03/01/2009 11.00,"3,503772","136,105813","59,398402","1,380071","13,256783","1116,833957","273,375713","18,0723","5,964706","11,31651"
03/01/2009 12.00,"2,429161","57,170636","42,378102","0,905381","29,470938","1030,694444","102,130526","18,0723","7,066625","11,31651"
03/01/2009 13.00,"2,757866","88,930943","49,624124","0,941489","22,853383","988,156557","149,609139","18,0723","3,103884","11,31651"
03/01/2009 14.00,"2,445417","78,227014","48,226315","1,023372","24,497283","1020,394156","124,557455","18,0723","3,617977","11,31651"
03/01/2009 15.00,"2,458059","49,617049","41,347593","0,851751","24,543327","973,882855","85,086091","18,0723","3,197448","11,31651"
03/01/2009 16.00,"2,600738","65,326003","45,239906","0,865682","21,996231","965,902231","123,384628","18,0723","2,445885","11,31651"
03/01/2009 17.00,"2,403877","55,096745","39,921241","0,841926","24,59073","989,162995","130,910004","18,0723","2,87455","11,31651"
03/01/2009 18.00,"2,196179","47,967298","34,044458","0,934308","30,207592","1003,403381","76,05218","18,0723","3,059644","11,31651"
03/01/2009 19.00,"2,42555","65,905758","46,938835","1,028897","17,573702","1034,913875","94,435606","18,0723","2,904043","11,31651"
03/01/2009 20.00,"2,391234","45,543247","40,21456","0,893661","31,824399","983,345741","82,481231","18,0723","3,882906","11,31651"
03/01/2009 21.00,"2,203404","23,582875","22,231244","0,723973","53,029855","943,256359","66,69933","18,0723","2,879127","11,31651"
03/01/2009 22.00,"2,102263","12,850423","13,477099","0,618649","64,157967","938,146171","55,156931","18,0723","1,992811","11,31651"
03/01/2009 23.00,"2,26481","10,016535","10,882659","0,598208","67,345558","935,378675","50,515396","18,0723","1,512279","11,31651"
