,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
06/03/2009 6.00,"2,192566","10,849192","11,517308","0,700493","71,147902","940,289442","24,260939",,"0,679254",
06/03/2009 7.00,"2,393041","8,615803","9,574403","1,216659","91,071015","868,682329","33,029037",,"0,731325",
06/03/2009 8.00,"2,364144","34,673317","32,227447","1,736415","73,850731","870,662905","38,899904",,"0,719172",
06/03/2009 9.00,"2,430968","28,970509","26,265029","1,266697","78,097229","868,728865","38,511178",,"1,073443",
06/03/2009 10.00,"2,295513","20,94095","19,009925","0,880006","81,352529","861,861507","53,2631",,"1,039069",
06/03/2009 11.00,"2,190761","18,367754","16,721781","0,781154","84,376269","855,957522","47,491918",,"0,925826",
06/03/2009 12.00,"2,035439","16,561068","15,292822","1,06911","85,089881","850,103002","50,040272",,"0,917741",
06/03/2009 13.00,"2,364144","17,168054","14,728244","1,555915","86,060791","858,449152","37,753639",,"0,74363",
06/03/2009 14.00,"2,138385","22,318335","21,473288","1,584801","76,938116","860,070543","36,829988",,"0,838567",
06/03/2009 15.00,"2,259391","16,66353","17,207183","0,545012","79,319987","860,980979","57,565749",,"0,986998",
06/03/2009 16.00,"2,055306","23,078355","21,917159","0,623936","81,645016","855,562088","43,405219",,"0,942505",
06/03/2009 17.00,"2,263004","17,502672","16,877524","0,612059","86,961274","856,146655","26,739515",,"0,755021",
06/03/2009 18.00,"2,575454","16,73227","17,464165","0,535778","85,620709","855,196502","31,151809",,"0,733969",
06/03/2009 19.00,"2,320798","21,223678","21,33182","0,557798","85,62612","855,940833","19,699137",,"0,641015",
06/03/2009 20.00,"2,167282","16,813979","17,532943","0,480294","89,41628","856,276512","28,330997",,"0,612488",
06/03/2009 21.00,"2,194373","11,580688","12,166252","0,542645","89,039843","862,369631","29,90919",,"0,600589",
06/03/2009 22.00,"2,439998","7,515969","8,342721","0,60673","87,998531","865,330207","47,584941",,"0,974337",
06/03/2009 23.00,"2,712714","12,703867","11,839187","0,515376","84,885415","867,47641","44,504975",,"1,356475",
07/03/2009 0.00,"2,358725","7,619725","8,094828","0,513837","85,63424","867,140791","64,300464",,"1,855516",
07/03/2009 1.00,,"4,435652","5,761256","0,743191","88,575385","864,645691","24,613111",,"1,48482",
07/03/2009 2.00,"2,490568",,,"0,740113","88,786617","864,608965","27,859205",,"0,757156",
07/03/2009 3.00,"2,284676","4,414901","5,611999",,"85,324157","864,831893","50,734661",,"0,96732",
07/03/2009 4.00,"2,349695","4,627606","5,954637","0,529661",,"870,423288","54,987488",,"0,891248",
07/03/2009 5.00,"2,557393","52,873759","40,515663","0,482148","60,885065","868,901848","66,822241",,"0,964319",
07/03/2009 6.00,"2,772314","6,624946","7,779446","0,595919","80,982857","870,211127","45,694422",,"1,573299",
07/03/2009 7.00,"2,331634","38,966291","36,97766","0,641419","51,831458","873,782707","43,999961",,"0,953132",
07/03/2009 8.00,"2,497792","74,657747","61,436054","0,836678","33,591531","903,479148","64,466598",,"1,349051",
07/03/2009 9.00,"2,7976","66,115867","53,77731","0,865445","38,138656","905,515591","84,076027",,"2,117394",
07/03/2009 10.00,"2,680206","38,706909","33,337133","0,684235","56,110471","892,740839","53,891063",,"1,740087",
07/03/2009 11.00,"2,676593","26,772147","22,580375","0,601602","66,210821","887,062713","49,382417",,"1,381086",
07/03/2009 12.00,"2,784958","21,300214","17,684801","0,570268","70,882508","891,747082","39,700625",,"1,167516",
07/03/2009 13.00,"2,701878","21,516806","18,218223","0,612848","73,948226","885,414824","40,48141",,"1,107513",
07/03/2009 14.00,"3,265371","69,70458","50,406742","0,775866","58,308206","906,220206","86,797151",,"1,632793",
07/03/2009 15.00,"2,698266","46,580831","37,511088","0,675237","66,201323","898,883963","47,621476",,"1,997388",
07/03/2009 16.00,"2,514047","16,823058","15,748379","0,572438","87,146783","881,148379","46,657959",,"1,269724",
07/03/2009 17.00,"2,698266","16,489736","16,074143","0,545762","86,771686","881,766801","25,437097",,"1,02417",
07/03/2009 18.00,"2,616993","17,157675","17,405757","0,560916","87,80083","883,464155","36,906408",,"0,987914",
07/03/2009 19.00,"2,615187","34,298486","33,242395","0,730919","71,275208","900,754779","54,79145",,"1,289556",
07/03/2009 20.00,"2,638665","32,686327","29,534376","0,785968","77,602969","965,324543","38,418136",,"1,34244",
07/03/2009 21.00,"2,622412","35,381462","31,438346","0,595406","77,959117","945,831311","41,155885",,"1,266165",
07/03/2009 22.00,"2,528496","34,819851","30,384471","1,762263","69,954931","909,998146","52,572023",,"1,267182",
07/03/2009 23.00,"2,88971","48,159224","39,714876","0,964732","44,463723","973,358043","47,937113",,"2,396052",
08/03/2009 0.00,"3,538088","41,525235","35,892638","0,837506","35,395211","1000,236505","41,850293",,"5,166868",
08/03/2009 1.00,"3,38999","27,744877","26,226081","0,687827","37,764909","984,332619","42,435058",,"3,2544",
08/03/2009 2.00,"3,063092","37,649862","31,878334","0,954038","29,698448","991,860986","38,232076",,"1,837719",
08/03/2009 3.00,"3,384572","44,030989","32,924408","0,904394","22,830362","994,505981","41,129309",,"4,49514",
08/03/2009 4.00,"3,362899","36,891142","30,791996","1,1755","24,931954","1000,542277","40,733935",,"4,20682",
08/03/2009 5.00,"3,424306","46,388886","34,179446","0,829496","25,755271","982,425017","36,338245",,"4,154953",
08/03/2009 6.00,"3,509191","26,691729","22,659532","0,833442","31,411395","1002,286705","46,544984",,"4,654809",
08/03/2009 7.00,"3,281626","35,936557","25,758846","0,696153","29,002433","966,649971","42,823785",,"2,329947",
08/03/2009 8.00,"3,036001","48,9854","30,218337","1,040815","30,963198","998,007998","39,125835",,"2,30503",
08/03/2009 9.00,"3,698828","53,596149","27,356532","0,849896","35,106773","966,54709","34,763383",,"4,718372",
08/03/2009 10.00,"7,146612","63,115961","34,071725","0,9744","38,81029","962,500164","43,242422",,"3,577806",
08/03/2009 11.00,"13,173455","50,605342","29,50191","0,88857","51,614799","939,840594","36,421309",,"3,314911",
08/03/2009 12.00,"11,553414","64,68011","39,190532","0,844886","58,580363","936,371894","34,80325",,"2,744374",
08/03/2009 13.00,"12,046476","74,49951","45,674694","0,94212","58,365063","946,203237","33,278213",,"3,161344",
08/03/2009 14.00,"14,329346","57,599935","39,739522","0,777168","66,921716","937,697801","23,795773",,"3,211686",
08/03/2009 15.00,"14,311284","43,215156","32,137888","0,779773","71,399796","932,866409","14,758573",,"3,314911",
08/03/2009 16.00,"11,259023","38,735438","29,141116","0,905816","74,818923","927,012428","18,841931",,"2,631996",
08/03/2009 17.00,"10,914068","47,934852","38,798569","1,228616","67,248062","939,249149","27,659873",,"4,104612",
08/03/2009 18.00,"7,91961","36,317846","31,919865","0,707675","72,223088","925,324344","13,931265",,"3,785782",
08/03/2009 19.00,"15,79045","89,714309","73,789205","0,857513","41,351962","968,530597","30,693307",,"3,509667",
08/03/2009 20.00,"10,457129","48,401762","43,055599","0,69564","62,966351","978,428095","21,549768",,"4,087323",
08/03/2009 21.00,"5,546436","40,616042","39,512414","0,726697","64,046925","1065,557418","26,752824",,"2,112818",
08/03/2009 22.00,"4,365267","66,602226","60,977922","0,875035","39,181319","1011,486946","51,645041",,"2,696575",
08/03/2009 23.00,"3,935423","92,746643","78,043629","0,941883","24,242701","1036,043292","140,761266",,"3,023541",
09/03/2009 0.00,"3,671737","53,271934","51,750037","0,677053","34,506916","1037,681849","98,256486",,"3,714084",
09/03/2009 1.00,,"49,991858","48,677989","0,665372","35,458853","1004,204058","70,287621",,"1,609911",
09/03/2009 2.00,"3,294268",,,"0,754201","29,040336","1073,862894","68,61974",,"1,75941",
09/03/2009 3.00,"3,23828","29,617701","30,484411",,"35,285524","944,163385","32,786489",,"1,663812",
09/03/2009 4.00,"3,315942","25,726781","25,821158","0,663005",,"938,15598","31,158473",,"1,300234",
09/03/2009 5.00,"3,070316","24,690496","25,091748","0,640274","29,34637","947,588959","31,128564",,"1,262605",
09/03/2009 6.00,"3,294268","31,844608","29,782249","0,66407","24,244057","969,806559","27,80605",,"1,12531",
09/03/2009 7.00,"3,594076","125,976438","53,37887","1,17175","13,824165","1000,273769","85,082756",,"1,710085",
09/03/2009 8.00,"3,693409","139,47791","59,920146","0,956445","14,196542","1025,451468","65,67266",,"3,148123",
09/03/2009 9.00,"3,639227","153,48008","72,907944","1,045827","17,833699","1035,375403","112,938595",,"2,334523",
09/03/2009 10.00,"4,563935","73,786164","53,721499","0,762053","54,936434","961,802428","78,902899",,"2,705728",
09/03/2009 11.00,"5,477806","37,075304","31,707002","0,643826","82,637592","928,228575","47,325787",,"1,73551",
09/03/2009 12.00,"6,236355","45,962165","37,303426","0,615847","86,559122","911,47987","39,810265",,"1,207179",
09/03/2009 13.00,"5,911261","31,01325","27,085277","0,616124","92,773147","907,492758","34,510877",,"1,090987",
09/03/2009 14.00,"4,182855","25,725481","23,134549","0,620661","91,974208","902,834827","58,50269",,"1,075477",
09/03/2009 15.00,"3,778295","24,912288","22,235145","0,599155","89,238884","896,332517","60,100812",,"1,077511",
09/03/2009 16.00,"3,343033","20,93835","18,57384","0,565572","89,914612","890,521125","45,926996",,"0,999609",
09/03/2009 17.00,"3,364706","20,339149","19,163058","0,571057","83,292985","885,870012","51,744726",,"0,970116",
09/03/2009 18.00,"3,258148","24,768314","24,124831","0,575003","75,739719","885,294777","63,310355",,"1,068358",
09/03/2009 19.00,"3,113662","16,396353","15,333052","0,586961","82,146041","883,584203","105,977987",,"1,813158",
09/03/2009 20.00,"2,960146","8,650821","9,059148","0,565256","85,301113","882,912905","46,824086",,"1,268504",
09/03/2009 21.00,"2,849976","57,763354","38,147037","0,613479","63,432163","881,849584","132,30555",,"1,118242",
09/03/2009 22.00,"3,198547","112,961303","62,496412","0,719988","46,3473","911,403427","86,149271",,"1,55245",
09/03/2009 23.00,"3,171456","47,822044","42,555919","1,275812","73,204812","946,987225","27,746251",,"2,76268",
10/03/2009 0.00,"2,981818","16,492329","16,312946","0,748875","90,762287","928,334925","22,347175",,"5,138392",
10/03/2009 1.00,"3,162426","9,489963","9,836572","0,556812","90,435941","911,310356","27,018621",,"1,421766",
10/03/2009 2.00,"2,952922","9,528872","10,062403","0,564428","87,23345","926,151937","16,602565",,"0,776937",
10/03/2009 3.00,"2,965564","8,991925","9,737934","0,571373","82,018759","934,710787","17,689022",,"0,983286",
10/03/2009 4.00,"3,070316","9,261696","9,917041","0,551801","78,827097","943,581749","23,659572",,"0,926334",
10/03/2009 5.00,"3,106438","10,845301","11,326527","0,554444","75,922519","930,195454","32,444272",,"0,967675",
10/03/2009 6.00,"3,176874","35,560446","32,83095","1,094405","61,977846","986,797812","22,563128",,"1,318235",
10/03/2009 7.00,"3,561566","87,763667","62,051263","1,056482","45,077146","988,957234","39,291965",,"4,783459",
10/03/2009 8.00,"3,500161","107,699459","70,782049","0,965088","39,162351","985,488534","45,966881",,"2,292826",
10/03/2009 9.00,"4,101581","101,846213","68,218743","1,094563","46,645195","977,056071","42,727431",,"4,945671",
10/03/2009 10.00,"9,248876","85,652169","56,235474","0,893779","57,72728","941,279252","20,805518",,"5,154156",
10/03/2009 11.00,"17,237112","96,426155","60,887064","1,018914","57,517406","948,921266","23,586464",,"3,141513",
10/03/2009 12.00,"13,420891","61,379309","41,694121","0,787745","71,770807","930,464439","13,824948",,"3,1527",
10/03/2009 13.00,"15,219729","72,681161","48,33404","0,942751","70,631999","928,427997","11,465973",,"3,297114",
10/03/2009 14.00,"13,209578","64,816283","43,945941","0,830009","73,854802","925,57377","11,711833",,"2,819632",
10/03/2009 15.00,"10,016455","47,552261","33,867961","0,689247","79,496044","921,789489","3,518535",,"2,370118",
10/03/2009 16.00,"7,739003","50,185123","37,306026","0,69852","80,216414","918,284003","15,39317",,"2,034508",
10/03/2009 17.00,"9,718454","58,250989","44,644186","0,723815","74,481748","923,091889","11,007466",,"2,351304",
10/03/2009 18.00,"4,771633","46,146349","43,346319","0,692088","66,531733","916,493577","26,719582",,"1,5255",
10/03/2009 19.00,"4,161181","49,152739","47,569601","0,730642","58,587143","917,676408","34,238437",,"1,540246",
10/03/2009 20.00,"4,060042","44,71709","42,805108","0,765014","57,904677","917,736223","36,394733",,"1,692796",
10/03/2009 21.00,"3,4821","49,278548","48,109514","0,746821","50,322978","919,822611","38,085897",,"1,943995",
10/03/2009 22.00,"3,408051","45,482272","45,328163","0,690588","47,647242","920,526746","31,759842",,"1,598724",
10/03/2009 23.00,"3,377348","41,03368","41,808344","0,658348","48,229523","923,919004","24,380538",,"1,680592",
11/03/2009 0.00,"3,476681","44,872726","44,963471","0,592723","40,260558","941,545306","27,081751",,"1,462446",
11/03/2009 1.00,,"25,617835","26,575212","0,665135","55,693399","945,645109","25,354031",,"1,483803",
11/03/2009 2.00,"3,496549",,,"0,6134","70,896039","964,988864","20,546366",,"1,584486",
11/03/2009 3.00,"3,180486","9,917966","10,89044",,"72,055174","966,968962","30,78966",,"1,191924",
11/03/2009 4.00,"3,256341","9,875164","10,798293",,,"970,504295","24,051611",,"1,084122",
11/03/2009 5.00,"3,281626","30,641024","27,803003",,"58,839015","955,825349","74,82949",,"1,036425",
11/03/2009 6.00,"3,447784","29,52172","27,827668",,"79,816956","921,882561","41,883516",,"1,928232",
11/03/2009 7.00,"3,556149","46,860978","45,155551",,"64,236505","926,381266","32,537295",,"1,217349",
11/03/2009 8.00,"3,438755","56,850278","49,456708",,"52,516638","923,875937","44,468421",,"1,325151",
11/03/2009 9.00,"3,306911","77,426764","64,497745",,"45,430557","938,797371","51,00712",,"1,528551",
11/03/2009 10.00,"3,489324","42,094592","36,462411",,"67,272438","930,99607","51,993901",,"1,652625",
11/03/2009 11.00,"3,138947","31,677309","28,852978",,"75,227856","913,964682","54,9908",,"1,338372",
11/03/2009 12.00,"3,33942","21,534951","19,904149",,"84,590218","900,382375","51,877615",,"1,023509",
11/03/2009 13.00,"3,140753","26,030272","25,230616",,"77,379568","900,027137","51,694863",,"0,920029",
11/03/2009 14.00,"3,108244","32,179207","30,349423",,"71,307704","906,333434","65,682641",,"1,055137",
11/03/2009 15.00,"3,18771","33,151957","30,324778",,"72,424846","903,718287","53,000616",,"1,334304",
11/03/2009 16.00,"3,05045","24,888943","22,36233",,"76,862279","897,860837","47,14637",,"1,1187",
11/03/2009 17.00,"3,285238","22,914938","22,414241",,"83,8793","894,711127","53,947531",,"1,031746",
11/03/2009 18.00,"3,070316","27,268885","27,568094",,"72,959722","897,940689","66,460109",,"0,951556",
11/03/2009 19.00,"3,091989","39,619967","37,971842",,"65,207415","898,977034","84,17238",,"1,400409",
11/03/2009 20.00,"2,998073","84,505658","64,113586",,"47,311425","922,178044","79,959439",,"1,481769",
11/03/2009 21.00,"3,095601","88,945188","71,547786",,"47,976297","991,216605","62,811981",,"2,186041",
11/03/2009 22.00,"2,970982","68,919931","61,297189",,"42,488053","1080,92734","64,775592",,"3,833073",
11/03/2009 23.00,"3,126305","40,522639","37,638272",,"64,955544","977,494631","52,379316",,"3,216771",
12/03/2009 0.00,"2,89874","34,555269","34,327417",,"68,265006","1019,341182","48,033467",,"2,871499",
12/03/2009 1.00,"3,064898","31,84979","31,31374",,"67,768037","995,240024","48,614919",,"4,368015",
12/03/2009 2.00,"2,893321","46,517277","45,482615",,"54,203873","1008,445979","48,335818",,"6,155901",
12/03/2009 3.00,"3,097408","41,636763","40,439086",,"61,097674","973,078769","37,727062",,"6,293197",
12/03/2009 4.00,"3,073928","22,824155","22,203979",,"71,674666","949,731752","32,234944",,"4,659385",
12/03/2009 5.00,"3,032389","26,31302","25,553784",,"76,186574","939,514725","31,706666",,"2,19672",
12/03/2009 6.00,"3,108244","31,913344","30,936065",,"67,406501","941,093049","34,89296",,"3,302199",
12/03/2009 7.00,"3,212996","59,148501","47,888869",,"54,152419","948,103483","36,182092",,"2,259265",
12/03/2009 8.00,"3,406245","104,82146","56,524913",,"46,991845","969,334683","45,840616",,"2,875567",
12/03/2009 9.00,"3,469458","96,129162","60,791024",,"41,444051","964,749247","49,12658",,"6,526089",
12/03/2009 10.00,"3,753009","72,818633","46,620848",,"45,480652","960,716078","39,119191",,"6,904921",
12/03/2009 11.00,"4,896251","30,231167","22,194896",,"60,746953","949,432859","31,045498",,"2,271469",
12/03/2009 12.00,"6,294149","33,975532","24,716671",,"70,275851","943,594968","54,093729",,"1,53567",
12/03/2009 13.00,"6,61021","34,581234","26,022319",,"75,808783","937,239204","62,788721",,"1,264639",
12/03/2009 14.00,"13,978959","63,090032","42,058835",,"69,279226","945,608383","59,675531",,"1,397866",
12/03/2009 15.00,"14,036756","38,91828","28,91009",,"77,368716","947,565452","56,974341",,"1,648557",
12/03/2009 16.00,"14,779054","75,59285","51,494364",,"63,004277","957,656031","93,834239",,"1,362271",
12/03/2009 17.00,"17,081775","88,836278","64,710605",,"45,978984","1513,212144","2927,802933",,"0,707323",
12/03/2009 18.00,"10,924898","88,338221","67,668448",,,"1333,454157","1846,150163",,0,
12/03/2009 19.00,"6,60118","57,681636","46,563738",,"64,97992","934,122811","536,817381",,"2,205873",
12/03/2009 20.00,"2,952922","37,756226","29,860124",,"74,408613","853,309057","48,402279",,"3,890025",
12/03/2009 21.00,"2,172701","48,395299","40,300218",,"63,935898","867,592569","33,009104",,"3,134902",
12/03/2009 22.00,"2,075172","40,578432","34,082108",,"64,778147","852,993476","28,892518",,"4,16614",
12/03/2009 23.00,"2,190761","51,082634","45,686379",,"56,008907","869,612803","17,642511",,"2,608096",
13/03/2009 0.00,"2,924024","40,39427","37,328089",,"58,142998","864,3267","11,465973",,"4,368015",
13/03/2009 1.00,"2,951115","40,775559","39,735641",,"54,522094","894,727755","13,140512",,"1,161922",
13/03/2009 2.00,"2,302737",,,,"63,770693","891,707425","17,599317",,"2,892856",
13/03/2009 3.00,"2,022797","27,903096","27,49152",,"62,950091","879,427517","12,256725",,"2,163667",
13/03/2009 4.00,"1,679644","30,995067","30,685574",,"58,037362","913,679008","13,599017",,"2,650302",
13/03/2009 5.00,"1,475558","33,308895","32,23523",,"53,663585","917,859201","18,516331",,"2,044678",
13/03/2009 6.00,"1,251606","50,706506","45,034843",,"42,991792","930,24199","17,928244",,"1,745172",
13/03/2009 7.00,"1,540576","106,571094","76,327844",,"29,813539","969,430745","32,118676",,"1,183279",
13/03/2009 8.00,"1,4286","105,833118","73,277837",,"32,054604","940,591744","43,591283",,"7,976839",
13/03/2009 9.00,"1,903596","55,703748","35,659028",,"58,019767","843,225357","91,621456",,"2,798275",
13/03/2009 10.00,"14,567742","90,01912","52,209489",,"53,675754","840,381359","79,620553",,"2,500294",
13/03/2009 11.00,"7,153837","30,491867","24,525874",,"73,539271","830,061512","38,803551",,"0,824787",
13/03/2009 12.00,"4,666881","16,331504","14,702285",,"82,98288","827,064628","15,575906",,"1,603809",
13/03/2009 13.00,"2,732581","19,196518","16,819118",,"87,922701","825,456456","11,250008",,"0,821482",
13/03/2009 14.00,"2,261198","18,878762","16,797054",,"87,775092","821,971068","17,805316",,"1,171584",
13/03/2009 15.00,"1,795232","10,178656","10,754168",,"91,381113","819,731795","14,426317",,"0,994067",
13/03/2009 16.00,"1,222709","16,998149","16,549167",,"89,569293","818,020742","12,632165",,"0,706917",
13/03/2009 17.00,"1,578504","21,463633","21,248744",,"87,573342","817,775204","20,423436",,"1,106699",
13/03/2009 18.00,"1,352745","17,191399","17,97942",,"89,586911","818,811549","44,538198",,"0,380511",
13/03/2009 19.00,"0,969859","31,131259","31,970476",,"77,734338","826,463433","30,414222",,"1,590079",
13/03/2009 20.00,"0,782027","54,723216","53,066087",,"64,562851","834,211319","32,83633",,"1,479226",
13/03/2009 21.00,"0,901228","60,57908","58,208256",,"59,135551","844,025973","33,829758",,"2,124004",
13/03/2009 22.00,"0,720622","57,225087","55,294521",,"52,776648","847,402081","34,464367",,"1,956199",
13/03/2009 23.00,"0,866913","66,161242","57,288068",,"46,07648","853,003764","48,588324",,"2,319268",
14/03/2009 0.00,"0,792864","56,257559","51,33213",,"44,868607","854,976983","41,345261",,"1,485837",
14/03/2009 1.00,"0,881362","38,306134","37,747295",,"57,311562","962,058195","39,836845","25,982771","2,137734","14,33564"
14/03/2009 2.00,"0,854271","28,843418","28,162517",,"62,493753","920,473811","29,846076","25,982771","1,646014","14,33564"
14/03/2009 3.00,"0,859688","65,30394","64,370558",,"43,526672","917,078144","21,237462","25,982771","2,31937","14,33564"
14/03/2009 4.00,"0,99695","42,176311","42,750599",,"58,407038","903,781511","16,934812","25,982771","3,224907","14,33564"
14/03/2009 5.00,"1,029459","14,803669","15,699055",,"80,610469","862,924829","14,71538","25,982771","0,691051","14,33564"
14/03/2009 6.00,"0,944573","45,160656","44,358666",,"59,69481","852,000257","125,202001","25,982771","0,420428","14,33564"
14/03/2009 7.00,"1,867474","116,87945","86,453849",,"34,597631","883,819872","172,022752","25,982771","2,594367","14,33564"
14/03/2009 8.00,"1,121569","71,731776","57,573587",,"57,03398","875,450693","39,248764","25,982771","2,814039","14,33564"
14/03/2009 9.00,"1,435824","64,281954","48,994656",,"61,096316","883,869877","58,329916","25,982771","2,56284","14,33564"
14/03/2009 10.00,"3,276208","46,844093","36,586998",,"71,353746","847,923483","69,227747","25,982771","2,087392","14,33564"
14/03/2009 11.00,"3,034195","29,293465","24,111869",,"77,634126","833,018619","12,359725","25,982771","1,632793","14,33564"
14/03/2009 12.00,"2,00293","25,999146","22,314301",,"81,179203","828,911938","12,562392","25,982771","1,18989","14,33564"
14/03/2009 13.00,"2,934862","21,769706","19,530352",,"87,088557","828,001502","16,652406","25,982771","1,19767","14,33564"
14/03/2009 14.00,"3,926393","33,391894","28,856879",,"86,079763","824,350547","23,985168","25,982771","1,071613","14,33564"
14/03/2009 15.00,"3,633809","23,013501","21,264326",,"93,484042","824,459828","20,190863","25,982771","0,960862","14,33564"
14/03/2009 16.00,"2,987237","29,462064","27,164452",,"88,349237","822,778623","30,586996","25,982771","0,704883","14,33564"
14/03/2009 17.00,"2,877066","25,616535","24,211789",,"85,422985","827,207704","17,287003","25,982771","0,747037","14,33564"
14/03/2009 18.00,"1,365388","20,545356","20,720515",,"83,596287","833,776169","14,143911","25,982771","0,538501","14,33564"
14/03/2009 19.00,"0,99695","46,995868","46,319746",,"62,156578","841,707326","25,948774","25,982771","1,027475","14,33564"
14/03/2009 20.00,"1,10712","60,036951","59,652791",,"50,638487","842,115978","34,088908","25,982771","0,705798","14,33564"
14/03/2009 21.00,"0,892198","82,667842","72,458893",,"39,236821","842,693666","34,686963","25,982771","0,779022","14,33564"
14/03/2009 22.00,"1,363581","125,416151","87,492144",,"24,28334","855,674779","52,239765","25,982771","1,51177","14,33564"
14/03/2009 23.00,"1,47014","140,055104","90,620004",,"17,380069","872,619436","51,299512","25,982771","2,381814","14,33564"
15/03/2009 0.00,"1,231738","92,153906","71,016957",,"20,815451","872,676319","34,005863","25,982771","2,630979","14,33564"
15/03/2009 1.00,"0,935543","69,840753","60,91431",,"27,433006","866,668915","31,487402","17,907471",0,"10,8182"
15/03/2009 2.00,"0,948186",,,,"24,100538","860,020598","25,991952","17,907471","1,649065","10,8182"
15/03/2009 3.00,"1,049325","48,47828","45,091957",,"27,519669","870,220936","22,024893","17,907471","0,67122","10,8182"
15/03/2009 4.00,"1,054744","33,634431","34,481868",,"34,976781","854,714876","17,91828","17,907471","1,407019","10,8182"
15/03/2009 5.00,"1,139629","26,704693","27,429208",,"34,714076","854,661462","18,253856","17,907471","0,944488","10,8182"
15/03/2009 6.00,"1,043908","32,652619","29,137216",,"35,656554","868,689148","17,851828","17,907471","0,930911","10,8182"
15/03/2009 7.00,"1,356358","79,876762","53,216636",,"23,665848","882,720303","29,400862","17,907471","1,156787","10,8182"
15/03/2009 8.00,"1,029459","50,496396","40,147065",,"29,911035","863,884731","26,197948","17,907471","0,689017","10,8182"
15/03/2009 9.00,"1,000562","37,489043","32,012002",,"42,972838","851,634731","23,968547","17,907471","0,535959","10,8182"
15/03/2009 10.00,"1,253412","27,668359","24,993108",,"64,388164","842,587376","29,596882","17,907471","1,113106","10,8182"
15/03/2009 11.00,"1,201035","25,984882","21,883413",,"77,046441","850,269107","41,069487","17,907471","1,314472","10,8182"
15/03/2009 12.00,"1,278696","18,03962","15,715929",,"86,618673","830,50689","39,790332","17,907471","0,813091","10,8182"
15/03/2009 13.00,"1,388867","17,76985","15,706846",,"90,736549","825,749009","34,809896","17,907471","0,553248","10,8182"
15/03/2009 14.00,"1,582116","16,082485","14,671141",,"92,339831","822,891792","32,690136","17,907471",,"10,8182"
15/03/2009 15.00,"1,601982","12,461332","12,598443",,"93,442071","822,034292","20,562987","17,907471",0,"10,8182"
15/03/2009 16.00,"1,298564","15,055283","14,935912",,"97,60733","821,18708","29,473952","17,907471","0,637964","10,8182"
15/03/2009 17.00,"0,939156","11,172139","11,93523",,"100,72043","821,326747","33,517433","17,907471","0,435988","10,8182"
15/03/2009 18.00,"0,814537","14,208356","15,047528",,"97,633045","822,05439","33,703494","17,907471","0,901621","10,8182"
15/03/2009 19.00,"0,807313","19,650445","20,598511",,"93,261958","825,925402","37,278514","17,907471","0,506771","10,8182"
15/03/2009 20.00,"0,782027","39,361883","39,91604",,"74,94078","828,383716","46,887201","17,907471","0,900757","10,8182"
15/03/2009 21.00,"0,933737","64,551719","63,968215",,"55,704232","854,754533","44,232535","17,907471","1,422274","10,8182"
15/03/2009 22.00,"0,783833","56,948841","57,513895",,"58,828181","867,702329","40,84356","17,907471","0,958014","10,8182"
15/03/2009 23.00,"0,774803","42,615993","43,450141",,"63,962975","853,033671","43,60126","17,907471","1,842295","10,8182"
16/03/2009 0.00,"0,568912","31,074186","31,783578",,"75,034227","838,437569","40,165772","17,907471","1,337355","10,8182"
16/03/2009 1.00,"0,459819","18,840217","19,741437",,"77,479895","836,77054","30,773823","27,221951",0,"14,72554"
16/03/2009 2.00,"0,558075","13,384778","14,3337",,"80,053926","837,600645","34,846447","27,221951","1,187856","14,72554"
16/03/2009 3.00,"0,552657","11,501571","12,440101",,"79,514994","838,500733","26,639849","27,221951","0,392053","14,72554"
16/03/2009 4.00,"0,601421","10,853084","11,80025",,"79,644986","842,371745","29,733102","27,221951","0,429377","14,72554"
16/03/2009 5.00,"0,563493","10,361529","11,313549",,"75,421516","838,882947","31,105299","27,221951","0,39546","14,72554"
16/03/2009 6.00,"0,561687","14,126647","15,070882",,"63,166768","845,308814","29,493885","27,221951",,"14,72554"
16/03/2009 7.00,"0,977083","65,580203","57,417856",,"44,405508","859,080255","54,020639","27,221951",,"14,72554"
16/03/2009 8.00,"0,608645","123,298191","85,081992",,"23,713249","854,707998","60,974642","27,221951","1,724832","14,72554"
16/03/2009 9.00,"0,863301","91,947698","72,264209",,"43,022952","849,425305","83,517838","27,221951",,"14,72554"
16/03/2009 10.00,"0,568912","34,351661","30,971111",,"78,002442","823,636123","50,385801","27,221951",,"14,72554"
16/03/2009 11.00,"0,673664","16,541614","16,066351",,"97,925555","821,439916","33,587207","27,221951","0,548671","14,72554"
16/03/2009 12.00,"1,00598","19,907247","19,32791",,"97,180779","831,988673","36,311665","27,221951",,"14,72554"
16/03/2009 13.00,"1,174284","17,956134","17,721073",,"96,708984","829,696942","45,116084","27,221951",,"14,72554"
16/03/2009 14.00,"1,287726","20,995423","19,879483",,"105,228229","821,811842","43,29891","27,221951",,"14,72554"
16/03/2009 15.00,"1,755499","26,705994","24,938597",,"107,589833","823,881602","34,238437","27,221951",,"14,72554"
