,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



03/01/2007 20.00,0,,,"1,26998514","50,60945925","9,95685863","0,64259145"
03/01/2007 21.00,0,,,"1,58522482","48,96474135","9,95685863","1,07461305"
03/01/2007 22.00,0,,,"1,39865473","44,63870355","9,95685863","1,99337085"
03/01/2007 23.00,0,,,"1,43078077","40,12214325","9,95685863","1,379052"
04/01/2007 0.00,0,,,"1,40622024","41,84793795","9,95685863","1,5951645"
04/01/2007 1.00,,,,"1,30356743","49,2647694","19,57047081","1,08641025"
04/01/2007 2.00,"0,81089376",,,"1,31764879","44,9833398","19,57047081","1,83421035"
04/01/2007 3.00,"0,81128633","5,06170261",,"1,27722795","49,6648068","19,57047081","0,6932889"
04/01/2007 4.00,"0,78708986","5,01757365",,"1,2730188","46,56320025","19,57047081","0,86134815"
04/01/2007 5.00,"0,80355611","14,37652302",,"1,29632579",,"19,57047081","0,94687785"
04/01/2007 6.00,"0,75432822","11,92354366",,"1,30041261","36,43267005","19,57047081","1,53826335"
04/01/2007 7.00,"0,8515941","22,11704088",,"1,36927926","26,62780365","19,57047081","0,99152415"
04/01/2007 8.00,"0,99655728","26,2767116",,"1,39157386","24,53979675","19,57047081","1,02284775"
04/01/2007 9.00,"0,8743505","27,00222",,"1,59667677","20,75165085","19,57047081","0,5130765"
04/01/2007 10.00,"0,88328382","20,95932488",,"1,52857786","25,22092965","19,57047081","1,899756"
04/01/2007 11.00,"1,05171021","19,83667496",,"1,48111693","28,84420875","19,57047081","1,6500825"
04/01/2007 12.00,"1,17374614","20,80099216",,"1,44113995","34,6298085","19,57047081","1,187856"
04/01/2007 13.00,"1,13427536","20,40643184",,"1,4674806","36,58265415","19,57047081","1,4161725"
04/01/2007 14.00,"0,98376647","23,63553216",,"1,41576975","38,0976372","19,57047081","1,41363"
04/01/2007 15.00,"1,07202173","17,79901067",,"1,32088632","42,022281","19,57047081","1,4110875"
04/01/2007 16.00,"1,09642567","23,57713968",,"1,35774692","37,20569265","19,57047081","1,2373839"
04/01/2007 17.00,"1,03987436","42,35473872",,"1,5030865","25,02498075","19,57047081","1,397358"
04/01/2007 18.00,"1,29705129","44,37423136",,"1,67064029","17,57574053","19,57047081","1,6734735"
04/01/2007 19.00,"1,12573561","43,79927384",,"1,64794143","20,77598985","19,57047081","2,496735"
04/01/2007 20.00,"1,45709455","56,187466",,"1,78203293","13,48216611","19,57047081","2,1595995"
04/01/2007 21.00,"1,27076387","51,81105096",,"1,60047933","10,28731127","19,57047081","3,303216"
04/01/2007 22.00,"0,84301469","37,57598152",,"1,52615","11,55903599","19,57047081","1,6744905"
04/01/2007 23.00,"0,9674843","34,612936",,"1,49228345","17,32976501","19,57047081","1,719747"
05/01/2007 0.00,"0,94145724","39,56432768",,"1,55548587","14,90525547","19,57047081","1,747206"
05/01/2007 1.00,"0,88388487","24,98012704",,"1,4177118","16,13237199","22,69445992","1,758393"
05/01/2007 2.00,"0,97807738","27,05153048",,"1,48795431","10,54813956","22,69445992","1,6043175"
05/01/2007 3.00,"0,86740642","30,6544268",,"1,60011469","11,12791449","22,69445992","1,6500825"
05/01/2007 4.00,"0,91481591","21,56282856",,"1,45461318","17,33382683","22,69445992","2,1494295"
05/01/2007 5.00,"0,87716352","16,14032964",,"1,40071795","21,3354876","22,69445992","2,3111325"
05/01/2007 6.00,"0,87429863","28,96330104",,"1,5642257","20,19891615","22,69445992","1,723815"
05/01/2007 7.00,"1,07733149","36,99064184",,"1,50935886","14,39845166","22,69445992","1,7883945"
05/01/2007 8.00,"0,91259275","55,44509376",,"1,90993362","5,42205888","22,69445992","2,1890925"
05/01/2007 9.00,"1,36270678","57,82668096",,"2,1615678","4,31521293","22,69445992","3,7390005"
05/01/2007 10.00,"1,66113424","65,10386768",,"2,37310384","4,25034152","22,69445992","3,7461195"
05/01/2007 11.00,"1,21320473","55,97852264",,"1,88828676","7,78170698","22,69445992","4,2729255"
05/01/2007 12.00,"1,02933214","47,62411512",,"1,74359376","21,0395094","22,69445992","2,8237005"
05/01/2007 13.00,"0,80686441","46,96738136",,"1,61621848","25,74800865","22,69445992","2,2511295"
05/01/2007 14.00,"0,86620331","43,74088136",,"1,6495235","23,28564","22,69445992","2,2907925"
05/01/2007 15.00,"0,63782375","35,38517368",,"1,53646841","27,7657317","22,69445992","2,873025"
05/01/2007 16.00,"0,7946238","33,90431056",,"1,57357599","34,5987264","22,69445992","1,7080515"
05/01/2007 17.00,"0,49061097","18,30389148",,"1,44554948","42,03040065","22,69445992","1,567197"
05/01/2007 18.00,"0,69666432","31,05416864",,"1,63746226","35,05145175","22,69445992","1,618047"
05/01/2007 19.00,"0,86906718","61,79945368",,"2,04892045","15,90938685","22,69445992","2,407239"
05/01/2007 20.00,"0,90058604","66,23169912",,"1,85846625","16,13643182","22,69445992","4,346658"
05/01/2007 21.00,"0,65593754","34,92313888",,"1,66299323","31,03356165","22,69445992","2,2480785"
05/01/2007 22.00,"0,77976644","44,17697032",,"1,69576818","25,1520024","22,69445992","2,5379235"
05/01/2007 23.00,"0,52416994","32,38838136",,"1,56382028","26,66834205","22,69445992","1,5351615"
06/01/2007 0.00,"0,48925022","48,19905352",,"1,66732354","12,91724795","22,69445992","1,6358445"
06/01/2007 1.00,,"44,50273688",,"1,58040988","15,02012358","17,98139954","1,8178875"
06/01/2007 2.00,"1,67078557",,,"1,47970029","26,3804835","17,98139954","1,8351765"
06/01/2007 3.00,"1,70309973","16,93852463",,"1,39663113","33,2729292","17,98139954","1,1259207"
06/01/2007 4.00,"1,88451829","6,83199855",,"1,32598436","43,07103255","17,98139954","1,1954835"
06/01/2007 5.00,"1,52866592","10,91899224",,"1,35446978",,"17,98139954","1,02457665"
06/01/2007 6.00,"1,56515893","9,70938074",,"1,33233711","37,87329945","17,98139954","1,434987"
06/01/2007 7.00,"1,667102","15,7496698",,"1,35309391","34,4703282","17,98139954","0,8538732"
06/01/2007 8.00,"1,5784918","8,99685099",,"1,35111108","35,4460827","17,98139954","1,30618395"
06/01/2007 9.00,"1,68660602","24,13391408",,"1,58247309","25,6790814","17,98139954","0,85555125"
06/01/2007 10.00,"1,86651027","23,99504552",,"1,80513721","21,7017297","17,98139954","1,8921285"
06/01/2007 11.00,"2,10491643","40,10033776",,"2,03690464","17,02704969","17,98139954","2,903535"
06/01/2007 12.00,"2,03943892","37,88616528",,"1,99348742","21,53145645","17,98139954","2,746917"
06/01/2007 13.00,"2,10225189","45,66173392",,"1,97989304","30,7051647","17,98139954","2,90862"
06/01/2007 14.00,"2,05410914","33,79008768",,"1,68803957","36,34616685","17,98139954","2,881161"
06/01/2007 15.00,"1,82587502","15,99756825",,"1,42013966","44,62386075","17,98139954","1,7792415"
06/01/2007 16.00,"1,86335045","20,08844712",,"1,4538035","43,26969465","17,98139954","1,167516"
06/01/2007 17.00,"1,91799183","30,1339804",,"1,55839837","32,83775985","17,98139954","1,289556"
06/01/2007 18.00,"2,02262689","46,16009672",,"1,60954303","13,37675031","17,98139954","1,639404"
06/01/2007 19.00,"1,97629847","70,160362",,"1,68941543","7,14246708","17,98139954","2,0792565"
06/01/2007 20.00,"1,7865578","70,54063968",,"1,75767511","8,90071844","17,98139954","1,8453465"
06/01/2007 21.00,"1,92083333","68,12658672",,"1,79757054","10,5630063","17,98139954","2,216043"
06/01/2007 22.00,"1,84519192","64,50424536",,"1,64676828","12,34423607","17,98139954","2,08485"
06/01/2007 23.00,"1,74407161","54,69622072",,"1,72575062","18,54338535","17,98139954","1,733985"
07/01/2007 0.00,"1,93864608","42,02249048",,"1,59218453","24,441144","17,98139954","1,7589015"
07/01/2007 1.00,"1,93331598","25,79389336",,"1,56147397","26,3629275","29,08992958","1,7792415"
07/01/2007 2.00,"2,01762528","27,10474144",,"1,58441631","17,68250295","29,08992958","1,526517"
07/01/2007 3.00,"2,21768749","37,81220912",,"1,66279169","10,26434084","29,08992958","1,9561995"
07/01/2007 4.00,"1,71209408","11,45371554",,"1,4192496","23,2586277","29,08992958","1,3256595"
07/01/2007 5.00,"1,83570229","20,808774",,"1,41669942","22,9180413","29,08992958","0,8129898"
07/01/2007 6.00,"1,90233003","15,08257109",,"1,3998675","23,36673675","29,08992958","0,95277645"
07/01/2007 7.00,"2,08808711","19,82757384",,"1,4478154","17,81494901","29,08992958","1,6063515"
07/01/2007 8.00,"2,27549885","22,83086696",,"1,41860186","15,04985507","29,08992958","1,080054"
07/01/2007 9.00,"2,47358808","37,08538144",,"1,69791178","7,94388252","29,08992958","0,9383859"
07/01/2007 10.00,"2,56738701","43,19058864",,"2,25293059","16,3540145","29,08992958","2,1657015"
07/01/2007 11.00,"2,71698771","41,26843592",,"2,29031777","18,15956531","29,08992958","3,4349175"
07/01/2007 12.00,"2,53823369","34,59737232",,"1,94153425","31,48630695","29,08992958","3,761883"
07/01/2007 13.00,"2,16639306","19,30064576",,"1,53282778","47,1673062","29,08992958","2,4514785"
07/01/2007 14.00,"2,11990497","19,25133528",,"1,52242783","50,46757485","29,08992958","1,6765245"
07/01/2007 15.00,"1,89949768","13,40182749",,"1,46586242","53,95838595","29,08992958","1,242774"
07/01/2007 16.00,"2,1505543","17,47324794",,"1,54217341","53,45564595","29,08992958","1,65771"
07/01/2007 17.00,"2,43477631","31,18265504",,"1,75387139","43,3156395","29,08992958","1,4090535"
07/01/2007 18.00,"2,25785492","58,42758432",,"2,04625027","19,31506133","29,08992958","2,4006285"
07/01/2007 19.00,"2,43160632","63,53732784",,"2,28955004","6,91001567","29,08992958","3,6993375"
07/01/2007 20.00,"2,80978692","68,7729192",,"2,47466388","5,10311424","29,08992958","4,8546495"
07/01/2007 21.00,"2,64302028","67,36603136",,"2,21182124","5,79506204","29,08992958","5,5665495"
07/01/2007 22.00,"2,12324277","62,81960128",,"1,86121682","6,99921212","29,08992958","3,372372"
07/01/2007 23.00,"2,18971185","53,27244992",,"1,80457102","9,61428804","29,08992958","2,8592955"
08/01/2007 0.00,"1,8028837","29,43961848",,"1,56835213","13,69164311","29,08992958","2,1301065"
08/01/2007 1.00,,"18,0585857",,"1,55301723","27,43462155","23,20429993","1,5656715"
08/01/2007 2.00,"1,14152351",,,"1,48876399","30,81327375","23,20429993","1,280403"
08/01/2007 3.00,"1,09742538","9,21748814",,"1,4338156","27,0859554","23,20429993","1,579401"
08/01/2007 4.00,"0,97058514","10,4634353",,"1,45465395","26,27101785","23,20429993","1,00698255"
08/01/2007 5.00,"0,95744855","9,62631772",,"1,45214454",,"23,20429993","1,039374"
08/01/2007 6.00,"1,05622366","15,43039639",,"1,4358392","16,13913305","23,20429993","2,010609"
08/01/2007 7.00,"1,05435543","22,40516016",,"1,478851","16,49321363","23,20429993","0,8498052"
08/01/2007 8.00,"1,16665562","32,63265848",,"1,50110483","10,36434221","23,20429993","1,53114435"
08/01/2007 9.00,"1,25256974","61,33871904",,"2,08598493","7,35599792","23,20429993","1,6073685"
08/01/2007 10.00,"1,32202576","48,06798592",,"1,72174418","8,25471948","23,20429993","3,0952395"
08/01/2007 11.00,"1,4872486","63,20764168",,"2,16642352","6,35321516","23,20429993","2,581146"
08/01/2007 12.00,"1,18494535","37,411148",,"1,78535085","27,17515185","23,20429993","2,9315025"
08/01/2007 13.00,"0,82827531","26,70369944",,"1,64782027","35,53799235","23,20429993","2,3721525"
08/01/2007 14.00,"1,40421767","44,40149648",,"2,12875208","23,477559","23,20429993","2,058408"
08/01/2007 15.00,"1,08333688","44,55334752",,"1,77539709","21,5760447","23,20429993","3,9373155"
08/01/2007 16.00,"1,1691371","65,44777912",,"2,01104863","14,47683521","23,20429993","2,4463935"
08/01/2007 17.00,"1,55878438","73,93457352",,"2,27850351","12,52262099","23,20429993","3,9739275"
08/01/2007 18.00,"0,89496203","33,9276752",,"1,6006401","25,4358111","23,20429993","3,266604"
08/01/2007 19.00,"0,70866696","31,814724",,"1,57446255","26,97377655","23,20429993","1,9561995"
08/01/2007 20.00,"0,78842722","35,39945632",,"1,60359571","21,25981725","23,20429993","1,7365275"
08/01/2007 21.00,"0,78316221","37,79014464",,"1,65291831","19,49075499","23,20429993","2,141802"
08/01/2007 22.00,"0,65081796","41,86933928",,"1,63754264","23,23833855","23,20429993","1,707543"
08/01/2007 23.00,"0,63162616","33,9730852",,"1,4820466","21,38550225","23,20429993","2,198754"
09/01/2007 0.00,"0,66598448","24,11575008",,"1,4252377","17,27301324","23,20429993","1,0362213"
09/01/2007 1.00,"0,59443548","17,75878219",,"1,41342344","23,3302482","33,1651001","0,9095031"
09/01/2007 2.00,"0,50890985","16,00405758",,"1,41131828","28,78204455","33,1651001","0,922419"
09/01/2007 3.00,"0,70668584","12,3103164",,"1,41657942","20,34487035","33,1651001","0,8010909"
09/01/2007 4.00,"0,67498493","12,79831042",,"1,40245729","19,26506064","33,1651001","1,1029365"
09/01/2007 5.00,"0,54966002","9,22527572",,"1,37069473","28,2684717","33,1651001","1,7222895"
09/01/2007 6.00,"0,57490603","13,59520334",,"1,39181618","19,94484692","33,1651001","0,7878699"
09/01/2007 7.00,"0,67221463","39,65776712",,"1,59724296","8,19795774","33,1651001","0,97311645"
09/01/2007 8.00,"1,09493068","59,3777336",,"1,9144247","3,45433253","33,1651001","1,8951795"
09/01/2007 9.00,"1,43057729","55,23353096",,"2,45038528","4,79633112","33,1651001","3,9118905"
09/01/2007 10.00,"2,02782579","76,38107312",,"3,10190803","6,47079248","33,1651001","4,544973"
09/01/2007 11.00,"1,40376612","64,85335744",,"2,44759394","10,4062412","33,1651001","5,710455"
09/01/2007 12.00,"1,22778851","54,18743752",,"2,30901136","17,41761284","33,1651001","5,0672025"
09/01/2007 13.00,"1,33352091","40,4300048",,"1,94574223","35,19876255","33,1651001","3,9057885"
09/01/2007 14.00,"1,3116727","42,82587464",,"2,12215701","33,55268805","33,1651001","3,179142"
09/01/2007 15.00,"0,84717727","22,57387504",,"1,58004523","46,7537427","33,1651001","4,8526155"
09/01/2007 16.00,"0,99520366","34,40397352",,"1,6244329","34,05814125","33,1651001","1,702458"
09/01/2007 17.00,"0,62336608","36,89590224",,"1,78887148","36,04883205","33,1651001","2,197737"
09/01/2007 18.00,"0,55928796","51,64361712",,"2,04220423","26,52238785","33,1651001","2,784546"
09/01/2007 19.00,"1,0970379","68,50038272",,"2,063568","12,65371643","33,1651001","3,5294985"
09/01/2007 20.00,"0,86648197","49,94859088",,"1,7834088","13,59838484","33,1651001","3,053034"
09/01/2007 21.00,"0,76549997","39,47606976",,"1,6477795","16,82297316","33,1651001","1,767546"
09/01/2007 22.00,"0,61481718","55,78124248",,"1,70576155","6,17211903","33,1651001","1,785852"
09/01/2007 23.00,"0,67538665","49,74742936",,"1,67938012","10,49543765","33,1651001","2,286216"
10/01/2007 0.00,"0,44658606","38,6817676",,"1,58999899","16,36887924","33,1651001","2,146887"
10/01/2007 1.00,,"21,56932936",,"1,58822004","24,0721887",,"1,2432825"
10/01/2007 2.00,"0,47839985",,,"1,52780896","34,35950595",,"1,0009314"
10/01/2007 3.00,"0,62987183","12,71265474",,"1,50640442","25,93450125",,"0,9003501"
10/01/2007 4.00,"0,57847875","12,48681886",,"1,54484359","21,43549695",,"1,1164626"
10/01/2007 5.00,"0,59279303","17,94956538",,"1,54014981",,,"1,387188"
10/01/2007 6.00,"0,74511827","23,15273304",,"1,52776819","13,89841089",,"1,234638"
10/01/2007 7.00,"0,70351484","39,72136024",,"1,66173853","6,32483429",,"0,8879427"
10/01/2007 8.00,"1,54044583","55,25429528",,"2,64707339","3,62866959",,"1,669914"
10/01/2007 9.00,"1,46775474","49,44502744",,"1,97289255","3,83274213",,"4,6736235"
10/01/2007 10.00,"1,13852845","33,80567048",,"2,13482289","11,06709891",,"1,8870435"
10/01/2007 11.00,"0,964116","59,17645736",,"2,17103575","12,63885168",,"3,749679"
10/01/2007 12.00,"0,84638808","33,4933644",,"2,15675285","13,1118602",,"3,9586725"
10/01/2007 13.00,"0,56075346","34,13143704",,"2,21534187","27,33191895",,"3,151683"
10/01/2007 14.00,"0,68868596","54,96487584",,"2,318237","30,81327375",,
10/01/2007 15.00,,"31,49285792",,"1,79214863","39,6748044",,
10/01/2007 16.00,,,,"1,92620634",,,
10/01/2007 17.00,,,,,"46,5442677",,
10/01/2007 18.00,,,,"0,96563938","12,3423069",,"2,7108135"
10/01/2007 19.00,,"66,04090064",,"1,35685337","3,96788742",,"4,653792"
10/01/2007 20.00,,"58,5690532",,"1,44500659","4,89634047",,"5,815206"
10/01/2007 21.00,,"55,955158",,"1,25669249","4,54360851",,"5,4323055"
10/01/2007 22.00,,"66,07206624",,"0,86462689","3,70029807",,"4,7082015"
10/01/2007 23.00,,"56,40291016",,"0,70160145","6,26807255",,"3,394746"
11/01/2007 0.00,,"40,83622832",,"0,52162409","11,97528077",,"2,789631"
11/01/2007 1.00,,"33,05807848",,"0,39848825","13,51324821","56,33671951","2,055357"
11/01/2007 2.00,,"24,77506504",,"0,25233551","19,04747796","56,33671951","1,4690565"
11/01/2007 3.00,,"9,08770158",,"0,22158184","27,83465895","56,33671951","1,0463913"
11/01/2007 4.00,,"8,45044728",,"0,22975897","26,55482655","56,33671951","0,93904695"
11/01/2007 5.00,,"14,08710358",,"0,26047303","20,58542745","56,33671951","1,0500525"
11/01/2007 6.00,,"21,24486296",,"0,26865017","20,0989068","56,33671951","1,0775115"
11/01/2007 7.00,,"47,6124328",,"0,4381367","8,64529061","56,33671951","1,1670075"
11/01/2007 8.00,,"59,74883368",,"0,82709175","3,73678662","56,33671951","1,5412635"
11/01/2007 9.00,,"67,0855792",,"2,30707979","5,14365663","56,33671951","3,2640615"
11/01/2007 10.00,,"52,54174088",,"0,94065479","9,79268094","56,33671951",
11/01/2007 11.00,,"57,8162988",,"1,13080376","17,01758342","56,33671951",
11/01/2007 12.00,,"48,9012164",,"1,05589309","15,2850137","56,33671951",
11/01/2007 13.00,,"40,9413692",,"0,83626613","34,04732835","56,33671951",
11/01/2007 14.00,,"49,86918552",,"1,0046762",,"56,33671951",
11/01/2007 15.00,"2,05164495","50,9155084",,"0,53698112","33,0337287","56,33671951",
11/01/2007 16.00,"1,9536092","55,207566",,"0,6713662","34,7446806","56,33671951",
11/01/2007 17.00,"2,2504176","87,5038272",,"0,87571536","18,10009835","56,33671951",
11/01/2007 18.00,"2,23502022","89,58821312",,"0,91365009","5,81668584","56,33671951",
11/01/2007 19.00,"3,11385162","84,76142648",,"1,17679563","4,17330858","56,33671951","5,8899555"
11/01/2007 20.00,"2,41484311","75,34664288",,"1,03215971","4,22196065","56,33671951","5,741982"
11/01/2007 21.00,"2,43248603","80,01379664",,"0,86518492","5,51395856","56,33671951","5,56604202"
11/01/2007 22.00,"1,71036009","60,10054608",,"0,58939447","8,8331438","56,33671951","4,3217415"
11/01/2007 23.00,"1,77923133","52,27956744",,"0,76769656","5,67883533","56,33671951","2,9030265"
12/01/2007 0.00,"1,31275886","27,48501912",,"0,32664853","11,67796592","56,33671951","3,6078075"
12/01/2007 1.00,,"24,37922368",,"0,31755454","12,44288882","23,09333038","1,9165365"
12/01/2007 2.00,"1,61420376",,,"0,28688009","19,37047644","23,09333038","1,833651"
12/01/2007 3.00,"1,83980894","9,92872155",,,"27,79005075","23,09333038","1,381086"
12/01/2007 4.00,"2,08713215","9,52767955",,,"31,80255435","23,09333038","1,2148065"
12/01/2007 5.00,"2,07775643","10,00529715",,,,"23,09333038","1,04105205"
12/01/2007 6.00,"2,3380769","11,89629192",,,"38,30848875","23,09333038","0,97057395"
12/01/2007 7.00,"2,16027174","15,51345941",,,"34,8595527","23,09333038","0,9974736"
12/01/2007 8.00,"2,24731677","34,24434064",,,"26,3602143","23,09333038","1,168533"
12/01/2007 9.00,"2,66572786","48,32495872",,,"14,92417206","23,09333038","1,2117555"
12/01/2007 10.00,"2,64887515","39,84076464",,,"24,49790175","23,09333038","3,5142435"
12/01/2007 11.00,"2,53163742","26,09759544",,,"31,71605115","23,09333038","2,0456955"
12/01/2007 12.00,"2,76906014","17,59006158",,,"47,3673249","23,09333038","1,7527995"
12/01/2007 13.00,"2,66196597","17,66403112",,,"49,894551","23,09333038","1,394307"
12/01/2007 14.00,"2,88438692","25,61479632",,,"44,50627545","23,09333038","1,439055"
12/01/2007 15.00,"2,54192133","15,18120734",,,"50,97841455","23,09333038","2,1595995"
12/01/2007 16.00,"2,69153932","16,04559004",,,"49,76345955","23,09333038","1,126836"
12/01/2007 17.00,"2,41607571","19,5719012",,,"48,445782","23,09333038","1,314981"
12/01/2007 18.00,"2,62358846","11,66267611",,,"52,73397465","23,09333038","1,2524355"
12/01/2007 19.00,"2,33740975","27,12810608",,,"44,39274","23,09333038","1,0642905"
12/01/2007 20.00,"2,51382874","36,2508508",,,"40,4167449","23,09333038","1,5463485"
12/01/2007 21.00,"2,23655487","53,56316952",,,"25,33987155","23,09333038","2,055357"
12/01/2007 22.00,"2,32341074","18,95800962",,,"47,8795212","23,09333038","2,574027"
12/01/2007 23.00,"2,10094301","7,5354463",,,"52,4434029","23,09333038","1,1049705"
13/01/2007 0.00,"1,99604251","6,68404226",,,"52,8312708","23,09333038","0,91616445"
13/01/2007 1.00,"1,75938661","7,36282902",,,"49,11069555","35,77859116","0,8476695"
13/01/2007 2.00,"2,0766123","11,8326988",,,"38,143602","35,77859116","0,86073795"
