, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



16/01/2007 21.00,"5,17096498","207,470164","104,70840472",
16/01/2007 22.00,"3,02236433","117,31653424","77,55563384","59,09645081"
16/01/2007 23.00,"1,88966431","65,920024","51,18936416",
17/01/2007 0.00,"0,91387112","35,08575448","30,35332504","39,56044006"
17/01/2007 1.00,"0,84368388","33,03262976","27,00870168",
17/01/2007 2.00,"0,26293518","23,87210392","19,90026808","33,69963074"
17/01/2007 3.00,"0,30143066","13,85947042","11,4576122",
17/01/2007 4.00,"0,32924358","12,8828495","11,74833371","30,28083038"
17/01/2007 5.00,"0,23882313","9,59501828","8,39074317",
17/01/2007 6.00,"0,28021299","36,6265588","29,16446256","22,46640968"
17/01/2007 7.00,"0,50835254","80,59659336","59,97726032",
17/01/2007 8.00,"5,58994253","236,1748288","94,0308216","30,76922989"
17/01/2007 9.00,"7,23720286","281,3291944","104,25149408",
17/01/2007 10.00,"4,72871134","183,58676016","82,71336856","48,35165024"
17/01/2007 11.00,"2,53355854","76,26989032","46,86744112",
17/01/2007 12.00,"2,2363352","52,07871184","34,10159072","35,65322113"
17/01/2007 13.00,"3,68126948","64,67752992","42,4533788",
17/01/2007 14.00,"10,59080409","98,75034504","58,68197592","37,6068306"
17/01/2007 15.00,"13,83161697","84,5160404","53,19847464",
17/01/2007 16.00,"10,15034749","100,14847592","69,46600008","33,69963074"
17/01/2007 17.00,"4,95073363","104,3480692","74,50304936",
17/01/2007 18.00,"3,67231683","115,3451284","74,77820528","42,00244141"
17/01/2007 19.00,"3,38225521","127,64175488","81,63224728",
17/01/2007 20.00,"3,25154833","119,57066752","76,99105848","53,23564148"
17/01/2007 21.00,"2,43866125","110,15594128","74,93913832",
17/01/2007 22.00,"1,72908611","72,99759792","53,3126784","53,72404099"
17/01/2007 23.00,"1,59336644","53,14742424","40,41182168",
18/01/2007 0.00,"1,53448926","56,72315104","40,67919576","51,77045059"
18/01/2007 1.00,,"30,39070464","24,77506504",
18/01/2007 2.00,"0,39182061",,,"34,67642975"
18/01/2007 3.00,"0,29664466","16,45990514","13,89630893",
18/01/2007 4.00,"0,13475759","10,70263414","9,989722","21,0012207"
18/01/2007 5.00,"0,28196834","13,89578695","13,88333218",
18/01/2007 6.00,"0,47899073","18,9449086","16,17667485","24,42000961"
18/01/2007 7.00,"0,71559476","62,363704","46,03811112",
18/01/2007 8.00,"2,99758106","152,4775068","70,99489264","31,74603081"
