, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



05/01/2007 6.00,"0,75514487","30,10535776","24,25071816","20,51280975"
05/01/2007 7.00,"1,6105151","71,45809376","53,07646992",
05/01/2007 8.00,"3,91798945","177,05905832","82,50960672","23,93161964"
05/01/2007 9.00,"9,02361929","348,590104","95,86081592",
05/01/2007 10.00,"12,51482571","407,6793168","105,66100136","44,4444313"
05/01/2007 11.00,"8,2540137","245,2954512","99,31704272",
05/01/2007 12.00,"8,47090319","244,1360144","96,39034432","40,53723145"
05/01/2007 13.00,"6,42970079","172,12147128","84,97947096",
05/01/2007 14.00,"7,16432362","186,21440264","91,96721912","39,56044006"
05/01/2007 15.00,"1,24390287","145,03416728","81,17929448",
05/01/2007 16.00,"4,48656466","153,41264688","85,64656776","34,67642975"
05/01/2007 17.00,"3,70109996","85,37724344","58,2173408",
05/01/2007 18.00,"5,88398063","94,45995088","61,8241376","22,95482063"
05/01/2007 19.00,"5,45545039","77,4786376","52,43271864",
05/01/2007 20.00,"4,01069205","64,56466456","40,54162736","18,55920982"
05/01/2007 21.00,"3,02419798","87,05292024","47,84994144",
05/01/2007 22.00,"2,58517332","42,7353032","26,21441864","12,21000957"
05/01/2007 23.00,"1,71586918","30,76423296","16,99562842",
06/01/2007 0.00,"1,55844978","27,52178688","14,95667354","15,62880993"
06/01/2007 1.00,,"27,5632964","13,22660607",
06/01/2007 2.00,"1,71793369",,,"9,76801014"
06/01/2007 3.00,"0,8069234","18,49874914","11,06565029",
06/01/2007 4.00,"0,90761555","6,22029048","3,74825421","9,76801014"
06/01/2007 5.00,"1,17879453","3,6924869","2,0104049",
06/01/2007 6.00,"1,31438402","5,23977673","4,26740427","9,27960968"
06/01/2007 7.00,"0,38440261","19,57262776","14,20001101",
06/01/2007 8.00,"0,24124155","29,74869328","20,42069536","12,69841003"
06/01/2007 9.00,"0,3513318","29,1105824","20,05340016",
06/01/2007 10.00,"0,65123087","26,45957528","15,87816194","7,81440783"
06/01/2007 11.00,"1,06461391","14,33027366","8,0675731",
06/01/2007 12.00,"1,48643906","15,65318646","8,82812655","14,16361046"
06/01/2007 13.00,"2,30798387","18,35608334","11,15131745",
06/01/2007 14.00,"3,79616404","16,29519017","8,1155949","7,32600689"
06/01/2007 15.00,"3,22699999",,,
06/01/2007 16.00,"2,11591325","8,78441058","5,16423361","7,32600689"
06/01/2007 17.00,"0,71241155","14,73103842","11,43684023",
06/01/2007 18.00,"0,37639577","33,60848592","24,62711448","4,88400507"
06/01/2007 19.00,"0,30764352","48,40050184","35,47473176",
06/01/2007 20.00,"0,37526486","57,20564424","43,19837048","15,14041042"
06/01/2007 21.00,"0,57978051","90,55732944","55,03106928",
06/01/2007 22.00,"0,45611331","73,21290824","53,138782","18,55920982"
06/01/2007 23.00,"1,7575316","92,0916712","50,72453784",
07/01/2007 0.00,"1,33614172","61,84882152","38,14055688","42,97924042"
07/01/2007 1.00,"0,5788103","76,75538536","43,44482728",
07/01/2007 2.00,"0,52547475","73,79266488","44,03678248","36,63003159"
07/01/2007 3.00,"0,53060958","72,35560568","45,16463304",
07/01/2007 4.00,"1,24528396","79,1284068","50,78054032","35,16482162"
07/01/2007 5.00,"2,42634131","52,15523008","44,88559576",
07/01/2007 6.00,"3,77005561","52,55986664","46,11856808","29,7924099"
07/01/2007 7.00,"3,4985278","55,82177688","46,16009672",
07/01/2007 8.00,"2,22269621","54,5883648","43,62795864","21,0012207"
07/01/2007 9.00,"1,69356535","57,6829368","39,01661616",
07/01/2007 10.00,"2,14611103","46,78446032","31,16060968","28,32722092"
07/01/2007 11.00,"3,62558873","46,28902288","27,92240824",
07/01/2007 12.00,"4,9727832","43,51478736","28,9061896","18,07081032"
07/01/2007 13.00,"6,62805647","55,80103168","36,53768904",
07/01/2007 14.00,"6,42267027","47,71049928","31,99123984","8,79120922"
07/01/2007 15.00,"4,74128858","19,42349176","14,53486722",
07/01/2007 16.00,"4,25393099","50,62738912","35,85240912","11,72161007"
07/01/2007 17.00,"3,46719708","136,70239784","83,18970512",
07/01/2007 18.00,"2,98506179","148,88099656","98,48643168","17,58241081"
07/01/2007 19.00,"3,20437275","194,4526944","116,92132384",
07/01/2007 20.00,"4,49761029","240,6766328","125,24464224","31,74603081"
07/01/2007 21.00,"9,28241325","378,0029736","147,44214008",
07/01/2007 22.00,"2,30693941","131,0942724","84,8406024","32,72283173"
07/01/2007 23.00,"0,99203265","78,28796808","54,01612232",
