NetC,Provincia di TARANTO,,,,
Stat,MARTINA FRANCA,,,,
Parm,NOX,NO2,CO,O3,Benzene
PtId,1,3,5,6,7
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
01/01/2007 1.00,"44,234615","28,81275","0,975083","3,87277","4,308475"
01/01/2007 2.00,"63,232689","32,342969","1,131315","2,83281","4,499053"
01/01/2007 3.00,"94,64283","39,307355","1,202409","3,285083","4,275025"
01/01/2007 4.00,"84,622386","38,313173","1,006582","2,828746","3,973973"
01/01/2007 5.00,"79,123206","35,063308","0,844638","2,853121","3,780754"
01/01/2007 6.00,"50,88809","32,179437","0,581367","3,09957","3,517554"
01/01/2007 7.00,"80,744428","33,191766","0,490358","3,427266","3,512271"
01/01/2007 8.00,"33,091003","24,36624","0,437038","6,251951","3,425126"
01/01/2007 9.00,"94,544248","38,022453","0,773227","6,308824","3,293085"
01/01/2007 10.00,"32,107889","23,950917","0,423945","39,614636","3,486304"
01/01/2007 11.00,"8,606724","8,410211","0,278028","64,629206","2,799694"
01/01/2007 12.00,"11,340747","10,424508","0,381495","66,399024","2,515808"
01/01/2007 13.00,"19,662127","15,231821","0,433785","61,563487","3,316852"
01/01/2007 14.00,"28,242917","23,706926","0,740774","54,194394","2,566423"
01/01/2007 15.00,"9,019162","10,00919","0,294135","67,669186","2,204193"
01/01/2007 16.00,"7,247495","7,319998","0,214472","66,206749","2,038702"
01/01/2007 17.00,"8,858336","9,284978","0,270332","64,334001","2,280776"
01/01/2007 18.00,"11,348528","11,244754","0,249543","63,406448","2,618799"
01/01/2007 19.00,"9,799941","10,209059","0,240275","67,671896","3,21166"
01/01/2007 20.00,"9,774001","9,741827","0,261603","67,229104","2,306304"
01/01/2007 21.00,"11,511947","11,75353","0,279535","57,247921","2,71915"
01/01/2007 22.00,"12,531368","12,311609","0,270332","54,748227","2,550578"
01/01/2007 23.00,"6,261794","6,998126","0,209077","64,262244","2,538694"
02/01/2007 0.00,"7,532829","8,096127","0,179957","59,323781","2,205953"
02/01/2007 1.00,"10,27982","10,660719","0,18202","56,515359","2,604274"
02/01/2007 2.00,,,"0,148377","61,262879","1,533868"
02/01/2007 3.00,"33,241877","35,074759",,"64,422022","2,035621"
02/01/2007 4.00,"20,601129","22,660832","0,311439",,"1,820836"
02/01/2007 5.00,"19,340472","18,136462","0,221449","55,172065","2,308064"
02/01/2007 6.00,"14,271909","13,791185","0,193274","59,742211","1,668549"
02/01/2007 7.00,"41,871518","28,249474","0,22137","53,548472","1,559396"
02/01/2007 8.00,"31,210377","23,561557","0,341988","56,561383","1,789586"
02/01/2007 9.00,"27,337623","20,594629","0,326951","59,71107","2,473995"
02/01/2007 10.00,"23,911013","18,154629","0,33178","58,89723","1,818635"
02/01/2007 11.00,"27,098985","21,183851","0,350062","55,650066","2,663693"
02/01/2007 12.00,"21,317059","17,163058","0,303919","57,26418","2,19451"
02/01/2007 13.00,"21,682805","16,519312","0,299329","57,279062","2,204633"
02/01/2007 14.00,"29,301246","19,405767","0,294976","56,676473","2,607356"
02/01/2007 15.00,"46,885624","25,889932","0,338665","53,000068","1,812033"
02/01/2007 16.00,"41,254154","24,869823","0,431582","57,7029","2,583589"
02/01/2007 17.00,"77,40082","40,17171","0,523311","52,347384","2,579187"
02/01/2007 18.00,"53,043659","32,807585","0,552437","51,603966","2,624961"
02/01/2007 19.00,"48,01137","29,50061","0,507008","46,416349","2,462551"
02/01/2007 20.00,"73,803027","41,376137","0,612826","39,36141","2,846349"
