,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"0,53606884","4,4913205",,,,,
01/01/2007 2.00,"0,48970584","3,56914761",,,,,
01/01/2007 3.00,"0,58267795","4,24491915",,,,,
01/01/2007 4.00,"0,51221103","3,74236142",,,,,
01/01/2007 5.00,"0,51208798","4,43276933",,,,,
01/01/2007 6.00,"0,46301874","5,18417003",,,,,
01/01/2007 7.00,"0,76345885","4,07414696",,,,,
01/01/2007 8.00,"0,4869996","4,76455678",,,,,
01/01/2007 9.00,"0,348771","5,00363899",,,,,
01/01/2007 10.00,"0,50716875","5,57694646",,,,,
01/01/2007 11.00,"0,55746753","9,79503069",,,,,
01/01/2007 12.00,"0,67208445","14,16193162",,,,,
01/01/2007 13.00,"0,62375356","12,54935082",,,,,
01/01/2007 14.00,"0,77354342","6,78211447",,,,,
01/01/2007 15.00,"0,69815626","6,53327341",,,,,
01/01/2007 16.00,"0,83417188","6,48448108",,,,,
01/01/2007 17.00,"0,84290384","6,76015706",,,,,
01/01/2007 18.00,"0,87893717","6,57230689",,,,,
01/01/2007 19.00,"0,65708065","6,5088782",,,,,
01/01/2007 20.00,"0,59805092","6,4015347",,,,,
01/01/2007 21.00,"0,68881003","5,36226136",,,,,
01/01/2007 22.00,"0,7752652","5,4354489",,,,,
01/01/2007 23.00,"0,45797646","6,02827406",,,,,
02/01/2007 0.00,"0,573947","6,10634102",,,,,
02/01/2007 1.00,,"5,45496659",,,,,
02/01/2007 2.00,"0,56318612",,,,,,
02/01/2007 3.00,"0,49777065","7,26027699",,,,,
02/01/2007 4.00,"0,43205008","6,1014635",,,,,
02/01/2007 5.00,"0,28752624","5,6720914",,,,,
02/01/2007 6.00,"0,28843951","4,91093376",,,,,
02/01/2007 7.00,"0,28448338","3,98632115",,,,,
02/01/2007 8.00,"0,36176622","3,78871404",,,,,
02/01/2007 9.00,"0,3687642","4,33518658",,,,,
02/01/2007 10.00,"0,38063056","5,90385448",,,,,
02/01/2007 11.00,"0,46795323","7,25295786",,,,,
02/01/2007 12.00,"0,47403794","8,47276414",,,,,
02/01/2007 13.00,"0,38945405","9,38517819",,,,,
02/01/2007 14.00,"0,42566027","6,30882946",,,,,
02/01/2007 15.00,"0,56622899","5,71112488",,,,,
02/01/2007 16.00,"0,31582223","7,77991462",,,,,
02/01/2007 17.00,"0,35294273","4,85238258",,,,,
