NetC,Provincia di TARANTO,,,,
Stat,TA V.Archimede,,,,
Parm,SO2,NOX,NO2,CO,PM10
PtId,1,2,4,6,8
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
04/01/2007 21.00,"0,566361","165,714432","63,794282","0,258963",
04/01/2007 22.00,"0,42838","128,914093","60,61971","0,335586",
04/01/2007 23.00,"0,454224","102,036878","48,360005","0,25808",
05/01/2007 0.00,"0,714807","186,327262","51,001164","0,641342",
05/01/2007 1.00,"0,488578","111,367286","43,242478","0,241381",
05/01/2007 2.00,"0,295441","71,541112","46,724688","0,113122",
05/01/2007 3.00,"0,315359","65,69047","42,770062","0,090641",
05/01/2007 4.00,"0,278422","65,079586","41,028326","0,024393",
05/01/2007 5.00,"0,264113","31,215559","24,823094","0,000207",
05/01/2007 6.00,"0,280943","55,275747","38,651922",0,
05/01/2007 7.00,"0,296008","56,701104","38,966003","0,01749",
05/01/2007 8.00,"0,366606","102,402628","50,532627","0,042118",
05/01/2007 9.00,"0,350659","86,128178","43,687649","0,014185",
05/01/2007 10.00,"0,336224","111,948361","46,101704","0,21119",
05/01/2007 11.00,"0,635132","165,183946","52,548242","0,75638",
05/01/2007 12.00,"0,835517","167,940017","59,535968","1,013364",
05/01/2007 13.00,"0,614834","123,601682","55,195902","0,8319",
05/01/2007 14.00,"0,409596","89,274644","53,817561","0,426182",
05/01/2007 15.00,"0,233857","66,341542","46,099104","0,126128",
05/01/2007 16.00,"0,310506","36,800339","27,237128","0,040072",
05/01/2007 17.00,"0,147184","34,823753","27,845831","0,00986",
05/01/2007 18.00,"0,251443","34,876924","28,37796","0,011414",
05/01/2007 19.00,"0,179962","35,671974","29,173562","0,028707",
05/01/2007 20.00,"0,164393","32,036553","25,827639","0,017979",
05/01/2007 21.00,"0,197297","31,031415","24,690708","0,051235",
05/01/2007 22.00,"0,178828","38,040254","31,252746","0,054039",
05/01/2007 23.00,"0,216712","35,735528","29,01651","0,37624",
06/01/2007 0.00,"0,208013","41,016817","32,557115","0,232124",
06/01/2007 1.00,"0,246401","51,934717","33,269641","0,113353",
06/01/2007 2.00,"0,186455","34,861381","28,52461","0,155082",
06/01/2007 3.00,,"26,468657","20,384366","0,024665",
06/01/2007 4.00,"0,547009","24,301404","18,262359","0,053934",
06/01/2007 5.00,"0,380462","22,246999","15,46674","0,182016",
06/01/2007 6.00,"0,423925","30,822586","22,714043","0,460923",
06/01/2007 7.00,"0,373156","20,320984","14,440116","0,058281",
06/01/2007 8.00,"0,423422","25,132761","19,026802","0,457876",
06/01/2007 9.00,"0,359297","22,63091","16,009245","0,231584",
06/01/2007 10.00,"0,329188","25,012152","17,462863","0,258953",
06/01/2007 11.00,"0,570441","73,155835","38,361202","1,842074",
06/01/2007 12.00,"0,376809","17,168054","10,188286","0,034609",
06/01/2007 13.00,"0,279174","17,799679","10,713928","0,008386",
06/01/2007 14.00,"0,501403","17,245872","10,768439","0,003162",
06/01/2007 15.00,"0,296684","15,430107","9,23436","0,001303",
06/01/2007 16.00,"0,348085","13,995652","8,188275","0,000653",
06/01/2007 17.00,"0,362194","16,433966","10,697053","0,007743",
06/01/2007 18.00,"0,213916","23,999214","18,455735","0,050171",
06/01/2007 19.00,"0,319109","43,990779","36,441627","0,076645",
06/01/2007 20.00,"0,316338","65,338986","50,362615","0,179568",
06/01/2007 21.00,"0,354384","44,886989","35,252787","0,081401",
06/01/2007 22.00,"0,465625","97,737387","52,667643","0,239487",
06/01/2007 23.00,"0,363202","84,158077","52,558602","0,185096",
07/01/2007 0.00,"0,415485","85,525099","51,799368","0,10031",
07/01/2007 1.00,"0,38147","77,87165","47,764281","0,172542",
07/01/2007 2.00,"0,366226","76,953373","43,463124","0,194808",
07/01/2007 3.00,"0,447358","95,40155","38,048415","0,210844",
07/01/2007 4.00,"0,520426","81,983059","37,23333","0,125827",
07/01/2007 5.00,"0,291142","33,630529","22,606321","0,014811",
07/01/2007 6.00,"0,201065","25,30138","18,676373","0,000151",
07/01/2007 7.00,"0,257883","45,55623","30,562286","0,004824",
07/01/2007 8.00,"0,286229","53,532614","32,616807","0,016056",
07/01/2007 9.00,"0,245915","54,463834","30,092452","0,023956",
07/01/2007 10.00,"0,501151","84,583496","39,572109","0,135515",
07/01/2007 11.00,"0,348085","41,252852","24,989228","0,045087",
07/01/2007 12.00,"0,412839","61,811213","36,126262","0,116561",
07/01/2007 13.00,"0,783474","126,592508","64,701502","0,116514",
07/01/2007 14.00,"0,438791","73,940521","50,326285","0,060873",
07/01/2007 15.00,"0,511356","51,070954","37,389101","0,02955",
07/01/2007 16.00,"0,457058","43,785852","33,247577","0,007298",
07/01/2007 17.00,"0,362447","39,63551","32,158653","0,01886",
07/01/2007 18.00,"0,322007","57,123923","46,353494","0,064805",
07/01/2007 19.00,"0,520805","87,387538","63,340045","0,08087",
07/01/2007 20.00,"0,305504","62,900651","48,819457","0,01653",
07/01/2007 21.00,"0,389911","50,330377","40,257389","0,01323",
07/01/2007 22.00,"0,470034","81,556341","50,437889","0,107975",
07/01/2007 23.00,"0,434382","56,850278","43,626656","0,033592",
08/01/2007 0.00,"0,447735","51,064451","37,938094","0,018908",
08/01/2007 1.00,"0,47457","45,510838","35,969211","0,013538",
08/01/2007 2.00,"0,309535","36,565584","28,804968","0,007932",
08/01/2007 3.00,,"33,526766","26,823121","0,013972",
08/01/2007 4.00,"0,356452","42,145163","32,143088","0,113173",
08/01/2007 5.00,"0,365433","42,753465","30,655728","0,131184",
08/01/2007 6.00,"0,325637","43,193111","29,20601","0,054134",
08/01/2007 7.00,"0,44956","77,101246","34,724559","0,027077",
08/01/2007 8.00,"1,204718","214,659468","40,812881","0,341744",
08/01/2007 9.00,"1,086846","200,947748","43,469604","0,349328",
08/01/2007 10.00,"1,148192","169,711715","54,704001","0,327124",
08/01/2007 11.00,"0,79174","123,408413","52,367825","0,373218",
08/01/2007 12.00,"0,898552","121,156877","58,005775","0,504227",
08/01/2007 13.00,"0,68313","99,212071","56,579423","0,253706",
08/01/2007 14.00,"1,285631","126,893373","74,802848","0,557331",
08/01/2007 15.00,"0,748731","89,627426","59,020723","0,169691",
08/01/2007 16.00,"0,498996","68,948442","53,912299","0,01069",
08/01/2007 17.00,"0,563745","70,60339","56,231593","0,123162",
08/01/2007 18.00,"0,623012","73,797827","62,476952","0,195492",
08/01/2007 19.00,"0,987973","129,987988","70,309614","0,577509",
08/01/2007 20.00,"0,990524","141,809881","62,103172","0,252608",
08/01/2007 21.00,"0,954889","156,491634","57,182929","0,289126",
08/01/2007 22.00,"0,867642","107,656667","58,432785","0,339097",
08/01/2007 23.00,"0,745706","103,905823","56,422393","0,237259",
09/01/2007 0.00,"0,424983","92,322543","48,898616","0,222232",
09/01/2007 1.00,"0,842688","114,229743","49,886296","0,25037",
09/01/2007 2.00,"0,618664","75,01311","43,865466","0,065448",
09/01/2007 3.00,"0,477067","22,109525","15,88465","0,009228",
09/01/2007 4.00,"0,457405","24,996589","18,955415","0,005699",
09/01/2007 5.00,"0,381313","33,120831","24,935997","0,009337",
09/01/2007 6.00,"0,45249","38,049334","24,372722","0,053735",
09/01/2007 7.00,"0,467897","82,741778","33,816052","0,078105",
09/01/2007 8.00,"0,86821","137,946189","38,135374","0,315524",
09/01/2007 9.00,"1,429403","222,4285","47,676024","0,541445",
09/01/2007 10.00,"1,077487","173,926891","64,797546","0,632553",
09/01/2007 11.00,"1,482715","194,054413","75,180523","0,806804",
09/01/2007 12.00,"1,18931","150,430861","69,332309","0,924526",
09/01/2007 13.00,"0,904697","102,16009","61,168703","0,256075",
09/01/2007 14.00,"0,786162","89,655952","58,282232","0,23011",
09/01/2007 15.00,"0,574711","83,676882","57,716358","0,079178",
09/01/2007 16.00,"0,622162","92,172089","63,957829","0,017681",
09/01/2007 17.00,"0,575845","109,613793","72,042262","0,102243",
09/01/2007 18.00,"0,345488","53,729741","43,79149","0,023367",
09/01/2007 19.00,"0,495972","60,056396","46,48458","0,096109",
09/01/2007 20.00,"0,495593","68,245475","53,813659","0,10971",
09/01/2007 21.00,"0,327812","66,645033","52,867505","0,168563",
09/01/2007 22.00,"0,57093","81,769032","58,850688","0,304022",
09/01/2007 23.00,"0,722831","116,359365","55,774742","0,231923",
10/01/2007 0.00,"0,44852","54,992999","38,775225","0,102636",
10/01/2007 1.00,"0,398233","37,343767","29,806912","0,155518",
10/01/2007 2.00,"0,534537","31,887419","25,429198","0,075554",
10/01/2007 3.00,,"20,461058","14,499826","0,034318",
10/01/2007 4.00,"0,323573","21,841042","15,765243","0,04517",
10/01/2007 5.00,"0,26782","31,117014","24,185825","0,017963",
10/01/2007 6.00,"0,303007","26,35841","18,536206","0,16889",
10/01/2007 7.00,"0,375834","65,262468","34,463685","0,388568",
10/01/2007 8.00,"0,904681","154,349022","60,801407","0,895106",
10/01/2007 9.00,"2,140954","333,402889","57,913638","1,299064",
10/01/2007 10.00,"1,92002","318,469416","71,111695","1,059083",
