,Regione Puglia,,,,,,
,Zona167_via Michelangelo,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"4,19497448","12,06687482",,"0,44928109",,"58,92253113",
01/01/2007 2.00,"2,84014234","15,54721003",,"0,55509571",,"58,92253113",
01/01/2007 3.00,"1,22756985","15,59652434",,"0,46156601",,"58,92253113",
01/01/2007 4.00,"0,85561736","10,14546778",,"0,45807334",,"58,92253113",
01/01/2007 5.00,"0,70976735","10,78401078",,"0,38291104",,"58,92253113",
01/01/2007 6.00,"0,55962764","6,94491362",,"0,35783092",,"58,92253113",
01/01/2007 7.00,"0,58375698","8,44785078",,"0,37612142",,"58,92253113",
01/01/2007 8.00,"0,50797218","5,81965956",,"0,3179553",,"58,92253113",
01/01/2007 9.00,"0,65882684","9,92223222",,"0,45151789",,"58,92253113",
01/01/2007 10.00,"0,67848748","11,80025025",,"0,4383697",,"58,92253113",
01/01/2007 11.00,"0,71763181","14,54135654",,"0,443865",,"58,92253113",
01/01/2007 12.00,"1,04382744","18,17279711",,"0,59571809",,"58,92253113",
01/01/2007 13.00,"1,12801369","21,16178656",,"0,60808107",,"58,92253113",
01/01/2007 14.00,"1,08547359","16,210414",,"0,52993753",,"58,92253113",
01/01/2007 15.00,"1,05830546","6,21680873",,"0,41097356",,"58,92253113",
01/01/2007 16.00,"1,17645136","6,44133871",,"0,38793568",,"58,92253113",
01/01/2007 17.00,"1,36913015","6,73206214",,"0,38656098",,"58,92253113",
01/01/2007 18.00,"1,33856625","8,97478651",,"0,39790459",,"58,92253113",
01/01/2007 19.00,"1,23203855","11,17078543",,"0,39276228",,"58,92253113",
01/01/2007 20.00,"1,21684559","10,93586755",,"0,38911233",,"58,92253113",
01/01/2007 21.00,"1,06277415","9,1681681",,"0,38832712",,"58,92253113",
01/01/2007 22.00,"1,27922531","9,6769341",,"0,37996825",,"58,92253113",
01/01/2007 23.00,"1,38056936","7,28625342",,"0,40143687",,"58,92253113",
02/01/2007 0.00,"1,35501012","4,93191414",,"0,36995973",,"58,92253113",
02/01/2007 1.00,,"4,10516916",,"0,35398409",,"14,77383995",
02/01/2007 2.00,"0,59427581",,,"0,36599524",,"14,77383995",
02/01/2007 3.00,"0,53723127","4,42704289",,,,"14,77383995",
02/01/2007 4.00,"0,56672834","3,6314463",,"0,19786943",,"14,77383995",
02/01/2007 5.00,"0,78224081","4,87091369",,"0,18218853",,"14,77383995",
02/01/2007 6.00,"0,5022424","4,40238191",,"0,17346734",,"14,77383995",
02/01/2007 7.00,"0,69667348","6,1765726",,"0,16611619",,"14,77383995",
02/01/2007 8.00,"0,60667711","15,30580091",,"0,21898505",,"14,77383995",
02/01/2007 9.00,"0,70181136","24,03787432",,"0,29383164",,"14,77383995",
02/01/2007 10.00,"0,63980589","17,47065526",,"0,45185224",,"14,77383995",
02/01/2007 11.00,"0,53377652","26,70369944",,"0,42714609",,"14,77383995",
02/01/2007 12.00,"0,58160908","14,44920962",,"0,43640667",,"14,77383995",
02/01/2007 13.00,"0,56672834","9,46538086",,"0,19442802",,"14,77383995",
02/01/2007 14.00,"0,45910431","9,51729548",,"0,26606736",,"14,77383995",
02/01/2007 15.00,"0,68941006","9,33819079",,"0,22844835",,"14,77383995",
02/01/2007 16.00,"0,56734769","5,4341908",,"0,24166644",,"14,77383995",
02/01/2007 17.00,"0,56796806","6,20902115",,"0,26329",,"14,77383995",
02/01/2007 18.00,"0,46140782","12,24671181",,"0,3314891",,"14,77383995",
02/01/2007 19.00,"0,56256474","9,60425324",,"0,28280375",,"14,77383995",
02/01/2007 20.00,"0,3927593","7,3563397",,"0,2390848",,"14,77383995",
02/01/2007 21.00,"0,42553314","7,81578756",,"0,21069491",,"14,77383995",
02/01/2007 22.00,"0,34333208","4,78265768",,"0,17561909",,"14,77383995",
02/01/2007 23.00,"0,28256735","3,44844687",,"0,17084725",,"14,77383995",
03/01/2007 0.00,"0,26750863","2,67361652",,"0,16783689",,"14,77383995",
03/01/2007 1.00,"0,1503187","2,00910666",,"0,16482537",,"12,00107956",
03/01/2007 2.00,"0,23322861","1,44972238",,"0,18496472",,"12,00107956",
03/01/2007 3.00,"0,19611421","1,6547882",,"0,19626522",,"12,00107956",
03/01/2007 4.00,"0,2488182","1,88970226",,"0,20858393",,"12,00107956",
03/01/2007 5.00,"0,26626789","2,16095578",,"0,22289596",,"12,00107956",
03/01/2007 6.00,"0,19558232","2,39717",,"0,21276745",,"12,00107956",
03/01/2007 7.00,"0,20993219","2,63857338",,"0,20905226",,"12,00107956",
03/01/2007 8.00,"0,29328449","4,98382876",,"0,1941158",,"12,00107956",
03/01/2007 9.00,"0,24908364","4,68401951",,"0,22105759",,"12,00107956",
03/01/2007 10.00,"0,19487347","4,15578554",,"0,19849503",,"12,00107956",
03/01/2007 11.00,"0,27158273","3,60029791",,"0,30908149",,"12,00107956",
03/01/2007 12.00,"0,28708486","4,26870252",,"0,32714831",,"12,00107956",
03/01/2007 13.00,"0,31906138","3,73138272",,"0,20584618",,"12,00107956",
03/01/2007 14.00,"0,26237075","2,83325514",,"0,21335461",,"12,00107956",
03/01/2007 15.00,"0,28061776","2,88516976",,"0,25128584",,"12,00107956",
03/01/2007 16.00,"0,24492106","2,76057428",,"0,25460959",,"12,00107956",
