, Brindisi,,
,P.za San Giusto Casale,,
Parm,SO2,NO2,PM10



01/01/2007 1.00,"17,1481455","38,24957912",
01/01/2007 2.00,"2,78516332","43,03613728","171,91690063"
01/01/2007 3.00,"0,87262566","28,42339048",
01/01/2007 4.00,"0,53288258","19,98722584","113,30879974"
01/01/2007 5.00,"0,49398436","26,16248872",
01/01/2007 6.00,"0,5556227","33,623954","96,70330048"
01/01/2007 7.00,"0,56878471","38,0574996",
01/01/2007 8.00,"1,14432637","39,995216","80,58608246"
01/01/2007 9.00,"2,53837708","43,45404312",
01/01/2007 10.00,"3,32809487","25,34094056","68,37606049"
01/01/2007 11.00,"2,02594231","12,53354814",
01/01/2007 12.00,"1,88086726","12,45048512","41,02563095"
01/01/2007 13.00,"1,61809785","14,07153034",
01/01/2007 14.00,"1,0524272","11,68084202","28,81562042"
01/01/2007 15.00,"0,47506409","7,07080735",
01/01/2007 16.00,"0,33827454","10,41931016","21,48962021"
01/01/2007 17.00,"0,43034864","17,32658989",
01/01/2007 18.00,"0,92409908","24,52327376","23,93161964"
01/01/2007 19.00,"0,63800275","33,23979496",
01/01/2007 20.00,"0,97727496","34,60515416","32,72283173"
01/01/2007 21.00,"0,72208627","32,43251032",
01/01/2007 22.00,"0,65868548","27,038548","42,49084091"
01/01/2007 23.00,"0,94337123","23,88342296",
02/01/2007 0.00,"0,62912942","19,8691216","43,46763992"
02/01/2007 1.00,,"9,08640334",
02/01/2007 2.00,"0,07613465",,"22,95482063"
02/01/2007 3.00,"0,01046086","5,85859553",
02/01/2007 4.00,"0,02964047","6,8527667","12,21000957"
02/01/2007 5.00,"0,01075172","5,60161699",
02/01/2007 6.00,"0,03806733","7,07080735","10,25640965"
02/01/2007 7.00,"0,07962195","14,66595202",
02/01/2007 8.00,"0,09618481","19,7497172","15,14041042"
02/01/2007 9.00,"0,08136509","16,90478357",
02/01/2007 10.00,"0,17929405","16,17926752","13,18680954"
02/01/2007 11.00,"0,08746709","9,85993544",
02/01/2007 12.00,"0,03661403","12,55691278","9,27960968"
02/01/2007 13.00,"0,15081602","21,1760692",
02/01/2007 14.00,"0,2007975","19,38110272","13,67521"
02/01/2007 15.00,"0,15372158","12,27786785",
02/01/2007 16.00,"0,16621746","9,74053104","6,83760691"
02/01/2007 17.00,"0,12669684","10,18569435",
02/01/2007 18.00,"0,17231946","12,54393412","13,18680954"
02/01/2007 19.00,"0,07410065","8,90340199",
02/01/2007 20.00,"0,12756841","14,61663007","13,18680954"
02/01/2007 21.00,"0,16476417","14,55044237",
02/01/2007 22.00,"0,14849115","11,98974092","8,79120922"
02/01/2007 23.00,"0,11100555","11,54067522",
03/01/2007 0.00,"0,13919272","6,74633904","6,34920597"
03/01/2007 1.00,"0,07293822","2,38419134",
03/01/2007 2.00,"0,19033562","1,04478754","7,32600689"
03/01/2007 3.00,"0,1891742","2,38548959",
03/01/2007 4.00,"0,92727212","1,1148719","7,81440783"
03/01/2007 5.00,"0,4916778","1,06814836",
03/01/2007 6.00,"0,44489275","0,48151043","6,83760691"
03/01/2007 7.00,"0,3025036","0,59312726",
03/01/2007 8.00,"0,40450056","1,43804197","5,86080599"
03/01/2007 9.00,"1,39657491","3,95721286",
03/01/2007 10.00,"1,07024198","3,10451058","6,34920597"
03/01/2007 11.00,"0,59018747","1,44972238",
03/01/2007 12.00,"1,09755759","2,34006238","16,60560989"
03/01/2007 13.00,"0,34522065","1,92344523",
03/01/2007 14.00,"0,68492001","0,44387271","5,37240601"
03/01/2007 15.00,"1,06355826","1,69631875",
03/01/2007 16.00,"1,09058402","2,57108552","11,72161007"
03/01/2007 17.00,"0,38532198","0,89812758",
03/01/2007 18.00,"0,31964819","0,91110624","8,30280876"
03/01/2007 19.00,"0,16127688","1,19014926",
03/01/2007 20.00,"0,19556707","1,3562772","14,65200996"
03/01/2007 21.00,"0,15372158","1,50812824",
03/01/2007 22.00,"0,18423362","0,82414848","12,69841003"
03/01/2007 23.00,"0,48005451","1,100595",
04/01/2007 0.00,"0,46349063","1,53148906","18,55920982"
04/01/2007 1.00,,"0,61389349",
04/01/2007 2.00,"1,79998932",,"9,27960968"
04/01/2007 3.00,"1,88083573","2,5594032",
04/01/2007 4.00,"1,85831427","1,51721215","6,83760691"
04/01/2007 5.00,"2,03271146","0,74627654",
04/01/2007 6.00,"2,18285524","0,70993707","5,86080599"
