NetC,Provincia di TARANTO,,,,
Stat,MANDURIA,,,,
Parm,NOX,NO2,CO,O3,Benzene
PtId,1,3,5,6,7
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
04/01/2007 21.00,"243,480761","97,54546","3,433699","36,838691","14,968958"
04/01/2007 22.00,"336,339158","96,102241","4,105048","36,59225","16,47245"
04/01/2007 23.00,"136,740001","67,806022","2,602159","29,048478","13,687294"
05/01/2007 0.00,"212,581697","76,179891","2,872286","26,783035","10,089198"
05/01/2007 1.00,"173,242071","63,899421","2,121503","18,108584","9,023633"
05/01/2007 2.00,"40,888407","30,357224","0,848154","21,950186","3,630228"
05/01/2007 3.00,"20,42993","20,763345","0,717142","25,095804","1,429116"
05/01/2007 4.00,"19,573927","20,306491","0,719952","22,723389","1,459045"
05/01/2007 5.00,"18,572676","20,610194","0,786244","21,671245","1,532548"
05/01/2007 6.00,"21,319659","20,0573","0,687137","23,935331","1,787826"
05/01/2007 7.00,"32,663002","24,724454","0,495039","27,859557","0,81909"
05/01/2007 8.00,"124,493993","57,700793","1,137954","19,132292","1,084931"
05/01/2007 9.00,"217,211797","65,26478","2,595959","23,395025","3,647393"
05/01/2007 10.00,"241,890939","72,532865","2,927667","22,011134","8,348907"
05/01/2007 11.00,"192,678544","68,140869","2,319882","20,977943","6,179925"
05/01/2007 12.00,"199,785833","71,131162","1,848152","21,082203","5,348952"
05/01/2007 13.00,"166,832439","69,750238","1,82757","21,791764","4,707677"
05/01/2007 14.00,"128,748074","64,187559","1,666304","25,344959","5,923768"
05/01/2007 15.00,"98,160225","59,805944","1,225737","25,944834","5,366118"
05/01/2007 16.00,"88,417343","54,68972","1,204328","24,838528","4,016666"
05/01/2007 17.00,"113,965142","61,160921","1,306494","23,598158","3,720455"
05/01/2007 18.00,"140,104381","67,987737","1,68391","24,693631","4,680829"
05/01/2007 19.00,"132,483338","66,596413","1,917999","25,634752","6,795234"
05/01/2007 20.00,"141,139342","65,957864","1,806905","23,893356","6,932995"
05/01/2007 21.00,"145,722864","66,952025","2,006443","24,512186","7,20896"
05/01/2007 22.00,"134,309506","68,005899","1,756567","23,770126","7,380612"
05/01/2007 23.00,"85,896027","58,258867","1,655228","24,929241","5,99595"
06/01/2007 0.00,"56,529924","43,862884","1,466932","24,48645","4,992444"
06/01/2007 1.00,"41,739207","34,269005","1,23392","22,575799","4,079165"
06/01/2007 2.00,,,"0,681764","22,812765","2,574785"
06/01/2007 3.00,"22,733354","20,379166",,"23,531803","1,005267"
06/01/2007 4.00,"12,881553","14,998206","0,539542",,"0,522"
06/01/2007 5.00,"7,748128","10,712635","0,447815","30,519031","0,351667"
06/01/2007 6.00,"8,871307","10,956628","0,389141","32,072218","0,273324"
06/01/2007 7.00,"11,893257","13,207147","0,385258","30,464867","0,203342"
06/01/2007 8.00,"24,53876","21,090411","0,511941","28,536621","0,616188"
06/01/2007 9.00,"32,323181","22,974915","0,546319","31,252973","1,096815"
06/01/2007 10.00,"31,716217","24,877605","0,712834","32,348446","1,327005"
06/01/2007 11.00,"40,569352","28,869841","0,838361","34,172434","1,350332"
06/01/2007 12.00,"62,682759","38,442957","0,884638","37,044516","1,845923"
06/01/2007 13.00,"64,794256","40,914121","1,014297","37,636272","2,371444"
06/01/2007 14.00,"70,259711","46,13675","0,977276","37,778456","2,418978"
06/01/2007 15.00,"23,81763","22,16505","0,60838","45,476604","1,96564"
06/01/2007 16.00,"22,032989","18,569945","0,548467","46,122503","1,230175"
06/01/2007 17.00,"37,417685","29,897772","0,836296","41,896317","1,370578"
06/01/2007 18.00,"85,851937","58,565169","1,62028","33,231334","3,566849"
06/01/2007 19.00,"142,387061","82,931429","2,598629","32,585412","7,796539"
06/01/2007 20.00,"124,366879","79,29999","2,499547","28,508171","10,55354"
06/01/2007 21.00,"119,37612","73,835929","2,22395","27,31927","8,774518"
06/01/2007 22.00,"168,910167","79,769807","3,427901","36,310596","9,057964"
06/01/2007 23.00,"159,18285","79,889205","3,527563","32,076267","14,013436"
07/01/2007 0.00,"160,357909","75,45826","3,747132","32,364705","11,859419"
07/01/2007 1.00,"83,019326","52,441797","1,955626","20,315783","9,73357"
07/01/2007 2.00,"53,982661","47,130915","1,505331","20,076103","4,169833"
07/01/2007 3.00,"36,987123","36,683038","0,918933","20,128911","2,355158"
07/01/2007 4.00,"27,174204","28,210527","0,785804","22,200718","1,406229"
07/01/2007 5.00,"27,493259","26,336404","0,744237","23,515544","1,105617"
07/01/2007 6.00,"42,608211","32,462356","0,850344","19,392281","1,318202"
07/01/2007 7.00,"49,067119","34,489629","0,980829","19,734877","1,700679"
07/01/2007 8.00,"98,928025","41,056874","2,024875","20,031415","2,220038"
07/01/2007 9.00,"135,795802","53,591733","2,470706","21,374709","5,800529"
07/01/2007 10.00,"118,782099","62,801435","2,351956","26,738347","6,546998"
07/01/2007 11.00,"68,023703","44,584494","1,423355","29,343657","5,641201"
07/01/2007 12.00,"39,415058","30,546703","0,74903","37,037755","2,339313"
07/01/2007 13.00,"51,388707","35,587634","0,774977","38,512376","1,586244"
07/01/2007 14.00,"48,382317","35,930284","0,675151","42,781918","1,426035"
07/01/2007 15.00,"24,966761","23,192961","0,529048","49,549777","1,035636"
07/01/2007 16.00,"22,6711","20,34802","0,542683","53,975023","0,760112"
07/01/2007 17.00,"44,172341","33,573343","0,82266","48,500325","1,162835"
07/01/2007 18.00,"168,980201","80,379808","2,030413","32,493343","2,282536"
07/01/2007 19.00,"391,289463","108,803178","3,545743","26,170969","10,003812"
07/01/2007 20.00,"359,113943","110,155518","4,462445","39,647132","11,998057"
07/01/2007 21.00,"293,32622","104,60588","4,554585","42,332342","21,713132"
07/01/2007 22.00,"551,03228","113,335346","5,923896","36,053302","26,562096"
07/01/2007 23.00,"325,218773","83,489507","4,185856","28,168302","23,455192"
08/01/2007 0.00,"211,108311","69,874822","3,831505","27,430293","12,788093"
08/01/2007 1.00,"196,831213","60,608025","4,451371","29,546788","16,818851"
08/01/2007 2.00,,,"2,700606","17,569642","11,44789"
08/01/2007 3.00,"70,77849","36,428667",,"15,94335","6,232302"
08/01/2007 4.00,"28,735752","25,560284","1,15511",,"3,407519"
08/01/2007 5.00,"16,961835","18,865863","0,99059","22,593396","2,323469"
08/01/2007 6.00,"28,357043","21,308456","0,89672","20,350995","1,624976"
08/01/2007 7.00,"42,626358","30,466247","1,02133","21,4898","1,489855"
08/01/2007 8.00,"180,064147","54,466492","1,782616","20,731481","2,243805"
08/01/2007 9.00,"373,012266","72,091597","3,848328","26,039638","5,362596"
08/01/2007 10.00,"577,443879","139,248611","6,621616","29,519695","17,393221"
08/01/2007 11.00,"401,506801","137,748282","4,642089","24,846648","16,424925"
08/01/2007 12.00,"121,056997","65,020791","1,448948","27,530502","13,75287"
08/01/2007 13.00,"62,05763","46,308065","0,837391","31,806804","2,539135"
08/01/2007 14.00,"77,188128","52,005729","0,850199","31,629408","2,525931"
08/01/2007 15.00,"80,951955","51,369758","0,790208","32,673433","1,768459"
08/01/2007 16.00,"46,888224","39,87063","0,64833","38,550302","1,858247"
08/01/2007 17.00,"61,090081","47,084202","0,894406","35,263861","2,123648"
08/01/2007 18.00,"133,759561","74,853459","1,522739","26,380862","3,892108"
08/01/2007 19.00,"105,848683","66,905294","1,873098","29,778347","6,649549"
08/01/2007 20.00,"141,684094","74,871642","1,641728","25,577874","5,791727"
08/01/2007 21.00,"137,935847","76,654908","1,938873","29,335537","6,32473"
08/01/2007 22.00,"133,222613","82,085214","2,100004","28,957743","7,266177"
08/01/2007 23.00,"177,140773","88,161837","3,650012","33,335592","11,439531"
09/01/2007 0.00,"111,882207","62,061627","1,82641","19,844557","9,579964"
09/01/2007 1.00,"83,45511","49,163388","1,394082","21,506041","5,188743"
09/01/2007 2.00,"27,32724","25,840622","0,553054","28,470266","2,586229"
09/01/2007 3.00,"10,749327","13,861267","0,397459","36,062777","0,495151"
09/01/2007 4.00,"6,66645","10,253184","0,292765","39,392551","0,355629"
09/01/2007 5.00,"3,359164","7,172042","0,172204","46,230855","0,044453"
09/01/2007 6.00,"7,110015","9,113659","0,357216","40,358031","0,036091"
09/01/2007 7.00,"51,881565","30,668707","0,726664","21,300216","0,866184"
09/01/2007 8.00,"102,6296","42,136713","1,247823","20,62451","2,52417"
09/01/2007 9.00,"205,233118","59,787761","2,318731","21,172935","3,326095"
09/01/2007 10.00,"221,230057","74,967685","3,42922","23,025352","8,97566"
09/01/2007 11.00,"124,322766","57,500913","1,524557","24,852053","7,047871"
09/01/2007 12.00,"88,157942","54,134224","0,858627","32,294283","4,284267"
09/01/2007 13.00,"53,38088","41,456612","0,563549","39,082469","1,712123"
09/01/2007 14.00,"60,31968","42,90505","0,717987","38,110205","1,027714"
09/01/2007 15.00,"48,366774","37,438392","0,50265","40,163039","1,032995"
09/01/2007 16.00,"35,111679","29,126833","0,467861","42,914604","0,517598"
09/01/2007 17.00,"62,822849","46,549453","0,837804","36,068203","1,450682"
