NetC,Regione Puglia,,,,,,
Stat,c,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE
PtId,1,4,2,,,5,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,,,ug/m3,
Field,Aver,Aver,Aver,,,Aver,
19/04/2007 19.00,"1,33275998","6,87061772","8,05996513","1,8853652","112,93617312",,"0,30765"
19/04/2007 20.00,"0,64326501","7,83334738","8,54226017","1,8329942","107,34829902",,"0,58034998"
19/04/2007 21.00,"0,89917201","7,96613657","8,42355347","1,47328225","98,71212438",,"0,56075001"
19/04/2007 22.00,"0,59625798","7,54350785","7,88291979","1,2802605","95,7716946",,"0,6397"
19/04/2007 23.00,"0,793522","7,07746377","7,39994621","1,1839181","85,06737576",,"0,33364999"
20/04/2007 0.00,"0,59040099","11,06372035","9,33523273","1,15850885","72,0218808",,"0,60705"
20/04/2007 1.00,,"11,3318569","9,37796783","1,00101635","44,7017175",,"0,27895001"
20/04/2007 2.00,"1,373698",,,"0,93054435","26,12159712",,"0,61080003"
20/04/2007 3.00,"1,34238398","5,75083961","5,31881714",,"33,2023374",,"0,59429997"
20/04/2007 4.00,"1,31479704","4,68468693","4,91860008","0,55254625","23,14789182",,"0,61535001"
20/04/2007 5.00,"1,30198896","5,31416358","5,24487877","0,43803845","22,97343078",,"0,58329999"
20/04/2007 6.00,"1,61341","5,41120249","5,50535917","0,37476545","20,54304252",,"0,6257"
20/04/2007 7.00,"0,91447997","8,90460698","7,74046898","0,29337305","18,08071094",,"0,62099999"
20/04/2007 8.00,"0,91348702","11,16587182","14,94641018","0,29300505","12,9882281",,"0,78235"
20/04/2007 9.00,"1,84331405","21,62565009","19,40035057","0,55783625","28,30961952",,"1,06334996"
20/04/2007 10.00,"2,07593298","10,09971349","8,52258873","0,8135951","77,5911159",,"1,54999995"
20/04/2007 11.00,"2,47857904","8,89311595","8,09320354","1,1625764","93,13092108",,"1,15149999"
20/04/2007 12.00,"5,70491791","11,13011777","10,02101994","1,63056545","104,13350316",,"0,75199997"
20/04/2007 13.00,"6,67159891","7,72354024","8,47917557","2,0625641","111,80286306",,"0,61500001"
20/04/2007 14.00,"7,10773897","6,61269876","8,56668091","2,5595021","122,58315054",,"0,55760002"
20/04/2007 15.00,"5,43251705","4,33611318","8,06403542","2,9254781","123,85894104",,"0,30274999"
20/04/2007 16.00,"5,13006401","4,2914225","8,87260914","3,23671985","123,40346274",,"0,49020001"
20/04/2007 17.00,"3,71634507","3,89943715","9,11545277","3,39617425","120,75331086",,"0,43939999"
20/04/2007 18.00,"5,337008","6,89360166","11,22778034","3,5050183","119,33772786",,"0,43599999"
20/04/2007 19.00,"4,53964806","9,03484365","12,18152046","3,09201305","114,51554388",,"0,46485001"
20/04/2007 20.00,"3,03062892","13,13729525","13,84004021","2,6065716","92,84992344",,"0,51630002"
20/04/2007 21.00,"1,88432002","11,69064448","12,01397038","1,9233543","74,40298362",,"0,47215"
20/04/2007 22.00,"1,39113295","11,80938637","11,23523998","1,53196905","54,74152656",,"0,28805"
20/04/2007 23.00,"1,99399698","13,56630997","11,73110008","1,3677663","32,85610326",,"0,72995001"
21/04/2007 0.00,"1,34561396","13,86252608","11,86744976","1,006664","16,93277221",,"0,84855002"
21/04/2007 1.00,"2,32772708","9,74476127","8,68539047","0,845503","20,03166684",,"0,93159997"
21/04/2007 2.00,,,,,,,
21/04/2007 3.00,"2,22480011","9,9490548","8,65622044","0,7496137","21,73625244",,"0,97544998"
21/04/2007 4.00,"2,72169495","6,58971482","6,46248817","0,5922845","37,75415778",,"0,93150002"
21/04/2007 5.00,"2,70724201","5,72147156","5,96798277","0,5030192","33,80294484",,"0,83670002"
21/04/2007 6.00,"2,63842106","7,38518032","7,02889681","0,40829715","18,76387541",,"0,77055001"
21/04/2007 7.00,"2,36592293","14,89804292","15,16551018","0,4769027","11,74173419",,"0,88204998"
21/04/2007 8.00,"2,54925799","14,77802007","14,34337044","0,6678878","29,0527074",,"0,51300001"
21/04/2007 9.00,"2,59003496","10,56958917","9,15140438","0,6373139","50,8569039",,"0,93865001"
21/04/2007 10.00,"2,52310491","12,40056398","10,76515961","0,95863655","66,69234324",,"0,82230002"
21/04/2007 11.00,"7,83503485","18,3940018","15,11734962","1,31786435","78,37681842",,"0,67575002"
21/04/2007 12.00,"13,83038044","11,36761095","10,89811039","1,80801275","97,29118512",,"0,53444999"
21/04/2007 13.00,"9,40029526","6,2973209","8,28991985","2,2610058","111,96396288",,"0,57475001"
21/04/2007 14.00,"6,78137112","4,85833521","8,13932991","2,64027005","119,10999852",,"0,31990001"
21/04/2007 15.00,"6,60761404","4,61446168","8,62501717","2,94455545","118,05124446",,"0,52025002"
21/04/2007 16.00,"5,88626385","4,14969479","8,54836559","2,6554742","120,1647501",,"0,45919999"
21/04/2007 17.00,"6,36654615","4,88642606","7,93718576","2,1120072","126,18408762",,"0,44589999"
21/04/2007 18.00,"6,90616798","6,07642943","8,24650669","1,9753389","123,03321372",,"0,43015"
21/04/2007 19.00,"4,88473177","7,69544939","8,87803555","1,7833533","119,43090324",,"0,41185001"
21/04/2007 20.00,"3,1394639","5,44312306","7,46981382","1,6826754","110,6496387",,"0,37459999"
21/04/2007 21.00,"2,32529902","5,19158822","7,15845919","1,39684175","86,06216862",,"0,3847"
21/04/2007 22.00,"2,29658508","8,36706232","8,56464577","1,12925285","51,91428456",,"0,40075001"
21/04/2007 23.00,"2,33868098","11,19651331","9,88197041","0,8033486","42,98514408",,"0,49225"
22/04/2007 0.00,"2,22669196","8,02359548","7,71469307","0,84192075","53,27797266",,"0,50945002"
22/04/2007 1.00,,"8,9633412","8,21394634","0,658973","47,02290084",,"0,96294999"
22/04/2007 2.00,"2,44906092",,,"0,6833415","49,21223778",,"0,85140002"
22/04/2007 3.00,"1,57175601","9,29914861","7,28530693",,"51,83704062",,"1,10924995"
22/04/2007 4.00,"2,39763689","6,94212206","6,1545248","0,8843661","59,59296396",,"0,34064999"
22/04/2007 5.00,"2,78310704","6,16836142","5,87912083","0,7923247","66,9413799",,"0,56050003"
22/04/2007 6.00,"2,8786509","6,487569","6,17962313","0,7267172","54,1915191",,"0,48100001"
22/04/2007 7.00,"2,21448112","8,13595702","7,23375416","0,69558325","53,40846528",,"0,86309999"
22/04/2007 8.00,"2,60967493","13,02492619","10,21638012","0,7423871","58,84055658",,"1,29349995"
22/04/2007 9.00,"3,39854002","20,57353155","14,86635971","0,9897268","69,5994975",,"1,63499999"
22/04/2007 10.00,"4,4444108","13,41691907","10,77803993","1,12081875","97,46698032",,"1,98150003"
22/04/2007 11.00,"9,92696571","9,62218402","8,88414097","1,41504395","106,50399156",,"0,36524999"
22/04/2007 12.00,"9,3262558","7,7018335","8,26278687","1,8379691","113,8457367",,"0,60095"
22/04/2007 13.00,"8,39078426","6,93190634","8,40930653","2,147947","122,46327234",,"0,27675"
22/04/2007 14.00,"7,04243994","4,83024435","7,28666401","1,93619635","129,97282734",,"0,47264999"
22/04/2007 15.00,"6,59795189","4,70639179","6,93189478","1,79545475","133,5085083",,"0,43285"
22/04/2007 16.00,"5,5553751","4,19055387","6,61918402","1,8230421","134,81492562",,"0,47130001"
22/04/2007 17.00,"5,76553011","9,73965247","9,84398365","1,68700055","129,71445156",,"0,48034999"
22/04/2007 18.00,"8,70136833","16,78519755","13,75185966","1,7778057","125,03877012",,"0,68895"
22/04/2007 19.00,"6,21140718","15,76500146","12,9663496","1,74761935","120,14342316",,"1,09154999"
22/04/2007 20.00,"2,83226609","17,92412424","13,88346004","1,5880327","110,33265798",,"0,38909999"
22/04/2007 21.00,"2,60541797","15,66286128","12,44200039","1,28073545","100,68707358",,"0,5693"
22/04/2007 22.00,"3,00038791","15,0001831","11,80910969","0,98275665","75,75334974",,"0,54995"
22/04/2007 23.00,"3,24514103","10,58107644","9,07814407","0,7908826","63,79319394",,"0,28565001"
23/04/2007 0.00,"3,12532997","11,10202691","9,30674267","0,7494803","56,9908026",,"0,47995001"
23/04/2007 1.00,"3,07796097","13,6084406","10,34934044","0,71781045","63,403011",,"0,56274998"
23/04/2007 2.00,"3,47062302","9,09868479","7,92090702","0,72717145","75,60286434",,"0,55309999"
23/04/2007 3.00,"2,63790798","10,54021924","8,60873699","0,7175218","66,93339456",,"0,58375001"
23/04/2007 4.00,"2,93157601","8,23682564","7,3843441","0,6889857","79,59400398",,"0,63169998"
23/04/2007 5.00,"2,79406404","7,84867001","7,12589884","0,60890315","88,92001782",,"0,53829998"
23/04/2007 6.00,"2,86735702","8,25470078","7,34500122","0,63129595","84,65986836",,"0,45774999"
23/04/2007 7.00,"2,812078","6,93701326","6,60561705","0,58688295","66,33412128",,"0,4675"
23/04/2007 8.00,"2,13921595","20,27859075","14,74291039","0,633811","60,68497392",,"0,6943"
23/04/2007 9.00,"2,48321009","14,7231118","11,4163599","0,792902","95,5306629",,"1,23549998"
23/04/2007 10.00,"4,11202383","6,55268734","6,97327423","1,0880357","126,66746556",,"1,00695002"
23/04/2007 11.00,"5,42474079","5,27841329","6,67141485","1,42320895","132,0929253",,"0,48379999"
23/04/2007 12.00,"5,787848","4,62850522","6,71482801","1,70069245","135,619326",,"0,41154999"
23/04/2007 13.00,"5,32202816","4,89153298","7,11708117","1,848073","137,74334796",,"0,38194999"
23/04/2007 14.00,"7,47205114","6,38542318","8,27499676","1,9384653","136,91102832",,"0,35949999"
23/04/2007 15.00,"6,85088301","4,61190728","7,20594215","1,9360319","139,45328982",,"0,36234999"
23/04/2007 16.00,"6,63700724","4,68340973","7,39112806","2,13380315","139,18961664",,"0,39855"
23/04/2007 17.00,"7,12241077","5,126468","7,68416786","2,15491715","137,91784824",,"0,40955001"
23/04/2007 18.00,"7,92583799","6,66888047","8,77153778","2,3226688","140,0232312",,"0,45930001"
23/04/2007 19.00,"6,72999716","10,34486422","10,63831043","2,2079885","135,43419168",,"0,4673"
23/04/2007 20.00,"4,26542282","12,92661949","11,96852016","2,08332965","112,79367306",,"0,4531"
23/04/2007 21.00,"4,57777786","15,94503573","13,21800995","1,69425935","70,16412186",,"0,54935002"
23/04/2007 22.00,"3,49674892","14,70395946","12,30564976","1,44807425","45,97350552",,"0,30875"
23/04/2007 23.00,"3,59829807","20,35136664","15,08681965","1,4776419","43,5391344",,"0,36129999"
24/04/2007 0.00,"3,75212312","18,98006121","14,11544991","1,24873555","33,565896",,"0,95204997"
24/04/2007 1.00,,"14,97337509","11,62460995","1,1118706","37,98453582",,"0,50599998"
24/04/2007 2.00,"0,83202201",,,"1,09591205","50,86090638",,"0,96394998"
24/04/2007 3.00,"1,17164695","6,27050724","5,89472198",,"27,20295342",,"0,86355001"
24/04/2007 4.00,"0,864613","6,48629368","6,19658089",,"43,46589294",,"0,89929998"
24/04/2007 5.00,"1,11854398","6,94850429","6,50115299",,"33,3528228",,"0,88569999"
24/04/2007 6.00,"0,69792098","9,15997342","7,747931",,"20,46713274",,"0,81204998"
24/04/2007 7.00,"0,98666","19,15753356","14,04557991",,"16,60516726",,"0,91745001"
24/04/2007 8.00,"1,11372995","44,22296835","34,1615715",,"24,67403352",,"1,09759998"
24/04/2007 9.00,"1,33402395","31,75728039","21,60222054",,"63,38568654",,"1,54700005"
24/04/2007 10.00,"2,77852297","17,9688168","12,90734005",,"94,69702872",,"1,21399999"
24/04/2007 11.00,"8,65147877","17,98797102","13,25261021",,"110,2887288",,"1,09099996"
24/04/2007 12.00,"8,05409241","14,33113021","11,5357399",,"119,13260076",,"1,11000001"
24/04/2007 13.00,"7,34744978","10,63981631","9,61199379",,"145,41939828",,"1,02100003"
24/04/2007 14.00,"9,92378807","11,06372035","10,0481596",,"150,31211616",,"1,03515005"
24/04/2007 15.00,"7,03377819","6,77485601","7,71605015",,"150,67565514",,"0,69755"
24/04/2007 16.00,"5,74273777","5,14179062","7,11233187",,"147,941667",,"0,60705"
24/04/2007 17.00,"2,66354394","7,86271355","9,03608799",,"141,26972904",,"0,23325001"
24/04/2007 18.00,"2,872293","4,80853949","6,935287",,"143,33130054",,
24/04/2007 19.00,"2,8004601","5,70615081","7,42300892",,"142,73202726",,"0,35295001"
24/04/2007 20.00,"1,49062395","10,71131688","10,30863953",,"110,21548734",,"0,37360001"
24/04/2007 21.00,"1,64721596","22,89225906","17,10012054",,"81,14414094",,"0,58665001"
24/04/2007 22.00,"1,33370602","16,1110321","12,97245979",,"73,06593948",,"0,8624"
24/04/2007 23.00,"1,11195004","21,77757846","15,51891994",,"49,11368652",,"0,70779997"
25/04/2007 0.00,"1,39494801","21,13790679","14,86161995",,"32,84144712",,"0,82665002"
25/04/2007 1.00,"1,19977903","18,57275323","13,40048027",,"21,48323292",,"0,86624998"
25/04/2007 2.00,"1,22706497","10,16866155","8,61484241",,"19,85320332",,"0,83974999"
25/04/2007 3.00,"1,54532599","8,41558271","7,49626923",,"23,48747478",,"0,40224999"
25/04/2007 4.00,"2,31682706","15,56837677","11,54185009",,"23,54739426",,"0,8193"
25/04/2007 5.00,"2,27540588","10,99987733","9,07339573",,"36,39046968",,"0,87105"
25/04/2007 6.00,"2,41374803","9,93756189","8,62637424",,"34,7511402",,"0,73495001"
25/04/2007 7.00,"1,31410396","18,77449424","14,82295036",,"22,76035758",,"0,81260002"
25/04/2007 8.00,"0,91882402","17,48233753","13,30348015",,"43,43257818",,"1,10950005"
25/04/2007 9.00,"1,31531203","12,47972022","10,12617016",,"88,89873012",,"2,01349998"
25/04/2007 10.00,"1,29305804","8,23682564","7,90598297",,"121,0703112",,"1,01915002"
25/04/2007 11.00,"1,71441603","8,12190971","8,12440681",,"122,36201352",,"0,66289997"
25/04/2007 12.00,"1,87857401","6,53864191","7,43182802",,"118,30559814",,"0,38249999"
25/04/2007 13.00,"2,78723502","5,86192395","7,30226612",,"116,87400522",,"0,58429998"
25/04/2007 14.00,"4,07139921","4,38718421","7,07773685",,"117,7290252",,"0,44674999"
25/04/2007 15.00,"2,64889312","4,14331068","7,6821332",,"120,09280356",,"0,42359999"
25/04/2007 16.00,"2,70223188","3,83687132","8,24311543",,"125,65273878",,"0,41029999"
25/04/2007 17.00,"2,92183399","5,30394975","9,53602028",,"128,31348546",,"0,41244999"
25/04/2007 18.00,"2,91589403","5,45078437","10,16075993",,"126,81665604",,"0,40270001"
25/04/2007 19.00,"2,33172202","6,25135678","10,65254974",,"132,1168617",,"0,39195001"
25/04/2007 20.00,"1,87578499","10,84921299","12,9941597",,"120,11940828",,"0,40114999"
25/04/2007 21.00,"1,15160799","20,36667798","17,20388985",,"87,22475172",,"0,1925"
25/04/2007 22.00,"0,93060499","15,17766485","13,38284969",,"56,60591706",,"0,58064997"
25/04/2007 23.00,"0,88049197","14,29282364","12,15437984",,"59,92856406",,"0,45879999"
26/04/2007 0.00,"0,76193303","16,30510616","12,81507969",,"59,62225662",,"0,65025002"
26/04/2007 1.00,,"14,21493896","11,40822029",,"59,92589574",,"0,32415"
26/04/2007 2.00,"2,62611294",,,,"58,1373954",,"0,52125001"
26/04/2007 3.00,"1,95609903","8,32748044","7,24732113",,"50,48135748",,"0,2286"
26/04/2007 4.00,"1,95601702","8,2623621","7,31854582",,"54,06102648",,"0,56620002"
26/04/2007 5.00,"2,71254492","7,10555462","6,72635984",,"52,56150912",,"0,30700001"
26/04/2007 6.00,"2,57011199","8,17936862","7,34771395",,"46,00680066",,"0,54659998"
26/04/2007 7.00,"2,70151305","12,8895826","10,24962044",,"30,0155589",,"0,54570001"
26/04/2007 8.00,"3,35918093","17,29209695","13,51309013",,"33,33151548",,"0,67605001"
26/04/2007 9.00,"3,10423112","14,17535331","11,51945972",,"52,55617248",,"1,25199997"
26/04/2007 10.00,"3,27885509","5,3167161","5,85198784",,"95,49605322",,"1,10979998"
26/04/2007 11.00,"3,42302108","4,80981481","6,14909792",,"104,09218344",,"0,5165"
26/04/2007 12.00,"2,95569205","5,07795136","6,72635984",,"104,35195224",,"0,46259999"
26/04/2007 13.00,"3,1228981","4,77278733","6,74331903",,"113,72315094",,"0,23975"
26/04/2007 14.00,"3,41767406","5,70870333","7,43657589",,"111,52989",,"0,44635001"
26/04/2007 15.00,"3,34629512","5,17626559","7,34635687",,"108,81981864",,"0,23469999"
26/04/2007 16.00,"3,031322","4,1586333","7,06213522",,"107,22573288",,"0,40889999"
26/04/2007 17.00,"3,63606191","4,7612963","7,41079903",,"107,61065766",,"0,41229999"
26/04/2007 18.00,"3,04386997","4,12671085","7,02346992",,"108,46689408",,"0,40450001"
26/04/2007 19.00,"3,73712707","4,14203536","6,71279287",,"109,9491066",,"0,40400001"
26/04/2007 20.00,"3,45369506","4,37441598","6,68294716",,"105,17226444",,"0,4348"
26/04/2007 21.00,"2,6942029","4,0552084","6,14570618",,"103,06815678",,"0,37564999"
26/04/2007 22.00,"2,86510396","3,30443358","5,57726192",,"101,3129712",,"0,34645"
26/04/2007 23.00,"2,53169394","3,37338164","5,45380497",,"99,16891722",,"0,33579999"
27/04/2007 0.00,"3,43808699","3,47169963","5,52163887",,"85,6799514",,"0,34380001"
27/04/2007 1.00,"2,71035194","3,67982099","5,43955994",,"91,5221988",,"0,33585"
27/04/2007 2.00,"2,84655905","3,7334483","5,52503109",,"93,01904784",,"0,3603"
27/04/2007 3.00,"2,74200106","3,36955192","5,29168415",,"93,57968934",,"0,33180001"
27/04/2007 4.00,"2,97839308","3,83687132","5,51621199",,"86,20731738",,"0,398"
27/04/2007 5.00,"2,6893971","3,46276112","5,30050182",,"85,83310512",,"0,33085001"
27/04/2007 6.00,"3,74902606","2,73624556","4,86094189",,"92,45573802",,"0,16135"
27/04/2007 7.00,"3,5262661","2,69027956","4,71509981",,"89,86287654",,"0,29960001"
27/04/2007 8.00,"3,23421001","3,80622795","5,17568922",,"80,38904562",,"0,3211"
27/04/2007 9.00,"4,24254799","3,87645321","5,06851196",,"81,83262636",,"0,36465001"
27/04/2007 10.00,"3,7114749","4,07053291","5,00678301",,"89,25561792",,"0,40290001"
27/04/2007 11.00,"3,6835351","3,65811613","5,03188181",,"99,46855386",,"0,21799999"
27/04/2007 12.00,"4,02066803","3,94540126","5,94898891",,"107,05392054",,"0,37845001"
27/04/2007 13.00,"3,8737669","4,44592031","6,71279287",,"109,54827",,"0,37114999"
27/04/2007 14.00,"4,07098389","5,71125773","7,6346488",,"113,59006848",,"0,36500001"
27/04/2007 15.00,"3,97679496","5,4175866","7,34025192",,"105,11762274",,"0,31169999"
27/04/2007 16.00,"3,55355501","5,48653466","7,21001196",,"100,623132",,"0,32725"
27/04/2007 17.00,"3,29784703","4,9464356","6,63139296",,"106,40542068",,"0,40544999"
27/04/2007 18.00,"3,37729406","4,60935288","6,40415096",,"104,22277416",,"0,14315"
27/04/2007 19.00,"2,0467","4,7612963","6,47402",,"76,46714496",,"0,26809999"
27/04/2007 20.00,"1,86356103","6,09558365","7,14557123",,"66,01849434",,"0,2897"
27/04/2007 21.00,"1,88922596","13,87785623","12,33006954",,"40,69058508",,"0,32054999"
27/04/2007 22.00,"2,52645612","13,94935681","11,83489037",,"29,36700018",,"0,37915"
27/04/2007 23.00,"2,16042209","8,64285642","8,28381538",,"30,14871984",,"0,36184999"
28/04/2007 0.00,"1,80267298","14,65671438","11,2827301",,"34,1678376",,"0,57824999"
28/04/2007 1.00,,"19,04262327","13,32382965",,"35,84313054",,"0,68110001"
28/04/2007 2.00,"1,78832304",,,,"42,99444396",,"0,67255002"
28/04/2007 3.00,"1,99983394","10,40487565","7,74928808",,"52,3710774",,"0,56664997"
28/04/2007 4.00,"1,83988202","6,94467457","6,10636282",,"57,91633686",,"0,57644999"
28/04/2007 5.00,"2,04195499","6,00620417","5,67019415",,"59,57032248",,"0,44710001"
28/04/2007 6.00,"2,68727899","5,86830806","5,65730619",,"58,8179151",,"0,39269999"
28/04/2007 7.00,"2,33949208","7,05448171","6,54660177",,"66,744297",,"0,3651"
28/04/2007 8.00,"2,88916802","10,12653279","8,53344154",,"70,02030726",,"0,25964999"
28/04/2007 9.00,"2,49811411","13,22921784","10,50942039",,"78,56326728",,"0,65499997"
28/04/2007 10.00,"4,28700876","14,22387559","11,23388958",,"93,62897478",,"0,53324997"
28/04/2007 11.00,"6,4688921","9,04250497","8,54022503",,"107,2563597",,"1,01030004"
28/04/2007 12.00,"7,2020669","6,20283639","7,27716684",,"113,05734624",,"0,82235003"
28/04/2007 13.00,"6,93834782","5,20946336","7,28802109",,"116,39461014",,"0,50580001"
28/04/2007 14.00,"7,03409195","4,79321687","7,58580923",,"119,97292536",,"0,39125001"
28/04/2007 15.00,"5,69492483","4,18033816","7,77913523",,"117,50659326",,"0,36515"
28/04/2007 16.00,"4,95649481","4,42804329","8,61212921",,"118,7384742",,"0,31555"
28/04/2007 17.00,"5,43530416","4,8493967","9,13173294",,"119,60540352",,"0,3396"
28/04/2007 18.00,"5,1786232","10,05375126","12,35245991",,"115,52897574",,"0,45785001"
28/04/2007 19.00,"5,71247101","15,18660149","15,0712204",,"109,72277028",,"0,46810001"
28/04/2007 20.00,"4,393435","20,68972092","17,59325981",,"97,87982436",,"0,33544999"
28/04/2007 21.00,"3,41099501","15,74202693","13,95604038",,"78,67778922",,"0,32785001"
28/04/2007 22.00,"3,427104","12,3558733","11,3322401",,"52,35241878",,"0,40505001"
28/04/2007 23.00,"3,00654602","9,60941768","9,31691837",,"42,19541946",,"0,34490001"
29/04/2007 0.00,"3,09454894","14,62352225","11,57983971",,"46,1026836",,
29/04/2007 1.00,"2,81837606","15,71265699","11,84778023",,"30,64012236",,
29/04/2007 2.00,"2,66661811","13,47948113","10,66407967",,"23,56605288",,
29/04/2007 3.00,"2,90395808","14,23919633","10,7149601",,"52,42832856",,
29/04/2007 4.00,"2,92568898","6,45820283","6,58526707",,"66,52055052",,
29/04/2007 5.00,"3,28246999","6,48501648","6,52692986",,"63,98629398",,
29/04/2007 6.00,"3,22448993","6,59099202","6,61714792",,"65,11424778",,
29/04/2007 7.00,"3,48873806","6,56673277","6,51132822",,"70,64355618",,
29/04/2007 8.00,"3,75565696","10,9475291","9,36304474",,"70,16545602",,
29/04/2007 9.00,"3,00976801","10,91944201","9,3433733",,"86,1633882",,
29/04/2007 10.00,"6,53845119","12,5512302","10,52705956",,"103,33712736",,
29/04/2007 11.00,"14,26261997","16,20295469","13,09251976",,"110,4937578",,
29/04/2007 12.00,"17,42910957","12,15796765","11,22099972",,"123,61518216",,
29/04/2007 13.00,"7,48297501","4,78172584","7,51187086",,"129,20845176",,
29/04/2007 14.00,"6,77562809","4,92217635","8,16035843",,"131,4377154",,
29/04/2007 15.00,"8,42527294","5,90661086","9,29588985",,"133,85073996",,
29/04/2007 16.00,"6,8934598","4,74852807","8,68403244",,"137,2559283",,
29/04/2007 17.00,"8,79373169","6,99447029","9,1018858",,"133,63370352",,
29/04/2007 18.00,"6,98395014","5,33459312","8,17256832",,"134,07717438",,
29/04/2007 19.00,"5,78844213","7,13875239","9,61877632",,"132,59223468",,"0,4149"
29/04/2007 20.00,"4,08322811","9,21104633","11,07040977",,"112,4048439",,"0,41729999"
29/04/2007 21.00,"3,794945","19,47546018","16,68428993",,"76,76944992",,"0,23135"
29/04/2007 22.00,"3,73455405","17,60874638","14,22805023",,"59,62092246",,"0,72675002"
29/04/2007 23.00,"3,43912601","26,07284196","17,99753952",,"52,27917732",,"0,3276"
30/04/2007 0.00,"2,86218309","25,425477","17,36535072",,"36,20404044",,"0,90499997"
30/04/2007 1.00,,"15,18532241","11,50454044",,"47,28257154",,"0,9346"
30/04/2007 2.00,"1,47168803",,,,"44,55656874",,"0,86080003"
30/04/2007 3.00,"1,61665499","10,4304121","8,03690147",,"42,59360736",,"0,77225"
30/04/2007 4.00,"1,81950402","10,02948448","7,87952805",,"45,24505416",,"0,37724999"
30/04/2007 5.00,"2,34056711","9,26594896","7,41758299",,"38,90875554",,"0,72485"
30/04/2007 6.00,"1,67394996","8,87907052","7,33957386",,"51,73848936",,"0,67484999"
30/04/2007 7.00,"1,69732499","12,46184696","9,37389755",,"54,3166947",,"0,58375001"
30/04/2007 8.00,"2,065485","22,269159","15,96594048",,"49,58113302",,"0,6846"
30/04/2007 9.00,"2,0310359","19,37332188","14,5054903",,"55,35810468",,"0,44825"
30/04/2007 10.00,"2,77413297","6,60120585","6,4652009",,"96,83708022",,"1,57550001"
30/04/2007 11.00,"3,87276411","7,21408456","7,19237614",,"104,72879358",,"0,71745002"
30/04/2007 12.00,"4,13916779","5,7891443","6,8335371",,"113,50481958",,"0,67135"
30/04/2007 13.00,"3,14774203","5,22350879","6,68701696",,"122,08503798",,
30/04/2007 14.00,"2,88700509","6,28838427","7,56613779",,"121,445838",,"0,23055001"
30/04/2007 15.00,"2,72769308","5,32565461","7,03364611",,"123,2023185",,"0,51994997"
30/04/2007 16.00,"2,79434299","4,55061866","6,60358191",,"121,36188402",,"0,4005"
30/04/2007 17.00,"2,19499111","6,3432869","7,60208893",,"116,3226636",,"0,38725001"
30/04/2007 18.00,"2,08220506","5,25542936","7,01465178",,"116,53709058",,"0,4524"
30/04/2007 19.00,"1,72832596","10,95008162","9,87586498",,"111,80286306",,"0,70639998"
30/04/2007 20.00,"1,63359296","7,08257068","7,66110516",,"105,77022318",,"0,39669999"
30/04/2007 21.00,"2,27033997","8,66584036","8,21055508",,"92,00561598",,"0,5309"
30/04/2007 22.00,"2,25427794","9,26069156","8,33040237",,"75,21172002",,"0,6559"
30/04/2007 23.00,"1,42834198","13,8689102","10,75905037",,"68,99488758",,"0,72525001"
01/05/2007 0.00,"1,20887399","13,34413753","10,47821999",,"55,2821949",,"0,77880001"
01/05/2007 1.00,"1,63102102","12,87809533","10,27810955",,"41,89845114",,"0,80634999"
01/05/2007 2.00,"1,73089802","9,1548665","8,29263401",,"37,20281616",,"0,76370001"
01/05/2007 3.00,"1,22261095","7,88059058","7,64889383",,"44,5325931",,"0,67460001"
01/05/2007 4.00,"0,85669202","5,16732708","6,21964502",,"52,41235788",,"0,58399999"
01/05/2007 5.00,"0,86329901","5,10348594","6,15520287",,"43,07969286",,"0,33324999"
01/05/2007 6.00,"1,55128503","5,16477456","6,19590282",,"37,5370821",,"0,68045002"
01/05/2007 7.00,"1,30827701","5,63337116","6,44892216",,"37,21346982",,"0,27544999"
01/05/2007 8.00,"1,61214006","14,38986255","12,19711971",,"44,07448572",,"0,4655"
01/05/2007 9.00,"1,48265505","8,2176733","8,06132126",,"76,69220598",,"0,30605"
01/05/2007 10.00,"3,35290194","5,26819758","6,62393188",,"92,2612842",,"0,73105001"
01/05/2007 11.00,"4,89665318","4,90685372","7,07773685",,"98,12085606",,"0,5104"
01/05/2007 12.00,"3,94863605","5,61421882","8,13254642",,"105,08169852",,"0,44635001"
01/05/2007 13.00,"2,52767801","6,2079433","8,65554237",,"96,81310458",,"0,34525001"
01/05/2007 14.00,"3,23408008","4,37314066","7,45692587",,"101,64188088",,"0,4303"
01/05/2007 15.00,"2,6298871","3,75387784","7,29548216",,"102,30637104",,"0,43904999"
01/05/2007 16.00,"2,82672191","4,88259635","8,22683525",,"102,57275178",,"0,34819999"
01/05/2007 17.00,"2,4822619","4,11905142","7,69909096",,"104,50634202",,"0,32685"
01/05/2007 18.00,"2,36963105","4,23396547","7,66517401",,"103,59018612",,"0,32190001"
01/05/2007 19.00,"2,39496398","4,93877617","7,90801811",,"103,02681744",,"0,38710001"
01/05/2007 20.00,"2,08909392","5,15200633","7,80830288",,"84,62657322",,
01/05/2007 21.00,"1,59428298","13,4667129","11,89389992",,"64,45505502",,"0,38405001"
01/05/2007 22.00,"2,13067293","13,64929969","11,52488995",,"54,52311672",,"0,5108"
01/05/2007 23.00,"1,88659203","10,65513893","9,45733356",,"57,76983432",,"0,49305001"
02/05/2007 0.00,"1,70988202","12,43120735","10,29981995",,"46,93767156",,"0,4585"
