,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"48,63922506","37,45787728",,,,,
01/01/2007 2.00,"12,92602932","41,40730448",,,,,
01/01/2007 3.00,"6,23816003","39,34758336",,,,,
01/01/2007 4.00,"4,80956081","42,42093216",,,,,
01/01/2007 5.00,"4,22439426","30,9879752",,,,,
01/01/2007 6.00,"3,68437946","19,93401488",,,,,
01/01/2007 7.00,"4,04378726","41,48388008",,,,,
01/01/2007 8.00,"3,63922772","27,82116784",,,,,
01/01/2007 9.00,"3,97876842","28,633634",,,,,
01/01/2007 10.00,"4,08713282","34,17426584",,,,,
01/01/2007 11.00,"4,25870886","32,27937824",,,,,
01/01/2007 12.00,"4,45737676","36,03540664",,,,,
01/01/2007 13.00,"4,36887945","31,23976648",,,,,
01/01/2007 14.00,"4,85290636",,,,,,
01/01/2007 15.00,"4,99739155",,,,,,
01/01/2007 16.00,"4,43750966",,,,,,
01/01/2007 17.00,"3,9119444",,,,,,
01/01/2007 18.00,"3,80538619",,,,,,
01/01/2007 19.00,"3,59588216",,,,,,
01/01/2007 20.00,"3,48029401",,,,,,
01/01/2007 21.00,"3,52002718",,,,,,
01/01/2007 22.00,"3,24369913",,,,,,
01/01/2007 23.00,"3,52544576",,,,,,
02/01/2007 0.00,"3,38637812",,,,,,
02/01/2007 1.00,,,,,,,
02/01/2007 2.00,"3,31232934",,,,,,
02/01/2007 3.00,"3,13352853",,,,,,
02/01/2007 4.00,"2,95653392",,,,,,
02/01/2007 5.00,"3,17868028",,,,,,
02/01/2007 6.00,"2,92041212",,,,,,
02/01/2007 7.00,"3,21841346",,,,,,
02/01/2007 8.00,"3,20938351",,,,,,
02/01/2007 9.00,"3,33039024",,,,,,
02/01/2007 10.00,"3,00710425",,,,,,
02/01/2007 11.00,"3,60130073",,,,,,
02/01/2007 12.00,"3,34664495",,,,,,
02/01/2007 13.00,"3,46042691",,,,,,
02/01/2007 14.00,"3,21660828",,,,,,
02/01/2007 15.00,"3,23286299",,,,,,
02/01/2007 16.00,"2,86623042",,,,,,
02/01/2007 17.00,"2,73980614",,,,,,
02/01/2007 18.00,"2,89332127",,,,,,
02/01/2007 19.00,"2,6729811",,,,,,
02/01/2007 20.00,"2,92041212",,,,,,
02/01/2007 21.00,"2,71271427",,,,,,
02/01/2007 22.00,"2,69465439",,,,,,
02/01/2007 23.00,"2,65130883",,,,,,
