,Regione Puglia,,
,Liceo Scientifico Via dei Mandorli,,
Parm,SO2,NO2,NOX



01/01/2007 1.00,"2,28648245","30,14566272",
01/01/2007 2.00,"2,43277384","31,96397472",
01/01/2007 3.00,"2,53571966","81,7295872",
01/01/2007 4.00,"2,33885897","64,97016152",
01/01/2007 5.00,"2,44902855","73,82425112",
01/01/2007 6.00,"2,29551341","62,20699648",
01/01/2007 7.00,"2,27564632","57,26470592",
01/01/2007 8.00,"2,25216684","74,95600216",
01/01/2007 9.00,"2,28648245","62,7884548",
01/01/2007 10.00,"2,03002048","45,43460744",
01/01/2007 11.00,"2,1708943","26,86205128",
01/01/2007 12.00,"2,27203394","13,58871402",
01/01/2007 13.00,"2,082397","10,17142318",
01/01/2007 14.00,"2,02099054","15,70295008",
01/01/2007 15.00,"1,96861504","10,16363752",
01/01/2007 16.00,"2,00834821","9,42125381",
01/01/2007 17.00,"2,12393636","7,90274341",
01/01/2007 18.00,"2,14199726","10,16363752",
01/01/2007 19.00,"2,18534282","19,4797428",
01/01/2007 20.00,"2,10587546","31,61226232",
01/01/2007 21.00,"2,18173044","60,38868448",
01/01/2007 22.00,"2,25216684","86,08135656",
01/01/2007 23.00,"2,34247034","71,59449584",
02/01/2007 0.00,"2,19256657","34,47276728",
02/01/2007 1.00,,"20,11181176",
02/01/2007 2.00,"2,10226307",,
02/01/2007 3.00,"2,19617896","13,81844464",
02/01/2007 4.00,"2,21604605","22,90094176",
02/01/2007 5.00,"2,29551341","54,1978388",
02/01/2007 6.00,"2,1708943","41,795364",
02/01/2007 7.00,"2,23591315","33,82383448",
02/01/2007 8.00,"2,11671261","30,55190536",
02/01/2007 9.00,"2,21965844","26,74654736",
02/01/2007 10.00,"2,29190103","32,24173096",
02/01/2007 11.00,"2,24494309","20,59593016",
02/01/2007 12.00,"2,17631288","23,5031644",
02/01/2007 13.00,"2,1907614","31,24624816",
02/01/2007 14.00,"2,27022774","16,86324346",
02/01/2007 15.00,"2,25577922","17,71594766",
02/01/2007 16.00,"2,24674928","10,44137273",
02/01/2007 17.00,"2,20159753","16,13254971",
02/01/2007 18.00,"2,07697842","19,37462104",
02/01/2007 19.00,"2,13657869","20,89313144",
02/01/2007 20.00,"2,17992425","22,422024",
02/01/2007 21.00,"2,03871481","17,97001804",
02/01/2007 22.00,"2,11490642","13,89890351",
02/01/2007 23.00,"2,14380346","7,80799998",
03/01/2007 0.00,"2,082397","5,30310599",
03/01/2007 1.00,"2,03182667","4,75150929",
03/01/2007 2.00,"2,07156086","3,2161274",
03/01/2007 3.00,"2,0101544","4,0350848",
03/01/2007 4.00,"1,92346329","4,05974386",
03/01/2007 5.00,"1,93429942","3,66778578",
03/01/2007 6.00,"2,14199726","6,87482926",
03/01/2007 7.00,"2,12032398","9,09938199",
03/01/2007 8.00,"2,082397","11,52899672",
03/01/2007 9.00,"2,10406927","14,73473431",
03/01/2007 10.00,"2,09865171","15,45765769",
03/01/2007 11.00,"2,19256657","14,98133069",
03/01/2007 12.00,"2,20159753","16,45051914",
03/01/2007 13.00,"2,14199726","15,16303952",
03/01/2007 14.00,"2,09323313","12,83725022",
03/01/2007 15.00,"2,13838488","11,62633282",
03/01/2007 16.00,"2,23952451","15,04622588",
03/01/2007 17.00,"2,20882128","15,16822678",
03/01/2007 18.00,"2,24494309","15,80807758",
03/01/2007 19.00,"2,25397303","14,85932979",
03/01/2007 20.00,"2,22146361","12,92810272",
03/01/2007 21.00,"2,16186334","11,2499537",
03/01/2007 22.00,"2,18895521","11,31744348",
03/01/2007 23.00,"2,18173044","8,26355119",
04/01/2007 0.00,"2,26661638","8,20514724",
04/01/2007 1.00,,"5,70933907",
04/01/2007 2.00,"2,19798515",,
04/01/2007 3.00,"2,16547573","6,00395533",
04/01/2007 4.00,"2,17450669","4,78655242",
04/01/2007 5.00,"2,28106388","8,17140235",
04/01/2007 6.00,"2,10406927","16,65169786",
04/01/2007 7.00,"2,24133071","25,76664736",
04/01/2007 8.00,"2,4399986","46,79994752",
04/01/2007 9.00,"2,44722236","50,6247888",
04/01/2007 10.00,"2,50501745","45,02058296",
04/01/2007 11.00,"2,44361099","36,96467688",
04/01/2007 12.00,"2,40748918","30,52854072",
04/01/2007 13.00,"2,43458003","28,85557896",
04/01/2007 14.00,"2,40748918","29,15668072",
04/01/2007 15.00,"2,3515013","34,49743208",
04/01/2007 16.00,"2,31537949","43,23601776",
04/01/2007 17.00,"2,34247034","91,4986644",
04/01/2007 18.00,"2,46347707","144,01055896",
04/01/2007 19.00,"3,00891044","142,21687352",
04/01/2007 20.00,"2,50501745","118,30102304",
04/01/2007 21.00,"2,47070183","113,85971472",
04/01/2007 22.00,"2,42735628","73,84371528",
04/01/2007 23.00,"2,26300399","50,3340692",
05/01/2007 0.00,"2,29551341","53,2361028",
05/01/2007 1.00,"2,17811907","55,28544176",
05/01/2007 2.00,"2,26661638","50,97652032",
05/01/2007 3.00,"2,23952451","47,60853232",
05/01/2007 4.00,"2,19437276","40,68309624",
05/01/2007 5.00,"2,23952451","45,57087568",
05/01/2007 6.00,"2,40026441","55,89544624",
05/01/2007 7.00,"2,47431422","69,90857072",
05/01/2007 8.00,"2,35872505","83,98270712",
05/01/2007 9.00,"2,58087141","111,92716072",
05/01/2007 10.00,"2,63505412","116,15040544",
05/01/2007 11.00,"2,53752585","132,93321488",
05/01/2007 12.00,"2,45805951","71,65940824",
05/01/2007 13.00,"2,4418048","62,950688",
05/01/2007 14.00,"2,41110157","59,25433312",
05/01/2007 15.00,"2,40929537","70,19929032",
05/01/2007 16.00,"2,49779268","92,33579536",
05/01/2007 17.00,"2,45805951","104,8718616",
05/01/2007 18.00,"2,57726004","89,62714144",
05/01/2007 19.00,"2,47431422","39,398194",
05/01/2007 20.00,"2,43819241","29,87310712",
05/01/2007 21.00,"2,30634955","18,92037573",
05/01/2007 22.00,"2,12935494","20,024854",
05/01/2007 23.00,"2,17811907","22,85293144",
06/01/2007 0.00,"2,21423986","15,81326292",
06/01/2007 1.00,,"12,81518574",
06/01/2007 2.00,"2,00834821",,
06/01/2007 3.00,"2,06614229","16,2545487",
06/01/2007 4.00,"2,18353663","11,03969106",
06/01/2007 5.00,"2,13116113","11,3434027",
06/01/2007 6.00,"2,06072371","15,32527081",
06/01/2007 7.00,"2,17811907","18,52582114",
06/01/2007 8.00,"2,18714901","26,53628472",
06/01/2007 9.00,"2,22507599","28,25077512",
06/01/2007 10.00,"2,30996193","27,08397712",
06/01/2007 11.00,"2,35691886","21,21759784",
06/01/2007 12.00,"2,35691886","19,00733349",
06/01/2007 13.00,"2,34608272","19,07872183",
06/01/2007 14.00,"2,32982801","19,65365832",
06/01/2007 15.00,"2,31899188","10,68537452",
06/01/2007 16.00,"2,1907614","11,94820846",
06/01/2007 17.00,"2,27564632","33,12299088",
06/01/2007 18.00,"2,23230076","72,80412264",
06/01/2007 19.00,"2,29009484","69,581504",
06/01/2007 20.00,"2,34969511","69,1038864",
06/01/2007 21.00,"2,40748918","60,44059528",
06/01/2007 22.00,"2,3515013","51,4762024",
06/01/2007 23.00,"2,27022774","44,23018128",
07/01/2007 0.00,"2,14199726","48,60659632",
07/01/2007 1.00,"2,18714901","42,67272344",
07/01/2007 2.00,"2,18534282","40,48581608",
07/01/2007 3.00,"2,1185188","32,55061456",
07/01/2007 4.00,"2,23952451","30,10153376",
07/01/2007 5.00,"2,25939161","50,63647112",
07/01/2007 6.00,"2,35691886","67,0986764",
07/01/2007 7.00,"2,2232698","57,78773352",
07/01/2007 8.00,"2,21604605","53,11279792",
07/01/2007 9.00,"2,23049457","47,8512416",
07/01/2007 10.00,"2,23591315","38,88942992",
07/01/2007 11.00,"2,36053124","47,08158512",
07/01/2007 12.00,"2,58087141","51,89670856",
07/01/2007 13.00,"2,70007195","42,7440984",
07/01/2007 14.00,"2,7994064","41,00496232",
07/01/2007 15.00,"2,48515035","28,50126624",
07/01/2007 16.00,"2,30093097","34,3377992",
07/01/2007 17.00,"2,2232698","36,68954008",
07/01/2007 18.00,"2,43277384","80,8483464",
07/01/2007 19.00,"2,25758542","64,88580408",
07/01/2007 20.00,"2,23952451","44,57929336",
07/01/2007 21.00,"2,29912478","37,10874608",
07/01/2007 22.00,"2,30273717","44,88949624",
07/01/2007 23.00,"2,3334404","66,83522192",
08/01/2007 0.00,"2,30815574","100,09838152",
08/01/2007 1.00,,"69,18176216",
08/01/2007 2.00,"2,06433609",,
08/01/2007 3.00,"2,23049457","24,79582936",
08/01/2007 4.00,"2,08781557","21,04888296",
08/01/2007 5.00,"2,3316342","64,59638464",
08/01/2007 6.00,"2,31176711","67,60354",
08/01/2007 7.00,"2,42013151","75,66722792",
08/01/2007 8.00,"2,47070183","110,51897272",
08/01/2007 9.00,"2,64408406","114,32955048",
08/01/2007 10.00,"2,70729671","133,40561272",
08/01/2007 11.00,"2,75606085","137,7950676",
