Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
05/01/2014 5.00,"0,8","6,0","11,1","26,3",,,
05/01/2014 6.00,"0,8","6,0","10,9","26,3",,,
05/01/2014 7.00,"0,7","6,4","11,1","26,3",,,
05/01/2014 8.00,"0,9","7,5","12,2","26,3",,,
05/01/2014 9.00,"0,7","7,2","11,8","26,3",,,
05/01/2014 10.00,"0,8","7,4","11,4","26,3",,,
05/01/2014 11.00,"0,7","7,6","10,8","26,3",,,
05/01/2014 12.00,"0,7","7,7","11,4","26,3",,,
05/01/2014 13.00,"0,6","8,0","11,5","26,3",,,
05/01/2014 14.00,"0,9","8,2","11,5","26,3",,,
05/01/2014 15.00,"0,7","7,7","11,2","26,3",,,
05/01/2014 16.00,"0,8","7,3","10,5","26,3",,,
05/01/2014 17.00,"0,5","8,0","11,0","26,3",,,
05/01/2014 18.00,"1,0","8,4","11,0","26,3",,,
05/01/2014 19.00,"0,7","9,7","12,6","26,3",,,
05/01/2014 20.00,"0,9","15,3","18,4","26,3",,,
05/01/2014 21.00,"0,8","19,0","22,4","26,3",,,
05/01/2014 22.00,"1,0","16,0","18,0","26,3",,,
05/01/2014 23.00,"0,7","13,9","16,1","26,3",,,
06/01/2014 0.00,"0,7","13,5","15,8","26,3",,,
06/01/2014 1.00,,"11,2","14,4","25,1",,,
06/01/2014 2.00,"0,3",,,"25,1",,,
06/01/2014 3.00,"0,2","12,9","17,5","25,1",,,
06/01/2014 4.00,"0,2","15,3","20,7","25,1",,,
06/01/2014 5.00,"0,1","11,2","17,2","25,1",,,
06/01/2014 6.00,"0,3","9,7","15,9","25,1",,,
06/01/2014 7.00,"0,2","8,0","14,1","25,1",,,
06/01/2014 8.00,"0,2","7,7","14,0","25,1",,,
06/01/2014 9.00,"0,2","8,6","15,9","25,1",,,
06/01/2014 10.00,"0,1","7,6","14,3","25,1",,,
06/01/2014 11.00,"0,1","6,2","12,1","25,1",,,
06/01/2014 12.00,"0,1","8,5","14,2","25,1",,,
06/01/2014 13.00,"0,1","7,8","12,1","25,1",,,
06/01/2014 14.00,"0,1","6,8","10,4","25,1",,,
06/01/2014 15.00,"0,2","6,0","10,3","25,1",,,
06/01/2014 16.00,"0,3","6,1","10,5","25,1",,,
06/01/2014 17.00,"0,2","7,8","11,5","25,1",,,
06/01/2014 18.00,"0,2","10,4","13,3","25,1",,,
06/01/2014 19.00,"0,3","18,2","21,6","25,1",,,
06/01/2014 20.00,"0,2","14,3","16,4","25,1",,,
06/01/2014 21.00,"0,1","18,1","21,3","25,1",,,
