Stat,MOLFETTA VERDI,,,
,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,
,,,,,,
01/01/2014 1.00,"5,3","32,9","52,6","52,3"
01/01/2014 2.00,"5,2","28,6","47,1","52,3"
01/01/2014 3.00,"5,5","29,0","52,0","52,3"
01/01/2014 4.00,"5,2","31,5","57,8","52,3"
01/01/2014 5.00,"5,6","32,5","57,4","52,3"
01/01/2014 6.00,"5,2","31,3","53,8","52,3"
01/01/2014 7.00,"5,2","29,0","47,8","52,3"
01/01/2014 8.00,"5,1","23,1","39,4","52,3"
01/01/2014 9.00,"5,1","18,9","34,6","52,3"
01/01/2014 10.00,"5,1","19,4","35,1","52,3"
01/01/2014 11.00,"5,1","19,4","35,2","52,3"
01/01/2014 12.00,"5,3","22,0","39,2","52,3"
01/01/2014 13.00,"5,2","27,4","46,9","52,3"
01/01/2014 14.00,"5,4","31,9","51,7","52,3"
01/01/2014 15.00,"5,3","36,8","60,6","52,3"
01/01/2014 16.00,"5,3","41,2","68,4","52,3"
01/01/2014 17.00,"5,3","36,8","58,0","52,3"
01/01/2014 18.00,"5,3","31,8","49,7","52,3"
01/01/2014 19.00,"5,3","32,8","53,9","52,3"
01/01/2014 20.00,"5,2","34,8","59,1","52,3"
01/01/2014 21.00,"5,3","37,6","68,3","52,3"
01/01/2014 22.00,"5,5","38,9","77,8","52,3"
01/01/2014 23.00,"6,5","39,7","94,4","52,3"
02/01/2014 0.00,"6,6","38,3","103,7","52,3"
02/01/2014 1.00,,"36,3","102,0","29,1"
02/01/2014 2.00,"6,3","34,3","94,7","29,1"
02/01/2014 3.00,"5,9","33,4","84,9","29,1"
02/01/2014 4.00,"5,7","30,9","68,9","29,1"
02/01/2014 5.00,"5,2","27,2","53,2","29,1"
02/01/2014 6.00,"5,1","23,9","44,8","29,1"
02/01/2014 7.00,"5,1","21,3","40,3","29,1"
02/01/2014 8.00,"5,3","18,0","35,2","29,1"
02/01/2014 9.00,"5,1","20,1","40,9","29,1"
02/01/2014 10.00,"5,7","25,5","58,1","29,1"
