,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



05/01/2010 10.00,"1,97042","33,508447","0,442572","14,65201"
05/01/2010 11.00,"1,757305","42,441714","0,291699",
05/01/2010 12.00,"1,480976","31,142425","0,184523","12,69841"
05/01/2010 13.00,"1,33649","24,920434","0,107535",
05/01/2010 14.00,"1,338297","18,005378","0,025878","24,42001"
05/01/2010 15.00,"1,007786","9,836572","0,006606",
05/01/2010 16.00,"1,246187","7,981915","0,01033","26,86202"
05/01/2010 17.00,"12,36795","8,485488","0,021435",
05/01/2010 18.00,"0,993337","7,695082",,"33,211231"
05/01/2010 19.00,"0,953604","3,013658",,
05/01/2010 20.00,"0,930125","4,430936",,"36,141621"
05/01/2010 21.00,"0,919289","3,33683",,
05/01/2010 22.00,"1,015011","0,883851",,"36,630032"
05/01/2010 23.00,"0,894004","0,048022",,
06/01/2010 0.00,"0,886779","2,070105",,"34,67643"
06/01/2010 1.00,"0,892198","1,739149",,
06/01/2010 2.00,"14,64721",,"0,017768","33,211231"
06/01/2010 3.00,,"9,535466",,
06/01/2010 4.00,"0,957217","12,812593","0,178702","23,44322"
06/01/2010 5.00,"1,130599","14,708775","0,095614",
06/01/2010 6.00,"0,894004","7,140893","0,091021","30,76923"
06/01/2010 7.00,"1,087253","10,305102","0,077561",
06/01/2010 8.00,"1,052938","23,674478","0,113531","32,722832"
06/01/2010 9.00,"0,984308","11,837885","0,198168",
06/01/2010 10.00,"1,05655","8,869659","0,177744","32,722832"
06/01/2010 11.00,"0,854271","7,583468","0,124359",
06/01/2010 12.00,"1,179363","12,384286","0,205894","39,56044"
06/01/2010 13.00,"0,973471","13,109804","0,213669",
06/01/2010 14.00,"1,201035","16,014444","0,215786","41,514042"
06/01/2010 15.00,"0,995144","12,436204","0,10978",
06/01/2010 16.00,"1,083641","7,430317","0,11078","33,699631"
06/01/2010 17.00,"1,060162","12,381691","0,167616",
06/01/2010 18.00,"1,024041","10,734698","0,058753","32,722832"
06/01/2010 19.00,"1,137824","11,196733","0,050528",
06/01/2010 20.00,"0,940962","21,464188","0,138311","23,93162"
06/01/2010 21.00,"1,013204","28,71929","0,139082",
06/01/2010 22.00,"0,984308","19,221469","0,013718","31,746031"
06/01/2010 23.00,"1,12518","14,471273",,
07/01/2010 0.00,"1,052938","28,063876",,"22,46641"
07/01/2010 1.00,"1,10712","11,397914",,
07/01/2010 2.00,"1,011398","15,031945",,"24,908421"
07/01/2010 3.00,"1,00598","14,106571",,
07/01/2010 4.00,"1,052938","6,485467",,"20,51281"
07/01/2010 5.00,"1,229932","8,536104",,
07/01/2010 6.00,"0,998756","11,915761",,"19,0476"
07/01/2010 7.00,"1,136017","12,96574",,
07/01/2010 8.00,"1,334684","22,329884",,"17,582411"
07/01/2010 9.00,"1,511679","52,697489",,
07/01/2010 10.00,"1,285921","39,832983",,"14,65201"
07/01/2010 11.00,"1,136017","23,04761",,
07/01/2010 12.00,"1,085447","22,46227",,"28,81562"
07/01/2010 13.00,"1,257023","16,332414",,
07/01/2010 14.00,"1,213678","14,675036",,"20,51281"
07/01/2010 15.00,"1,228126","16,371352",,
07/01/2010 16.00,"0,888585","12,015699",,"23,44322"
07/01/2010 17.00,"1,255218","13,553672",,
07/01/2010 18.00,"1,184781","25,481108",,"27,35042"
07/01/2010 19.00,"1,015011","37,23853",,
07/01/2010 20.00,"1,052938","25,509655",,"21,48962"
07/01/2010 21.00,"0,897616","11,958584",,
07/01/2010 22.00,"1,098089","10,864481",,"27,35042"
07/01/2010 23.00,"1,197424","4,852744",,
08/01/2010 0.00,"1,163108","2,50619",,"32,234421"
08/01/2010 1.00,"0,993337","2,754085",,
08/01/2010 2.00,"0,852465",,,"31,25762"
08/01/2010 3.00,,,,
08/01/2010 4.00,"0,796476",,,"24,42001"
08/01/2010 5.00,"1,136017",,,
08/01/2010 6.00,"1,013204",,,"31,746031"
08/01/2010 7.00,"0,949992",,,
08/01/2010 8.00,"0,980695",,,"39,56044"
08/01/2010 9.00,"0,890392",,,
08/01/2010 10.00,"0,930125",,,"47,863232"
08/01/2010 11.00,"1,043908",,,
08/01/2010 12.00,"0,953604",,,"46,88644"
08/01/2010 13.00,"0,98792",,,
08/01/2010 14.00,"1,018622",,,"51,282051"
08/01/2010 15.00,"0,882653",,,
08/01/2010 16.00,"0,84524","0,001298","1,33181","50,793652"
08/01/2010 17.00,"0,953604","2,090871","1,400553",
08/01/2010 18.00,"0,906646","3,514638","1,316301","49,816841"
08/01/2010 19.00,"0,791058","1,578213","1,231812",
08/01/2010 20.00,"0,879555","1,872829","1,278615","56,654442"
08/01/2010 21.00,"0,982501","1,737851","1,268867",
08/01/2010 22.00,"1,054744","2,795615","1,312946","56,654442"
08/01/2010 23.00,"1,045714","2,904638","1,294597",
09/01/2010 0.00,"0,940962","2,76836","1,335715","53,724041"
09/01/2010 1.00,"1,101702","1,987042","1,364365",
09/01/2010 2.00,"0,939156","1,868936","1,344556","61,05006"
09/01/2010 3.00,"0,870525","1,011043","1,423638",
09/01/2010 4.00,"0,852465","0,895531","1,467757","59,58485"
09/01/2010 5.00,"0,980695","0,839724","1,375454",
09/01/2010 6.00,"0,852465","0,558086","1,318195","106,959702"
09/01/2010 7.00,"1,016817","3,207041","1,471821",
09/01/2010 8.00,"1,025847","7,710658","1,398185","82,05127"
09/01/2010 9.00,"0,938544","6,345936","1,461613",
