, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



01/01/2007 1.00,"2,03397966","11,5315913",,"1,02151411","10,62483291"
01/01/2007 2.00,"2,25711861","7,86899852","162,14880371","1,25185539","13,74759243"
01/01/2007 3.00,"1,39523247","9,44202004",,"1,12626502","15,53167485"
01/01/2007 4.00,"0,42829938","9,47317034","135,77520752","0,91680291","11,07641142"
01/01/2007 5.00,"0,38353002","8,14285046",,"1,04231502","10,50534558"
01/01/2007 6.00,"0,28553292","7,59385025","120,14649963","0,94511406","11,16532773"
01/01/2007 7.00,"0,42124954","7,47444585",,"0,80037434","9,14070956"
01/01/2007 8.00,"0,27953974","7,79242483","97,68009186","0,70061779","7,74086194"
01/01/2007 9.00,"0,27108033","7,11882914",,"0,56409611","6,36434227"
01/01/2007 10.00,"0,26402947","6,21031749","67,39926147","0,3466916","4,46340248"
01/01/2007 11.00,"0,19458566","5,73140355",,"0,31212814","2,75942203"
01/01/2007 12.00,"0,16814671","4,75150929","43,46763992","0,31716222","2,7884706"
01/01/2007 13.00,"0,05076152","5,20706241",,"0,32785643","3,30100708"
01/01/2007 14.00,"0,07085439","4,70219116","29,30401993","0,26895419","2,08007519"
01/01/2007 15.00,"0,05922194","4,43483046",,"0,25416848","1,82457733"
01/01/2007 16.00,"0,07755235","4,78914892","21,97801971","0,26148366","1,80609132"
01/01/2007 17.00,"0,01692085","8,12597897",,"0,28255906","2,2237783"
01/01/2007 18.00,"0,13853676","5,85859553","19,53602028","0,31456693","2,28407725"
01/01/2007 19.00,"0,19881536","4,8514457",,"0,39426891","3,06553598"
01/01/2007 20.00,"0,23618198","6,21291398","30,76922989","0,50012125","4,36613253"
01/01/2007 21.00,"0,23829632","5,48870192",,"0,5304764","5,00982845"
01/01/2007 22.00,"0,17202453","7,27716951","35,65322113","0,47617491","5,12118283"
01/01/2007 23.00,"0,30844593","7,49261558",,"0,43469106","4,02172752"
02/01/2007 0.00,"0,12760808","7,47704234","27,35042","0,437562","4,17599421"
02/01/2007 1.00,,"4,99291458",,"0,27367174","2,99181365"
02/01/2007 2.00,"0,02335134",,"13,18680954","0,18469","1,40292811"
02/01/2007 3.00,0,,,,"0,93330497"
02/01/2007 4.00,0,,"10,7448101","0,18363997","0,89633397"
02/01/2007 5.00,"0,00667152",,,"0,18679006","0,95729193"
02/01/2007 6.00,"0,20699815",,"5,86080599","0,18253738","0,91680008"
02/01/2007 7.00,"0,18531469",,,"0,1924607","0,8177697"
02/01/2007 8.00,"0,11025806",,"9,76801014","0,2011623","0,93286461"
02/01/2007 9.00,"0,02835498",,,"0,20990362","1,31974259"
02/01/2007 10.00,"0,03836226",,"9,27960968","0,20002","1,25240194"
02/01/2007 11.00,"0,02168346",,,"0,1979725","1,1777999"
02/01/2007 12.00,"0,18680765",,"16,11721039","0,2139192","1,33096621"
02/01/2007 13.00,"0,29364248",,,"0,23274035","1,4924953"
02/01/2007 14.00,"0,08839967",,"7,32600689","0,2173064","1,40975015"
02/01/2007 15.00,"0,12685041",,,"0,22852738","1,63421832"
02/01/2007 16.00,"0,16845995",,"6,83760691","0,22222718","1,31688177"
02/01/2007 17.00,"0,0083394",,,"0,23104792","1,419433"
02/01/2007 18.00,"0,24702828",,"10,25640965","0,27613038","1,70882137"
02/01/2007 19.00,"0,0166788",,,"0,23600842","1,58668374"
02/01/2007 20.00,"0,02168346",,"11,23320961","0,30542382","2,02615791"
02/01/2007 21.00,"0,11359483",,,"0,25317568","1,82523736"
02/01/2007 22.00,"0,05003742",,"9,76801014","0,23907909","1,63311792"
02/01/2007 23.00,"0,19532299",,,"0,26061701","1,62585654"
