,Provincia di TARANTO,,,,,
,TA V. Machiavelli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,
04/01/2006 1.00,,"19,344755","0,273608","57,075954","5,381892","0,824075"
04/01/2006 2.00,"1,138877",,"0,257493","52,517996","6,240937","0,954709"
04/01/2006 3.00,"1,067085","14,737338",,"55,006857","4,387118","0,89974"
04/01/2006 4.00,"1,170824","17,954761","0,26421","42,125163","8,487607","0,746224"
04/01/2006 5.00,"1,092481","20,216934","0,366918","31,683572","14,42589","0,966557"
04/01/2006 6.00,"1,070734","24,720553","0,343351","30,363322","12,59399","1,170567"
04/01/2006 7.00,"1,228695","42,832376","0,559298","14,669125","9,758894","1,113615"
04/01/2006 8.00,"1,316981","53,106104","0,570115","3,433389","13,59331","2,124513"
04/01/2006 9.00,"3,030041","73,1766","1,340392","1,683166","21,882481","1,829583"
04/01/2006 10.00,"1,368031","61,595691","0,483958","22,894001","12,20873","4,611586"
04/01/2006 11.00,"1,243923","45,322985","0,466367","36,448708","8,920081","1,930266"
04/01/2006 12.00,"1,030654","34,350782","0,335788","59,452418","6,540212","1,738053"
04/01/2006 13.00,"1,149605","22,576685","0,239466","84,352593","3,724613","1,31854"
04/01/2006 14.00,"1,069173","29,984729","0,249459","79,69239","3,76665","1,010644"
04/01/2006 15.00,"1,078103","45,705842","0,274112","66,170182","6,728208","1,419935"
04/01/2006 16.00,"1,057847","68,525028","0,247118","35,58749","4,859214","1,264639"
04/01/2006 17.00,"1,470382","97,770807","0,459647","5,68028","9,00931","0,956997"
04/01/2006 18.00,"2,234323","96,473418","1,117132",0,"13,52301","2,006032"
04/01/2006 19.00,"1,484983","63,654127","0,603382","17,664427","18,96307",
04/01/2006 20.00,"1,3241","60,52235","0,650348","19,083546","18,696671","2,371135"
04/01/2006 21.00,"1,178685","55,9798","0,514671","26,3741","13,88551","2,447919"
04/01/2006 22.00,"1,09484","41,931651","0,397379","48,981042","9,98061","2,032474"
04/01/2006 23.00,"1,2253","32,230048","0,302694","59,252019","7,403473","1,616013"
05/01/2006 0.00,"1,066015","41,088018","0,333824","40,268674","7,06289","1,201077"
05/01/2006 1.00,"1,054199","42,152274","0,3225","24,388956","9,013657","1,401426"
05/01/2006 2.00,"1,298652","48,5404","0,402937","9,657552","15,4645","1,455835"
05/01/2006 3.00,"1,45084","41,617548","0,395165","17,202678","13,98415","1,701441"
05/01/2006 4.00,"1,033559","27,388979","0,275407","33,813593","9,034733","1,407019"
05/01/2006 5.00,"1,21408","50,846712","0,381083","12,816694","10,34142","1,069172"
05/01/2006 6.00,"1,217168","22,641367","0,278917","47,831401","6,636318","1,703983"
05/01/2006 7.00,"1,908508","70,990992","0,827937","5,211989","9,325578","1,156838"
