,SIMAGE Brindisi,,,,,
,S. Pancrazio S.,,,,,
Parm,SO2,NOX,NO,NO2,PTS,PM10



01/01/2005 1.00,"0,102753","26,305238","5,048816","18,56735",,
01/01/2005 2.00,"0,082773","25,08737","4,154966","18,7218","76,19046",
01/01/2005 3.00,"0,108461","21,016168","3,744371","15,27855",,
01/01/2005 4.00,"0,105607","15,567586","3,21465","10,639947","47,37484",
01/01/2005 5.00,"0,061366","16,369116","3,148751","11,543267",,
01/01/2005 6.00,"0,014272","16,845107","3,145373","12,024784","21,001221",
01/01/2005 7.00,"0,058512","15,024153","3,149596","10,19608",,
01/01/2005 8.00,"0,065647","19,988965","4,401663","13,240888","26,86202",
01/01/2005 9.00,"0,042814","18,055185","3,697058","12,388182",,
01/01/2005 10.00,"0,109888","24,259894","4,718481","17,028077","27,35042",
01/01/2005 11.00,"0,162692","18,588241","3,683541","12,942373",,
01/01/2005 12.00,"0,0842","18,203039","3,984307","12,094868","25,88522",
01/01/2005 13.00,"0,062794","18,484483","4,084844","12,222056",,
01/01/2005 14.00,"0,038532","19,057746","3,843218","13,166907","16,60561",
01/01/2005 15.00,"0,092763","17,050029","3,522175","11,650997",,
01/01/2005 16.00,"0,078492","18,148566","3,613418","12,610122","19,0476",
01/01/2005 17.00,"0,031397","19,787938","3,638763","14,211699",,
01/01/2005 18.00,"0,044241","20,234083","3,797596","14,414156","34,18803",
01/01/2005 19.00,"0,082773","18,178397","3,478242","12,847634",,
01/01/2005 20.00,"0,032824","21,315759","3,700438","15,645846","14,65201",
01/01/2005 21.00,"0,071356","23,279384","4,05105","17,072204",,
01/01/2005 22.00,"0,054231","22,598482","3,785767","16,798356","22,46641",
01/01/2005 23.00,"0,081346","27,822696","4,576546","20,811354",,
02/01/2005 0.00,"0,097044","26,066582","3,901513","20,091046","28,81562",
02/01/2005 1.00,,"23,593257","3,602436","18,075461",,
02/01/2005 2.00,"0,254091",,,,"17,094",
02/01/2005 3.00,"0,300522","25,978401","3,524709","20,581646",,
02/01/2005 4.00,"0,253725","34,242715","3,537382","28,832213","40,537231",
02/01/2005 5.00,"0,226306","32,259645","3,44445","26,990537",,
02/01/2005 6.00,"0,218629","24,11334","3,267876","19,109863","35,653221",
02/01/2005 7.00,"0,208758","18,985115","3,170718","14,127332",,
02/01/2005 8.00,"0,308931","17,679061","3,152132","12,848926","19,53602",
02/01/2005 9.00,"0,281146","22,352044","3,762957","16,5868",,
02/01/2005 10.00,"0,250435","23,217128","4,289297","16,643906","21,97802",
02/01/2005 11.00,"0,369254","16,498815","3,720714","10,794397",,
02/01/2005 12.00,"0,332329","15,614278","3,696214","9,946893","20,51281",
02/01/2005 13.00,"0,423363","15,134398","3,563572","9,670446",,
02/01/2005 14.00,"0,290651","16,743943","3,566107","11,277203","10,74481",
02/01/2005 15.00,"0,354265","14,09941","3,223943","9,156488",,
02/01/2005 16.00,"0,323554","16,579226","3,474019","11,253848","13,67521",
02/01/2005 17.00,"0,278587","23,021282","3,729162","17,308423",,
02/01/2005 18.00,"0,31734","27,28445","3,819562","21,435642","48,35165",
02/01/2005 19.00,"0,428481","29,188399","3,810267","23,355194",,
02/01/2005 20.00,"0,300888","39,714628","4,219176","33,26056","53,235641",
02/01/2005 21.00,"0,398502","48,26561","5,055576","40,532544",,
02/01/2005 22.00,"0,435794","53,133142","5,546433","44,649386","100,610397",
02/01/2005 23.00,"0,33306","53,166868","4,957573","45,587757",,
03/01/2005 0.00,"0,365964","56,836015","4,900968","49,346387","102,0756",
03/01/2005 1.00,"0,279318","46,696239","4,241142","40,213259",,
03/01/2005 2.00,"0,232521","30,220803","3,200287","25,325356","65,445663",
03/01/2005 3.00,"0,272737","32,467155","3,23915","27,513583",,
03/01/2005 4.00,"0,223747","33,223293","3,394602","28,03143","55,189251",
03/01/2005 5.00,"0,312221","29,661791","3,123407","24,884087",,
03/01/2005 6.00,"0,220456","27,49714","3,386999","22,313001","43,46764",
03/01/2005 7.00,"0,189746","24,551724","3,504433","19,185121",,
03/01/2005 8.00,"0,257016","32,299856","4,225933","25,830239","39,072041",
03/01/2005 9.00,"0,330867","55,677801","8,250794","43,041318",,
03/01/2005 10.00,"0,381685","75,500767","13,632466","54,610561","74,725273",
03/01/2005 11.00,"0,43031","64,89542","11,867591","46,709105",,
03/01/2005 12.00,"0,511472","35,054606","4,624703","27,974319","63,492062",
03/01/2005 13.00,"0,42446","25,759209","3,748594","20,018372",,
03/01/2005 14.00,"0,381319","20,72564","3,509502","15,348635","31,746031",
03/01/2005 15.00,"0,352437","14,278393","3,442759","8,999445",,
03/01/2005 16.00,"0,261404","16,70244","3,600746","11,182463","21,48962",
03/01/2005 17.00,"0,211316","17,973475","3,528088","12,565996",,
03/01/2005 18.00,"0,239102","22,451926","3,687765","16,802253","19,0476",
03/01/2005 19.00,"0,297963","21,798252","3,871097","15,866484",,
03/01/2005 20.00,"0,281146","16,622027","3,487536","11,27591","27,83882",
03/01/2005 21.00,"0,241661","17,548066","3,417415","12,310316",,
03/01/2005 22.00,"0,212048","15,915176","3,251823","10,930668","17,094",
03/01/2005 23.00,"0,306737","17,232902","3,513726","11,84697",,
04/01/2005 0.00,"0,278221","13,013844","3,093837","8,270042","12,69841",
04/01/2005 1.00,,"10,185142","2,984006","5,608106",,
04/01/2005 2.00,"0,499837",,,,"11,72161",
04/01/2005 3.00,"0,614671","9,849224","3,044835","5,17851",,
04/01/2005 4.00,"0,627886","9,288932","3,002594","4,682723","10,74481",
04/01/2005 5.00,"0,57056","9,356376","3,010197","4,738532",,
04/01/2005 6.00,"0,563892","10,131967","3,07863","5,40953","16,11721",
04/01/2005 7.00,"0,6162","11,148793","3,084543","6,417978",,
04/01/2005 8.00,"0,466739","14,566323","3,134389","9,761295","19,0476",
04/01/2005 9.00,"0,653092","17,95791","3,200287","13,053991",,
04/01/2005 10.00,"0,712436","13,140946","3,185925","8,255766","13,18681",
04/01/2005 11.00,"0,679705","11,877694","3,146217","7,052637",,
04/01/2005 12.00,"0,77545","12,072239","3,412344","6,852764","13,67521",
04/01/2005 13.00,"0,817787","11,657208","3,32617","6,555552",,
04/01/2005 14.00,"0,830022","13,764792","3,343067","8,638638","16,11721",
04/01/2005 15.00,"0,722959","13,772573","3,431776","8,510147",,
04/01/2005 16.00,"0,719226","12,71943","3,179167","7,844339","12,69841",
04/01/2005 17.00,"0,582185","17,575303","3,226478","12,630882",,
04/01/2005 18.00,"0,569031","22,746336","3,567797","17,281163","22,46641",
04/01/2005 19.00,"0,638715","30,807003","3,882081","24,864622",,
04/01/2005 20.00,"0,685884","31,604671","3,843218","25,722518","52,25885",
04/01/2005 21.00,"0,616935","45,279963","4,44306","38,485786",,
04/01/2005 22.00,"0,650828","61,171799","5,178079","53,259465","92,796082",
04/01/2005 23.00,"0,545966","39,407275","3,702973","33,745959",,
05/01/2005 0.00,"0,645627","31,22596","3,230703","26,284492","57,142841",
05/01/2005 1.00,"0,474875","29,447802","3,136079","24,650459",,
05/01/2005 2.00,"0,572579","33,546211","3,071025","28,851678","45,421242",
05/01/2005 3.00,"0,481054","21,576461","3,019489","16,952806",,
05/01/2005 4.00,"0,517273","15,194057","2,931626","10,70095","20,02442",
05/01/2005 5.00,"0,442511","13,326414","2,861503","8,939743",,
05/01/2005 6.00,"0,473897","13,85947","2,935851","9,358957","13,67521",
05/01/2005 7.00,"0,441716","20,624477","3,312652","15,549804",,
05/01/2005 8.00,"0,436088","24,769614","3,341378","19,653658","24,908421",
05/01/2005 9.00,"0,676646","39,765239","5,03023","32,065214",,
05/01/2005 10.00,"0,664532","40,508376","6,548423","30,476629","26,86202",
05/01/2005 11.00,"0,548597","23,981049","4,178622","17,578374",,
05/01/2005 12.00,"0,650828","18,886544","3,841528","12,998187","22,954821",
05/01/2005 13.00,"0,753365","18,042215","3,928547","12,019585",,
05/01/2005 14.00,"0,715678","18,760739","4,031618","12,604932","23,44322",
05/01/2005 15.00,"0,73758","18,086311","3,550054","12,645162",,
05/01/2005 16.00,"0,720267","22,728173","3,931927","16,703604","23,93162",
05/01/2005 17.00,"0,553491","27,57626","3,907426","21,592673",,
05/01/2005 18.00,"0,842075","33,176602","3,995291","27,061912","51,282051",
05/01/2005 19.00,"0,820846","37,774369","4,078087","31,535687",,
05/01/2005 20.00,"0,759482","43,695049","4,593443","36,668757","69,84127",
05/01/2005 21.00,"0,814484","50,986653","5,426464","42,685703",,
05/01/2005 22.00,"1,018028","59,305458","6,527302","49,31912","131,868103",
05/01/2005 23.00,"0,700995","50,313532","5,374083","42,092564",,
06/01/2005 0.00,"0,658353","44,910336","4,238607","38,429974","118,192902",
06/01/2005 1.00,,"40,359242","3,924323","34,358543",,
06/01/2005 2.00,"0,169958",,,,"84,004883",
06/01/2005 3.00,"0,127907","38,383955","3,484156","33,058076",,
06/01/2005 4.00,"0,103377","30,148166","3,332085","25,05022","61,05006",
06/01/2005 5.00,"0,07359","26,667084","3,089612","21,939225",,
06/01/2005 6.00,"0,14718","21,40526","3,044835","16,742543","51,282051",
06/01/2005 7.00,"0,077095","20,310621","3,362498","15,159144",,
06/01/2005 8.00,"0,141924","23,498574","3,441914","18,227316","27,83882",
06/01/2005 9.00,"0,036795","25,141843","3,646368","19,557618",,
06/01/2005 10.00,"0,159445","35,179135","4,915331","27,652452","42,002441",
06/01/2005 11.00,"0,252401","35,461865","6,102343","26,111878",,
06/01/2005 12.00,"0,282095","30,200039","5,158647","22,296138","58,608051",
06/01/2005 13.00,"0,311882","20,483121","3,88377","14,530972",,
06/01/2005 14.00,"0,217266","19,404027","3,591453","13,900205","31,746031",
06/01/2005 15.00,"0,085855","18,96177","3,676783","13,326544",,
06/01/2005 16.00,"0,222523","20,598549","3,452898","15,308395","41,025631",
06/01/2005 17.00,"0,292608","26,421966","3,746904","20,684168",,
06/01/2005 18.00,"0,180563","28,665716","3,737611","22,94377","47,37484",
06/01/2005 19.00,"0,21201","27,254622","3,648903","21,667968",,
06/01/2005 20.00,"0,187572","30,522995","3,834769","24,653059","48,84005",
06/01/2005 21.00,"0,129659","27,724114","4,018946","21,569328",,
06/01/2005 22.00,"0,197993","26,516629","3,932771","20,493389","45,909641",
06/01/2005 23.00,"0,2453","27,213112","3,906581","21,230579",,
07/01/2005 0.00,"0,306718","22,713909","3,632006","17,150078","43,956032",
07/01/2005 1.00,"0,168206","16,768585","3,569486","11,296673",,
07/01/2005 2.00,"0,085855","14,135725","3,425016","8,883936","29,30402",
07/01/2005 3.00,"0,280436","12,847831","3,336307","7,731424",,
07/01/2005 4.00,"0,091112","13,819265","3,454588","8,52183","24,908421",
07/01/2005 5.00,"0,206753","12,282349","3,392068","7,079893",,
07/01/2005 6.00,"0,094616","13,43925","3,534847","8,018253","15,62881",
07/01/2005 7.00,"0,133163","14,182418","3,58216","8,689254",,
07/01/2005 8.00,"0,14718","23,114665","4,637376","16,006652","20,51281",
07/01/2005 9.00,"0,094616","18,691998","3,929392","12,668528",,
07/01/2005 10.00,"0,133163","14,860734","3,588918","9,357659","20,02442",
07/01/2005 11.00,"0,190984","12,050192","3,447829","6,761914",,
07/01/2005 12.00,"0,289105","12,163027","3,427551","6,905977","26,37361",
07/01/2005 13.00,"0,483593","12,46652","3,60328","6,939722",,
07/01/2005 14.00,"0,392481","16,265358","3,729162","10,547802","24,908421",
07/01/2005 15.00,"0,241796","12,820594","3,313497","7,739212",,
07/01/2005 16.00,"0,347018","12,528776","3,392068","7,352447","25,39682",
07/01/2005 17.00,"0,155941","16,162898","3,374327","10,990378",,
07/01/2005 18.00,"0,189232","22,228836","3,728318","16,516719","29,79241",
07/01/2005 19.00,"0,131411","24,541342","3,779854","18,751655",,
07/01/2005 20.00,"0,103377","20,040838","3,576245","14,560826","35,164822",
07/01/2005 21.00,"0,119146","19,916328","3,682696","14,272699",,
07/01/2005 22.00,"0,264666","21,511606","3,847441","15,615991","30,76923",
07/01/2005 23.00,"0,131411","25,363635","4,307885","18,763332",,
08/01/2005 0.00,"0,06483","18,40407","3,501053","13,038417","28,327221",
08/01/2005 1.00,,"17,67517","3,395448","12,471245",,
08/01/2005 2.00,"0,294649",,,,"23,44322",
08/01/2005 3.00,"0,275548","21,423423","3,596523","15,913203",,
08/01/2005 4.00,"0,18867","18,470216","3,419103","13,230503","36,630032",
08/01/2005 5.00,"0,277766","17,073374","3,393758","11,871634",,
08/01/2005 6.00,"0,193845","16,083783","3,274634","11,064357","21,97802",
08/01/2005 7.00,"0,295881","17,257546","3,415724","12,022189",,
08/01/2005 8.00,"0,241289","22,620527","3,938684","16,585499","19,53602",
08/01/2005 9.00,"0,302782","39,723731","6,480836","29,79523",,
08/01/2005 10.00,"0,382267","44,661318","7,753179","32,781641","33,699631",
08/01/2005 11.00,"0,420099","28,412816","4,922935","20,869766",,
08/01/2005 12.00,"0,250039","19,839809","4,056119","13,622464","33,211231",
08/01/2005 13.00,"0,288856","19,483145","3,990222","13,366784",,
08/01/2005 14.00,"0,289596","22,695745","4,610341","15,62897","22,954821",
08/01/2005 15.00,"0,203334","18,096688","3,540762","12,66982",,
08/01/2005 16.00,"0,212699","18,52728","3,431776","13,268138","25,88522",
08/01/2005 17.00,"0,228473","19,396245","3,377707","14,22078",,
08/01/2005 18.00,"0,208756","29,428336","4,02993","23,257855","51,282051",
08/01/2005 19.00,"0,246219","29,458182","3,759577","23,703026",,
08/01/2005 20.00,"0,355649","40,852077","4,679618","33,691446","68,864471",
08/01/2005 21.00,"0,344311","42,306","5,196666","34,352062",,
08/01/2005 22.00,"0,344681","52,129284","6,833137","41,668177","123,076797",
08/01/2005 23.00,"0,288856","37,211496","4,633995","30,118415",,
09/01/2005 0.00,"0,277889","32,775828","3,673403","27,155369","100,122101",
09/01/2005 1.00,"0,194338","28,437462","3,758732","22,682896",,
09/01/2005 2.00,"0,301304","23,837095","3,38362","18,655611","53,235641",
09/01/2005 3.00,"0,241659","25,377898","3,436846","20,115712",,
09/01/2005 4.00,"0,221819","21,209413","3,331238","16,106589","64,468849",
09/01/2005 5.00,"0,326936","21,69967","3,436001","16,436249",,
09/01/2005 6.00,"0,228473","22,406517","3,234081","17,453779","61,05006",
09/01/2005 7.00,"0,308944","32,679865","6,34735","22,951552",,
09/01/2005 8.00,"0,186574","26,040655","4,024861","19,875603","65,445663",
09/01/2005 9.00,"0,357621","33,371129","5,719626","24,607649",,
09/01/2005 10.00,"0,299948","39,579775","7,719384","27,748491","72,77166",
09/01/2005 11.00,"0,446224","35,888583","5,92915","26,804938",,
09/01/2005 12.00,"0,478388","28,641089","4,77762","21,321437","73,260071",
09/01/2005 13.00,"0,352444","25,052362","4,405042","18,302587",,
09/01/2005 14.00,"0,259281","24,355877","3,909115","18,367485","27,83882",
09/01/2005 15.00,"0,209126","19,676392","3,456276","14,380418",,
09/01/2005 16.00,"0,188916","23,270301","3,68692","17,622499","42,490841",
09/01/2005 17.00,"0,293294","19,759391","3,221409","14,824286",,
09/01/2005 18.00,"0,267538","30,862796","4,404197","24,118331","66,910851",
09/01/2005 19.00,"0,21233","31,426989","4,027395","25,261764",,
09/01/2005 20.00,"0,230937","28,233834","4,274091","21,687433","57,631241",
09/01/2005 21.00,"0,316461","36,683592","4,470094","29,84196",,
09/01/2005 22.00,"0,25694","33,67854","4,236917","27,192998","82,53968",
09/01/2005 23.00,"0,254352","30,202639","3,561883","24,751699",,
10/01/2005 0.00,"0,266552","28,574935","3,60328","23,059274","72,77166",
10/01/2005 1.00,,"21,793051","3,283928","16,763313",,
10/01/2005 2.00,"0,332565",,,,"48,84005",
10/01/2005 3.00,"0,516975","16,26017","3,286462","11,222692",,
10/01/2005 4.00,"0,373747","14,262829","3,117493","9,483553","34,67643",
10/01/2005 5.00,"0,414745","19,017539","3,119182","14,238948",,
10/01/2005 6.00,"0,389056","19,719201","3,196908","14,821694","59,58485",
10/01/2005 7.00,"0,399127","22,16658","3,60497","16,643906",,
10/01/2005 8.00,"0,444308","31,985982","4,088223","25,727699","31,746031",
10/01/2005 9.00,"0,453635","45,736512","7,843577","33,718692",,
10/01/2005 10.00,"0,410748","40,02204","6,523924","30,027558","51,282051",
10/01/2005 11.00,"0,536032","28,171579","5,028541","20,466123",,
10/01/2005 12.00,"0,564728","17,13563","4,367869","10,645146","13,67521",
10/01/2005 13.00,"0,545019","15,762131","3,936152","9,750915",,
10/01/2005 14.00,"0,391876","18,488374","4,045981","12,285651","25,39682",
10/01/2005 15.00,"0,452116","16,504002","3,29829","11,448528",,
10/01/2005 16.00,"0,424413","17,686844","3,423328","12,440101","20,02442",
10/01/2005 17.00,"0,469098","21,988898","3,553435","16,54527",,
10/01/2005 18.00,"0,486111","30,917269","3,91334","24,926916","43,46764",
10/01/2005 19.00,"0,522956","38,116772","4,557115","31,142425",,
10/01/2005 20.00,"0,603091","47,102214","4,423629","40,339144","67,88765",
10/01/2005 21.00,"0,71062","53,550779","5,181457","45,627967",,
10/01/2005 22.00,"0,762927","52,019036","5,585295","43,474805","77,65567",
10/01/2005 23.00,"0,794225","44,490117","4,627238","37,412448",,
11/01/2005 0.00,"0,47384","33,359484","3,786613","27,565494","109,889999",
11/01/2005 1.00,"0,443347","24,58025","3,376015","19,410967",,
11/01/2005 2.00,"0,513411","21,579062","3,260271","16,585499","37,606831",
11/01/2005 3.00,"0,450846","20,38714","3,222254","15,451168",,
11/01/2005 4.00,"0,416946","18,627149","3,175786","13,761329","27,35042",
11/01/2005 5.00,"0,385771","18,535065","3,179167","13,663995",,
11/01/2005 6.00,"0,438265","17,95791","3,218875","13,025439","30,76923",
11/01/2005 7.00,"0,528875","21,531069","3,468104","16,218204",,
11/01/2005 8.00,"0,464698","36,097394","4,405042","29,355261","29,30402",
11/01/2005 9.00,"0,493052","47,858334","8,426522","34,946484",,
11/01/2005 10.00,"0,630887","52,220083","8,445953","39,28139","55,67765",
11/01/2005 11.00,"0,702098","59,988962","10,382347","44,080911",,
11/01/2005 12.00,"0,644832","39,63811","5,898734","30,603815","77,167259",
11/01/2005 13.00,"0,602749","23,560829","4,149052","17,203288",,
11/01/2005 14.00,"0,574271","23,582875","4,359421","16,90218","35,653221",
11/01/2005 15.00,"0,479479","23,593257","4,078931","17,343465",,
11/01/2005 16.00,"0,360423","27,774705","3,895598","21,809437","42,490841",
11/01/2005 17.00,"0,40551","26,529612","3,734233","20,811354",,
11/01/2005 18.00,"0,582235","27,490659","3,646368","21,908079","53,235641",
11/01/2005 19.00,"0,570739","31,665625","4,400818","24,926916",,
11/01/2005 20.00,"0,491379","33,219394","4,089069","26,96069","48,35165",
11/01/2005 21.00,"0,521592","39,163418","4,847742","31,74335",,
11/01/2005 22.00,"0,384129","34,01056","3,983463","27,914625","67,88765",
11/01/2005 23.00,"0,547467","37,005248","5,778766","28,153434",,
12/01/2005 0.00,"0,425962","27,951087","3,823786","22,096256","32,722832",
12/01/2005 1.00,,"24,017359","3,470638","18,702331",,
12/01/2005 2.00,"0,141615",,,,"49,328442",
12/01/2005 3.00,"0,081099","22,345562","3,592298","16,842481",,
12/01/2005 4.00,"0,11535","17,93716","3,401362","12,724331","41,514042",
12/01/2005 5.00,"0,09953","15,069548","3,38362","9,881997",,
12/01/2005 6.00,"0,072497","14,89316","3,366723","9,731445","33,211231",
12/01/2005 7.00,"0,07004","19,92541","3,71987","14,224677",,
12/01/2005 8.00,"0,114889","23,846157","3,97079","17,762678","27,35042",
12/01/2005 9.00,"0,136546","30,578768","5,096973","22,769855",,
12/01/2005 10.00,"0,089546","36,041619","4,966021","28,437653","36,630032",
12/01/2005 11.00,"0,168647","30,268775","5,090214","22,470053",,
12/01/2005 12.00,"0,146069","18,174506","3,724093","12,466058","37,606831",
12/01/2005 13.00,"0,141462","19,134262","4,130465","12,802207",,
12/01/2005 14.00,"0,190918","21,176987","4,114414","14,871017","30,28083",
12/01/2005 15.00,"0,183393","21,688006","3,528934","16,2818",,
12/01/2005 16.00,"0,236075","22,734654","3,438535","17,46806","35,653221",
12/01/2005 17.00,"0,154517","26,942049","3,905736","20,960625",,
12/01/2005 18.00,"0,179859","38,338562","3,972479","32,262494","51,282051",
12/01/2005 19.00,"0,135932","38,946846","4,044292","32,760876",,
12/01/2005 20.00,"0,289372","53,217461","5,098663","45,421625","93,284492",
12/01/2005 21.00,"0,269866","53,63508","5,425618","45,337248",,
12/01/2005 22.00,"0,301506","49,511983","4,456577","42,699988","113,797302",
12/01/2005 23.00,"0,204588","44,862344","4,733688","37,621409",,
13/01/2005 0.00,"0,14699","38,761382","4,126242","32,449373","93,284492",
13/01/2005 1.00,"0,238072","26,410283","3,596523","20,903514",,
13/01/2005 2.00,"0,160968","22,803391","3,412344","17,577081","60,561661",
13/01/2005 3.00,"0,187539","22,917538","3,457122","17,622499",,
13/01/2005 4.00,"0,211347","21,328742","3,509502","15,952139","42,490841",
13/01/2005 5.00,"0,196448","20,249648","3,453742","14,957975",,
13/01/2005 6.00,"0,103984","18,280857","3,321101","13,191564","34,18803",
13/01/2005 7.00,"0,176326","20,582985","3,460501","15,281145",,
13/01/2005 8.00,"0,161736","28,229934","3,648903","22,643967","32,722832",
13/01/2005 9.00,"0,324852","64,877258","10,030046","49,513799",,
13/01/2005 10.00,"0,192915","50,307051","6,463939","40,411819","9,76801",
13/01/2005 11.00,"0,197062","37,242603","5,792284","28,370159",,
13/01/2005 12.00,"0,159124","19,583009","3,791682","13,771714","37,606831",
13/01/2005 13.00,"0,244062","19,454618","3,850821","13,55238",,
13/01/2005 14.00,"0,225323","24,300104","5,02516","16,597187","22,46641",
13/01/2005 15.00,"0,184314","23,103002","3,964875","17,028077",,
13/01/2005 16.00,"0,198291","21,333924","3,796751","15,516054","30,76923",
13/01/2005 17.00,"0,165269","21,189968","3,418259","15,953443",,
13/01/2005 18.00,"0,223941","26,805857","3,905736","20,824337","30,76923",
13/01/2005 19.00,"0,229009","30,879659","4,13638","24,546637",,
13/01/2005 20.00,"0,274627","28,838218","3,713111","23,154032","51,282051",
13/01/2005 21.00,"0,197369","51,727208","6,041514","42,481942",,
13/01/2005 22.00,"0,187693","45,30591","5,324239","37,158055","79,609283",
13/01/2005 23.00,"0,171412","40,165995","6,281452","30,544123",,
14/01/2005 0.00,"0,155899","23,402611","3,581314","17,917115","37,606831",
14/01/2005 1.00,,"24,607497","3,376015","19,438214",,
14/01/2005 2.00,"0,543512",,,,"25,39682",
14/01/2005 3.00,"0,464574","16,114909","3,490071","10,764543",,
14/01/2005 4.00,"0,528337","14,444406","3,324481","9,347274","14,65201",
14/01/2005 5.00,"0,559544","17,322394","3,35236","12,18442",,
14/01/2005 6.00,"0,604705","20,64394","3,305894","15,579648","16,60561",
14/01/2005 7.00,"0,575332","24,842252","3,909961","18,852884",,
14/01/2005 8.00,"0,697473","36,884658","6,735136","26,563529","28,327221",
14/01/2005 9.00,"0,629059","30,659167","4,851123","23,228007",,
14/01/2005 10.00,"0,658798","27,83306","4,060344","21,614739","36,630032",
14/01/2005 11.00,"0,643255","25,134061","4,440526","18,329838",,
14/01/2005 12.00,"0,761235","21,861787","3,909961","15,870378","38,09523",
14/01/2005 13.00,"0,792076","19,493528","3,795061","13,676976",,
14/01/2005 14.00,"0,958397","16,943676","3,744371","11,203222","30,76923",
14/01/2005 15.00,"1,158986","15,747866","3,49514","10,389468",,
14/01/2005 16.00,"1,100119","14,574103","3,282237","9,541956","23,93162",
14/01/2005 17.00,"0,892677","16,474171","3,203668","11,56404",,
14/01/2005 18.00,"0,845436","19,293781","3,396293","14,089698","31,25762",
14/01/2005 19.00,"0,835646","25,604873","3,869408","19,678323",,
14/01/2005 20.00,"1,05141","24,682715","3,834769","18,808759","29,79241",
14/01/2005 21.00,"0,837236","19,042181","3,426707","13,791185",,
14/01/2005 22.00,"0,952156","16,065625","3,313497","10,986482","19,0476",
14/01/2005 23.00,"0,884599","19,153707","3,658197","13,547182",,
15/01/2005 0.00,"0,929269","16,245904","3,336307","11,131847","20,02442",
15/01/2005 1.00,"0,800765","13,585809","3,126785","8,791785",,
15/01/2005 2.00,"0,728558","12,083912","3,056664","7,396574","15,62881",
15/01/2005 3.00,"0,72966","11,100806","3,022025","6,465999",,
15/01/2005 4.00,"0,781673","10,96592","3,000059","6,364765","24,42001",
15/01/2005 5.00,"0,797461","10,971109","2,980627","6,399808",,
15/01/2005 6.00,"0,588427","10,58461","2,929936","6,090915","13,67521",
15/01/2005 7.00,"0,515731","13,493723","3,097216","8,745064",,
15/01/2005 8.00,"0,676667","18,187476","3,690301","12,571183","13,18681",
15/01/2005 9.00,"0,72452","16,954053","3,384464","11,766499",,
15/01/2005 10.00,"0,78045","13,680488","3,013576","9,060446","17,582411",
15/01/2005 11.00,"0,757196","12,770012","2,997525","8,173999",,
15/01/2005 12.00,"0,868812","12,304399","3,110734","7,534148","10,25641",
15/01/2005 13.00,"1,140261","12,792062","3,405586","7,569191",,
15/01/2005 14.00,"1,189216","14,943742","3,878701","9,020211","11,23321",
15/01/2005 15.00,"1,211122","13,179855","3,320256","8,088339",,
15/01/2005 16.00,"1,211","13,462597","3,245908","8,485488","23,93162",
15/01/2005 17.00,"1,078947","14,644141","3,202822","9,734041",,
15/01/2005 18.00,"1,026566","17,802274","3,49514","12,445286","21,48962",
15/01/2005 19.00,"1,062424","20,17313","3,680161","14,533564",,
15/01/2005 20.00,"0,921804","19,068121","3,651437","13,47191","27,83882",
15/01/2005 21.00,"0,914828","23,590657","3,377707","18,418101",,
15/01/2005 22.00,"1,096325","18,005899","3,49514","12,652956","33,699631",
15/01/2005 23.00,"0,864161","12,86988","2,918108","8,395936",,
16/01/2005 0.00,"0,77947","10,925714","2,873331","6,519212","15,62881",
16/01/2005 1.00,,"10,825847","2,793916","6,541275",,
16/01/2005 2.00,"0,708415",,,,"10,25641",
16/01/2005 3.00,"0,565387","10,582015","2,774483","6,327127",,
16/01/2005 4.00,"0,669296","9,45235","2,605514","5,456253","12,21001",
16/01/2005 5.00,"0,58128","8,898543","2,493994","5,073383",,
16/01/2005 6.00,"0,62162","8,615803","2,487235","4,800829","20,51281",
16/01/2005 7.00,"0,550106","8,681948","2,509201","4,833276",,
16/01/2005 8.00,"0,753035","9,869977","2,598756","5,884552","11,72161",
16/01/2005 9.00,"0,694968","11,439316","2,664653","7,353745",,
16/01/2005 10.00,"1,008527","11,397812","2,670566","7,303127","13,67521",
16/01/2005 11.00,"1,297028","12,605296","2,646067","8,549084",,
16/01/2005 12.00,"1,82085","14,194089","2,90459","9,741827","18,07081",
16/01/2005 13.00,"1,918036","13,908756","2,967109","9,360253",,
16/01/2005 14.00,"2,785369","14,056611","3,082009","9,331701","17,582411",
16/01/2005 15.00,"2,873385","12,515805","3,022025","7,881979",,
16/01/2005 16.00,"2,739526","11,99053","3,046526","7,318702","21,48962",
16/01/2005 17.00,"2,09957","12,428908","3,06849","7,723636",,
16/01/2005 18.00,"1,631981","15,891829","3,311807","10,815166","33,699631",
16/01/2005 19.00,"1,708995","13,633797","3,072715","8,922871",,
16/01/2005 20.00,"1,804347","14,968384","3,040611","10,307695","34,67643",
16/01/2005 21.00,"1,891753","14,845171","3,041455","10,189591",,
16/01/2005 22.00,"1,659486","11,967185","2,886004","7,541935","27,35042",
16/01/2005 23.00,"1,555577","14,431437","2,981472","9,861231",,
17/01/2005 0.00,"1,613644","15,151257","2,820105","10,829439","22,46641",
17/01/2005 1.00,"1,661319","13,198014","2,715344","9,035785",,
17/01/2005 2.00,"1,731","12,991794","2,662118","8,911189","13,18681",
17/01/2005 3.00,"1,874027","13,594888","2,666343","9,508212",,
17/01/2005 4.00,"1,743836","10,841411","2,613117","6,834595","17,094",
17/01/2005 5.00,"1,416217","9,461431","2,670566","5,365405",,
17/01/2005 6.00,"1,459615","10,78175","2,816726","6,462106","20,51281",
