Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
10/04/2014 20.00,"4,8",,,"12,6"
10/04/2014 21.00,"5,5",,,"12,6"
10/04/2014 22.00,"5,7",,,"12,6"
10/04/2014 23.00,"6,0",,,"12,6"
11/04/2014 0.00,"5,7",,,"12,6"
11/04/2014 1.00,"6,3",,,"16,7"
11/04/2014 2.00,"5,9",,,"16,7"
11/04/2014 3.00,"6,0",,,"16,7"
11/04/2014 4.00,"5,9",,,"16,7"
11/04/2014 5.00,"6,3",,,"16,7"
11/04/2014 6.00,"5,7",,,"16,7"
11/04/2014 7.00,"5,7",,,"16,7"
11/04/2014 8.00,"6,0",,,"16,7"
11/04/2014 9.00,"5,9",,,"16,7"
11/04/2014 10.00,"5,7",,,"16,7"
11/04/2014 11.00,"5,9",,,"16,7"
11/04/2014 12.00,"4,7",,,"16,7"
11/04/2014 13.00,"3,4",,,"16,7"
11/04/2014 14.00,"1,9",,,"16,7"
11/04/2014 15.00,"1,7",,,"16,7"
11/04/2014 16.00,"1,5",,,"16,7"
11/04/2014 17.00,"1,3",,,"16,7"
11/04/2014 18.00,"1,7",,,"16,7"
11/04/2014 19.00,"1,5",,,"16,7"
11/04/2014 20.00,"1,7",,,"16,7"
11/04/2014 21.00,"1,6",,,"16,7"
11/04/2014 22.00,"1,1",,,"16,7"
11/04/2014 23.00,"1,5",,,"16,7"
12/04/2014 0.00,"1,8",,,"16,7"
12/04/2014 1.00,,,,"17,0"
12/04/2014 2.00,"1,6",,,"17,0"
12/04/2014 3.00,"2,5",,,"17,0"
12/04/2014 4.00,"2,0",,,"17,0"
12/04/2014 5.00,"1,9",,,"17,0"
12/04/2014 6.00,"1,6",,,"17,0"
12/04/2014 7.00,"1,6",,,"17,0"
12/04/2014 8.00,"1,5",,,"17,0"
12/04/2014 9.00,"1,3",,,"17,0"
12/04/2014 10.00,"2,1",,,"17,0"
12/04/2014 11.00,"2,2",,,"17,0"
12/04/2014 12.00,"2,9",,,"17,0"
12/04/2014 13.00,"2,3",,,"17,0"
12/04/2014 14.00,"1,3",,,"17,0"
12/04/2014 15.00,"1,0",,,"17,0"
12/04/2014 16.00,"0,8",,,"17,0"
12/04/2014 17.00,"0,8",,,"17,0"
12/04/2014 18.00,"0,5",,,"17,0"
12/04/2014 19.00,"0,6",,,"17,0"
12/04/2014 20.00,"1,0",,,"17,0"
12/04/2014 21.00,"0,8",,,"17,0"
12/04/2014 22.00,"0,7",,,"17,0"
12/04/2014 23.00,"0,4",,,"17,0"
13/04/2014 0.00,"0,2",,,"17,0"
13/04/2014 1.00,"0,5",,,"7,6"
13/04/2014 2.00,"0,5",,,"7,6"
13/04/2014 3.00,"0,3",,,"7,6"
13/04/2014 4.00,"0,3",,,"7,6"
13/04/2014 5.00,"0,4",,,"7,6"
13/04/2014 6.00,"0,6",,,"7,6"
13/04/2014 7.00,"0,2",,,"7,6"
13/04/2014 8.00,"0,2",,,"7,6"
13/04/2014 9.00,"0,1",,,"7,6"
13/04/2014 10.00,"0,3",,,"7,6"
13/04/2014 11.00,"0,4",,,"7,6"
13/04/2014 12.00,"0,5",,,"7,6"
13/04/2014 13.00,"0,4",,,"7,6"
13/04/2014 14.00,"0,2",,,"7,6"
13/04/2014 15.00,"0,4",,,"7,6"
13/04/2014 16.00,"0,2",,,"7,6"
13/04/2014 17.00,"0,1",,,"7,6"
13/04/2014 18.00,"0,2",,,"7,6"
13/04/2014 19.00,"0,1",,,"7,6"
13/04/2014 20.00,"0,3",,,"7,6"
13/04/2014 21.00,"0,3",,,"7,6"
13/04/2014 22.00,"0,3",,,"7,6"
13/04/2014 23.00,"0,3",,,"7,6"
14/04/2014 0.00,"0,3",,,"7,6"
14/04/2014 1.00,,,,"13,8"
14/04/2014 2.00,"0,2",,,"13,8"
14/04/2014 3.00,"0,3",,,"13,8"
14/04/2014 4.00,"0,4",,,"13,8"
14/04/2014 5.00,"0,2",,,"13,8"
14/04/2014 6.00,"0,3",,,"13,8"
14/04/2014 7.00,"0,4",,,"13,8"
14/04/2014 8.00,"0,5",,,"13,8"
14/04/2014 9.00,"0,2",,,"13,8"
14/04/2014 10.00,"0,1",,,"13,8"
14/04/2014 11.00,,,,"13,8"
14/04/2014 12.00,,,,"13,8"
14/04/2014 13.00,"0,1",,,"13,8"
14/04/2014 14.00,"0,1",,,"13,8"
14/04/2014 15.00,,,,"13,8"
14/04/2014 16.00,,,,"13,8"
14/04/2014 17.00,,,,"13,8"
14/04/2014 18.00,,,,"13,8"
14/04/2014 19.00,,,,"13,8"
14/04/2014 20.00,,,,"13,8"
14/04/2014 21.00,,,,"13,8"
14/04/2014 22.00,,,,"13,8"
14/04/2014 23.00,,,,"13,8"
15/04/2014 0.00,"0,1",,,"13,8"
15/04/2014 1.00,,,,"7,0"
15/04/2014 2.00,,,,"7,0"
15/04/2014 3.00,,,,"7,0"
15/04/2014 4.00,"0,1",,,"7,0"
15/04/2014 5.00,"0,1",,,"7,0"
15/04/2014 6.00,,,,"7,0"
15/04/2014 7.00,,,,"7,0"
15/04/2014 8.00,,,,"7,0"
15/04/2014 9.00,,,,"7,0"
15/04/2014 10.00,,,,"7,0"
15/04/2014 11.00,,,,"7,0"
15/04/2014 12.00,,,,"7,0"
15/04/2014 13.00,,,,"7,0"
15/04/2014 14.00,,,,"7,0"
15/04/2014 15.00,"0,1",,,"7,0"
15/04/2014 16.00,"0,2",,,"7,0"
15/04/2014 17.00,"0,3",,,"7,0"
15/04/2014 18.00,"0,3",,,"7,0"
15/04/2014 19.00,"0,6",,,"7,0"
15/04/2014 20.00,"0,6",,,"7,0"
15/04/2014 21.00,"0,4",,,"7,0"
15/04/2014 22.00,"0,5",,,"7,0"
15/04/2014 23.00,"0,5",,,"7,0"
16/04/2014 0.00,"0,6",,,"7,0"
16/04/2014 1.00,,,,"7,1"
16/04/2014 2.00,"0,7",,,"7,1"
16/04/2014 3.00,"1,0",,,"7,1"
16/04/2014 4.00,"0,8",,,"7,1"
16/04/2014 5.00,"0,6",,,"7,1"
16/04/2014 6.00,"0,4",,,"7,1"
16/04/2014 7.00,"0,6",,,"7,1"
16/04/2014 8.00,"0,7",,,"7,1"
16/04/2014 9.00,"0,5",,,"7,1"
16/04/2014 10.00,"0,6",,,"7,1"
16/04/2014 11.00,"0,7",,,"7,1"
16/04/2014 12.00,"0,3",,,"7,1"
16/04/2014 13.00,"0,5",,,"7,1"
16/04/2014 14.00,"0,8",,,"7,1"
16/04/2014 15.00,"0,4",,,"7,1"
16/04/2014 16.00,"0,4",,,"7,1"
16/04/2014 17.00,"0,3",,,"7,1"
16/04/2014 18.00,"0,6",,,"7,1"
16/04/2014 19.00,"0,6",,,"7,1"
16/04/2014 20.00,"0,7",,,"7,1"
16/04/2014 21.00,"1,0",,,"7,1"
16/04/2014 22.00,"0,8",,,"7,1"
16/04/2014 23.00,"1,1",,,"7,1"
17/04/2014 0.00,"1,4",,,"7,1"
17/04/2014 1.00,"0,8",,,"6,7"
17/04/2014 2.00,"0,9",,,"6,7"
17/04/2014 3.00,,,,"6,7"
17/04/2014 4.00,"1,2",,,"6,7"
17/04/2014 5.00,"1,1",,,"6,7"
17/04/2014 6.00,"1,2",,,"6,7"
17/04/2014 7.00,"1,0",,,"6,7"
17/04/2014 8.00,"0,8",,,"6,7"
17/04/2014 9.00,"1,2",,,"6,7"
17/04/2014 10.00,"2,0",,,"6,7"
17/04/2014 11.00,"1,3",,,"6,7"
17/04/2014 12.00,"1,7",,,"6,7"
17/04/2014 13.00,"2,3",,,"6,7"
17/04/2014 14.00,"1,7",,,"6,7"
17/04/2014 15.00,"1,7",,,"6,7"
17/04/2014 16.00,"2,0",,,"6,7"
17/04/2014 17.00,"1,6",,,"6,7"
17/04/2014 18.00,"1,4",,,"6,7"
17/04/2014 19.00,"1,1",,,"6,7"
17/04/2014 20.00,"0,5",,,"6,7"
17/04/2014 21.00,"1,0",,,"6,7"
17/04/2014 22.00,"0,9",,,"6,7"
17/04/2014 23.00,"1,2",,,"6,7"
18/04/2014 0.00,"1,3",,,"6,7"
18/04/2014 1.00,,,,"10,7"
18/04/2014 2.00,"1,2",,,"10,7"
18/04/2014 3.00,"1,5",,,"10,7"
18/04/2014 4.00,"1,2",,,"10,7"
18/04/2014 5.00,"1,2",,,"10,7"
18/04/2014 6.00,"1,9",,,"10,7"
18/04/2014 7.00,"2,0",,,"10,7"
18/04/2014 8.00,"1,9",,,"10,7"
18/04/2014 9.00,"2,1",,,"10,7"
18/04/2014 10.00,"4,0",,,"10,7"
18/04/2014 11.00,"5,3",,,"10,7"
18/04/2014 12.00,"4,0",,,"10,7"
18/04/2014 13.00,"3,2",,,"10,7"
18/04/2014 14.00,"1,6",,,"10,7"
18/04/2014 15.00,"1,5",,,"10,7"
18/04/2014 16.00,"1,1",,,"10,7"
18/04/2014 17.00,"1,4",,,"10,7"
18/04/2014 18.00,"1,3",,,"10,7"
18/04/2014 19.00,"1,5",,,"10,7"
18/04/2014 20.00,"1,2",,,"10,7"
18/04/2014 21.00,"1,4",,,"10,7"
18/04/2014 22.00,"1,4",,,"10,7"
18/04/2014 23.00,"1,1",,,"10,7"
19/04/2014 0.00,"0,9",,,"10,7"
19/04/2014 1.00,"1,1",,,"14,2"
19/04/2014 2.00,"1,0",,,"14,2"
19/04/2014 3.00,"0,7",,,"14,2"
19/04/2014 4.00,"0,5",,,"14,2"
19/04/2014 5.00,"0,6",,,"14,2"
19/04/2014 6.00,"0,7",,,"14,2"
19/04/2014 7.00,"0,4",,,"14,2"
19/04/2014 8.00,"0,3",,,"14,2"
19/04/2014 9.00,"0,4",,,"14,2"
19/04/2014 10.00,"1,1",,,"14,2"
19/04/2014 11.00,"2,1",,,"14,2"
19/04/2014 12.00,"1,6",,,"14,2"
19/04/2014 13.00,"0,6",,,"14,2"
19/04/2014 14.00,"0,3",,,"14,2"
19/04/2014 15.00,"0,4",,,"14,2"
19/04/2014 16.00,"0,3",,,"14,2"
19/04/2014 17.00,"0,4",,,"14,2"
19/04/2014 18.00,"0,2",,,"14,2"
19/04/2014 19.00,"0,3",,,"14,2"
19/04/2014 20.00,"0,6",,,"14,2"
19/04/2014 21.00,"0,4",,,"14,2"
19/04/2014 22.00,"0,7",,,"14,2"
19/04/2014 23.00,"0,5",,,"14,2"
20/04/2014 0.00,"0,3",,,"14,2"
20/04/2014 1.00,,,,"22,7"
20/04/2014 2.00,"0,6",,,"22,7"
20/04/2014 3.00,"0,3",,,"22,7"
20/04/2014 4.00,"0,4",,,"22,7"
20/04/2014 5.00,"0,5",,,"22,7"
20/04/2014 6.00,"0,5",,,"22,7"
20/04/2014 7.00,"0,4",,,"22,7"
20/04/2014 8.00,"0,1",,,"22,7"
20/04/2014 9.00,"0,2",,,"22,7"
20/04/2014 10.00,"0,1",,,"22,7"
20/04/2014 11.00,"0,1",,,"22,7"
20/04/2014 12.00,"0,1",,,"22,7"
20/04/2014 13.00,"0,1",,,"22,7"
20/04/2014 14.00,"0,1",,,"22,7"
20/04/2014 15.00,,,,"22,7"
20/04/2014 16.00,"0,1",,,"22,7"
20/04/2014 17.00,"0,1",,,"22,7"
20/04/2014 18.00,,,,"22,7"
20/04/2014 19.00,"0,1",,,"22,7"
20/04/2014 20.00,"0,1",,,"22,7"
20/04/2014 21.00,,,,"22,7"
20/04/2014 22.00,"0,2",,,"22,7"
20/04/2014 23.00,"0,1",,,"22,7"
21/04/2014 0.00,"0,1",,,"22,7"
21/04/2014 1.00,,,,"30,0"
21/04/2014 2.00,"0,2",,,"30,0"
21/04/2014 3.00,"0,1",,,"30,0"
21/04/2014 4.00,"0,1",,,"30,0"
21/04/2014 5.00,"0,2",,,"30,0"
21/04/2014 6.00,"0,2",,,"30,0"
21/04/2014 7.00,"0,1",,,"30,0"
21/04/2014 8.00,,,,"30,0"
21/04/2014 9.00,,,,"30,0"
21/04/2014 10.00,,,,"30,0"
21/04/2014 11.00,,,,"30,0"
21/04/2014 12.00,,,,"30,0"
21/04/2014 13.00,,,,"30,0"
21/04/2014 14.00,,,,"30,0"
21/04/2014 15.00,,,,"30,0"
21/04/2014 16.00,,,,"30,0"
21/04/2014 17.00,,,,"30,0"
21/04/2014 18.00,,,,"30,0"
21/04/2014 19.00,,,,"30,0"
21/04/2014 20.00,,,,"30,0"
21/04/2014 21.00,,,,"30,0"
21/04/2014 22.00,,,,"30,0"
21/04/2014 23.00,,,,"30,0"
22/04/2014 0.00,,,,"30,0"
22/04/2014 1.00,,,,"31,4"
22/04/2014 2.00,,,,"31,4"
22/04/2014 3.00,,,,"31,4"
22/04/2014 4.00,,,,"31,4"
22/04/2014 5.00,,,,"31,4"
22/04/2014 6.00,,,,"31,4"
22/04/2014 7.00,,,,"31,4"
22/04/2014 8.00,,,,"31,4"
22/04/2014 9.00,,,,"31,4"
22/04/2014 10.00,,,,"31,4"
22/04/2014 11.00,,,,"31,4"
22/04/2014 12.00,,,,"31,4"
22/04/2014 13.00,,,,"31,4"
22/04/2014 14.00,,,,"31,4"
22/04/2014 15.00,,,,"31,4"
22/04/2014 16.00,,,,"31,4"
22/04/2014 17.00,,,,"31,4"
22/04/2014 18.00,,,,"31,4"
22/04/2014 19.00,,,,"31,4"
22/04/2014 20.00,,,,"31,4"
22/04/2014 21.00,,,,"31,4"
22/04/2014 22.00,,,,"31,4"
22/04/2014 23.00,,,,"31,4"
23/04/2014 0.00,,,,"31,4"
23/04/2014 1.00,,,,"24,8"
23/04/2014 2.00,,,,"24,8"
23/04/2014 3.00,,,,"24,8"
23/04/2014 4.00,,,,"24,8"
23/04/2014 5.00,,,,"24,8"
23/04/2014 6.00,,,,"24,8"
23/04/2014 7.00,,,,"24,8"
23/04/2014 8.00,,,,"24,8"
23/04/2014 9.00,,,,"24,8"
23/04/2014 10.00,"0,9","8,5","11,7","24,8"
23/04/2014 11.00,"0,6","8,9","12,7","24,8"
23/04/2014 12.00,"0,6","7,1","10,7","24,8"
23/04/2014 13.00,"1,1","8,6","11,9","24,8"
23/04/2014 14.00,"1,4","6,9","9,4","24,8"
23/04/2014 15.00,"0,9","5,6","8,8","24,8"
23/04/2014 16.00,"0,7","5,1","8,8","24,8"
23/04/2014 17.00,"1,0","5,4","9,3","24,8"
23/04/2014 18.00,"0,9","6,0","9,4","24,8"
23/04/2014 19.00,"1,1","5,6","8,8","24,8"
23/04/2014 20.00,"0,6","5,9","8,8","24,8"
23/04/2014 21.00,"1,0","5,0","7,8","24,8"
23/04/2014 22.00,"1,0","4,5","7,6","24,8"
23/04/2014 23.00,"1,2","4,3","7,5","24,8"
24/04/2014 0.00,"1,5","4,6","8,2","24,8"
24/04/2014 1.00,,"4,8","8,8","15,4"
24/04/2014 2.00,"1,6",,,"15,4"
24/04/2014 3.00,"1,5","3,7","7,5","15,4"
24/04/2014 4.00,"1,1","4,0","7,8","15,4"
24/04/2014 5.00,"1,2","4,6","8,4","15,4"
24/04/2014 6.00,"1,1","6,4","10,3","15,4"
24/04/2014 7.00,"1,6","6,7","11,0","15,4"
24/04/2014 8.00,"1,0","6,0","10,3","15,4"
24/04/2014 9.00,"1,3","7,1","11,3","15,4"
24/04/2014 10.00,"1,4","8,5","12,2","15,4"
24/04/2014 11.00,"1,6","10,4","14,2","15,4"
24/04/2014 12.00,"1,7","11,0","14,6","15,4"
24/04/2014 13.00,"2,1","9,6","12,7","15,4"
24/04/2014 14.00,"1,9","7,9","10,3","15,4"
24/04/2014 15.00,"2,1","8,7","11,2","15,4"
24/04/2014 16.00,"1,7","8,7","11,4","15,4"
24/04/2014 17.00,"1,9","8,1","11,0","15,4"
24/04/2014 18.00,"1,8","8,3","11,3","15,4"
24/04/2014 19.00,"1,4","9,3","12,9","15,4"
24/04/2014 20.00,"1,7","15,5","19,1","15,4"
24/04/2014 21.00,"2,0","15,3","18,0","15,4"
24/04/2014 22.00,"1,8","16,7","19,3","15,4"
24/04/2014 23.00,"2,3","14,3","17,2","15,4"
25/04/2014 0.00,"2,6","10,1","13,1","15,4"
25/04/2014 1.00,"2,6","10,0","13,3","13,9"
25/04/2014 2.00,"2,0","6,5","9,9","13,9"
25/04/2014 3.00,"2,4","5,5","9,4","13,9"
25/04/2014 4.00,"2,0","5,2","9,3","13,9"
25/04/2014 5.00,"2,4","7,5","11,6","13,9"
25/04/2014 6.00,"2,0","8,6","13,1","13,9"
25/04/2014 7.00,"2,4","9,4","14,1","13,9"
25/04/2014 8.00,"2,2","8,0","12,3","13,9"
25/04/2014 9.00,"1,6","7,0","11,1","13,9"
25/04/2014 10.00,"0,8","7,1","10,8","13,9"
25/04/2014 11.00,"1,1","8,5","11,6","13,9"
25/04/2014 12.00,"1,5","7,5","9,9","13,9"
25/04/2014 13.00,"0,9","7,2","9,4","13,9"
25/04/2014 14.00,"1,1","4,4","6,8","13,9"
25/04/2014 15.00,"0,7","4,2","6,8","13,9"
25/04/2014 16.00,"0,9","4,5","6,6","13,9"
25/04/2014 17.00,"1,0","5,2","7,4","13,9"
25/04/2014 18.00,"1,0","9,0","11,6","13,9"
25/04/2014 19.00,"1,2","9,8","12,7","13,9"
25/04/2014 20.00,"1,0","11,8","14,5","13,9"
25/04/2014 21.00,"1,3","19,4","22,2","13,9"
25/04/2014 22.00,"0,9","16,3","19,2","13,9"
25/04/2014 23.00,"1,1","16,3","19,8","13,9"
26/04/2014 0.00,"1,0","13,9","17,4","13,9"
26/04/2014 1.00,,"10,4","14,3","15,3"
26/04/2014 2.00,"1,0",,,"15,3"
26/04/2014 3.00,"1,0","9,6","13,4","15,3"
26/04/2014 4.00,"0,9","8,3","12,3","15,3"
26/04/2014 5.00,"0,8","7,2","11,0","15,3"
26/04/2014 6.00,"1,1","9,7","13,6","15,3"
26/04/2014 7.00,"1,2","12,2","16,9","15,3"
26/04/2014 8.00,"1,4","10,6","15,5","15,3"
26/04/2014 9.00,"1,5","9,5","13,9","15,3"
26/04/2014 10.00,"1,3","9,0","12,5","15,3"
26/04/2014 11.00,"2,0","9,7","12,4","15,3"
26/04/2014 12.00,"1,8","9,5","13,0","15,3"
26/04/2014 13.00,"1,5","5,7","8,9","15,3"
26/04/2014 14.00,"1,1","7,0","10,3","15,3"
26/04/2014 15.00,"1,1","7,7","10,7","15,3"
26/04/2014 16.00,"1,1","5,2","8,0","15,3"
26/04/2014 17.00,"1,2","7,5","10,4","15,3"
26/04/2014 18.00,"1,4","9,5","12,5","15,3"
26/04/2014 19.00,"1,3","9,4","13,0","15,3"
26/04/2014 20.00,"1,2","16,1","19,9","15,3"
26/04/2014 21.00,"1,1","17,8","21,8","15,3"
26/04/2014 22.00,"1,3","26,8","30,9","15,3"
26/04/2014 23.00,"1,2","23,0","28,1","15,3"
27/04/2014 0.00,"1,5","24,5","31,1","15,3"
27/04/2014 1.00,"1,9","19,4","25,2","18,0"
27/04/2014 2.00,"1,9","20,4","26,9","18,0"
27/04/2014 3.00,"1,7","13,4","19,0","18,0"
27/04/2014 4.00,"1,3","8,1","13,1","18,0"
27/04/2014 5.00,"1,7","9,0","14,3","18,0"
27/04/2014 6.00,"1,3","11,8","17,7","18,0"
27/04/2014 7.00,"1,5","13,3","22,6","18,0"
27/04/2014 8.00,"1,5","12,3","19,2","18,0"
27/04/2014 9.00,"1,1","7,4","12,1","18,0"
27/04/2014 10.00,"0,9","6,5","10,8","18,0"
27/04/2014 11.00,"0,6","4,8","8,1","18,0"
27/04/2014 12.00,"0,6","4,5","7,0","18,0"
27/04/2014 13.00,"0,7","4,8","8,3","18,0"
27/04/2014 14.00,"0,7","3,5","8,0","18,0"
27/04/2014 15.00,"0,6","3,6","8,3","18,0"
27/04/2014 16.00,"0,6","3,6","7,2","18,0"
27/04/2014 17.00,"0,6","4,1","6,3","18,0"
27/04/2014 18.00,"1,1","5,3","7,3","18,0"
27/04/2014 19.00,"1,2","6,0","8,0","18,0"
27/04/2014 20.00,"1,4","8,1","10,4","18,0"
27/04/2014 21.00,"1,3","7,2","9,6","18,0"
27/04/2014 22.00,"1,4","5,9","8,2","18,0"
27/04/2014 23.00,"0,9","6,3","8,9","18,0"
28/04/2014 0.00,"1,0","5,1","8,3","18,0"
28/04/2014 1.00,,"4,3","7,9","8,0"
28/04/2014 2.00,"2,0",,,"8,0"
28/04/2014 3.00,"1,8","5,9","10,7","8,0"
28/04/2014 4.00,"1,4","4,6","9,1","8,0"
28/04/2014 5.00,"1,9","7,2","11,5","8,0"
28/04/2014 6.00,"1,7","7,1","11,3","8,0"
28/04/2014 7.00,"1,7","19,6","24,9","8,0"
28/04/2014 8.00,"1,7","17,2","23,5","8,0"
28/04/2014 9.00,"1,6","13,7","19,1","8,0"
28/04/2014 10.00,"1,5","8,3","12,2","8,0"
28/04/2014 11.00,"1,4","7,3","11,0","8,0"
28/04/2014 12.00,"1,5","8,4","11,1","8,0"
28/04/2014 13.00,"1,2","8,6","10,9","8,0"
28/04/2014 14.00,"1,1","7,3","9,4","8,0"
28/04/2014 15.00,"1,2","7,0","9,4","8,0"
28/04/2014 16.00,"0,9","8,8","12,2","8,0"
28/04/2014 17.00,"1,4","9,3","12,5","8,0"
28/04/2014 18.00,"2,1","10,5","13,8","8,0"
28/04/2014 19.00,"1,8","10,9","14,1","8,0"
28/04/2014 20.00,"1,2","22,8","25,9","8,0"
28/04/2014 21.00,"1,2","21,7","24,6","8,0"
28/04/2014 22.00,"1,5","13,4","16,6","8,0"
28/04/2014 23.00,"1,8","8,8","11,7","8,0"
29/04/2014 0.00,"1,4","5,8","9,1","8,0"
29/04/2014 1.00,"1,4","10,2","13,7","10,0"
29/04/2014 2.00,"1,4","10,1","13,9","10,0"
29/04/2014 3.00,"1,5","4,6","8,9","10,0"
29/04/2014 4.00,"1,3","3,1","7,4","10,0"
29/04/2014 5.00,"1,3","4,6","8,8","10,0"
29/04/2014 6.00,"1,4","6,7","11,2","10,0"
29/04/2014 7.00,"1,7","9,7","14,7","10,0"
29/04/2014 8.00,"2,2","18,7","24,3","10,0"
29/04/2014 9.00,"2,1","12,9","17,7","10,0"
29/04/2014 10.00,"1,5","8,7","12,1","10,0"
29/04/2014 11.00,"1,6","6,7","9,5","10,0"
29/04/2014 12.00,"2,0","7,1","9,3","10,0"
29/04/2014 13.00,"2,0","6,0","7,3","10,0"
29/04/2014 14.00,"2,0","7,7","8,7","10,0"
29/04/2014 15.00,"3,2","7,0","10,0","10,0"
29/04/2014 16.00,"2,3","8,1","16,1","10,0"
29/04/2014 17.00,"2,6","11,4","15,8","10,0"
29/04/2014 18.00,"2,2","12,3","16,3","10,0"
29/04/2014 19.00,"2,2","10,2","13,6","10,0"
29/04/2014 20.00,"2,8","13,7","17,3","10,0"
29/04/2014 21.00,"2,5","17,2","20,6","10,0"
29/04/2014 22.00,"2,6","13,3","16,6","10,0"
29/04/2014 23.00,"2,4","12,1","15,7","10,0"
30/04/2014 0.00,"2,2","11,2","15,6","10,0"
30/04/2014 1.00,,"7,0","11,4","9,3"
30/04/2014 2.00,"2,0",,,"9,3"
30/04/2014 3.00,"2,7","5,4","10,3","9,3"
30/04/2014 4.00,"2,3","5,2","10,2","9,3"
30/04/2014 5.00,"2,6","7,8","13,1","9,3"
30/04/2014 6.00,"3,9","11,7","17,0","9,3"
30/04/2014 7.00,"2,5","15,9","22,7","9,3"
30/04/2014 8.00,"2,0","13,9","20,2","9,3"
30/04/2014 9.00,"1,8","8,4","13,5","9,3"
30/04/2014 10.00,"1,6","5,8","9,9","9,3"
30/04/2014 11.00,"1,8","6,4","9,9","9,3"
30/04/2014 12.00,"1,6","6,0","8,5","9,3"
30/04/2014 13.00,"1,7","6,5","7,9","9,3"
30/04/2014 14.00,"1,9","7,4","10,0","9,3"
30/04/2014 15.00,"1,9","9,9","12,6","9,3"
30/04/2014 16.00,"1,8","9,1","11,6","9,3"
30/04/2014 17.00,"1,9","8,8","11,2","9,3"
30/04/2014 18.00,"1,7","9,4","11,9","9,3"
30/04/2014 19.00,"1,8","10,8","13,2","9,3"
30/04/2014 20.00,"1,6","14,8","17,0","9,3"
30/04/2014 21.00,"1,7","12,5","15,0","9,3"
30/04/2014 22.00,"1,8","8,7","11,4","9,3"
30/04/2014 23.00,"1,5","8,5","11,5","9,3"
01/05/2014 0.00,"1,4","7,5","10,7","9,3"
01/05/2014 1.00,"1,6","6,3","9,5","9,4"
01/05/2014 2.00,"1,6","6,1","9,7","9,4"
01/05/2014 3.00,"1,6","4,8","8,6","9,4"
01/05/2014 4.00,"2,3","6,1","10,1","9,4"
01/05/2014 5.00,"2,4","7,1","11,5","9,4"
01/05/2014 6.00,"2,4","8,0","13,0","9,4"
01/05/2014 7.00,"3,4","8,5","13,5","9,4"
01/05/2014 8.00,"3,1","8,4","13,4","9,4"
01/05/2014 9.00,"2,5","12,3","17,7","9,4"
01/05/2014 10.00,"2,3","14,6","20,2","9,4"
01/05/2014 11.00,"2,0","9,4","13,7","9,4"
01/05/2014 12.00,"1,8","8,4","11,9","9,4"
01/05/2014 13.00,"1,4","6,2","9,0","9,4"
01/05/2014 14.00,"1,3","5,3","7,7","9,4"
01/05/2014 15.00,"1,3","4,5","7,0","9,4"
01/05/2014 16.00,"1,0","3,5","5,7","9,4"
01/05/2014 17.00,"1,2","4,1","6,6","9,4"
01/05/2014 18.00,"1,1","6,5","9,5","9,4"
01/05/2014 19.00,"1,5","8,1","10,9","9,4"
01/05/2014 20.00,"1,7","15,8","18,8","9,4"
01/05/2014 21.00,"2,5","22,3","25,5","9,4"
01/05/2014 22.00,"2,2","19,6","23,0","9,4"
01/05/2014 23.00,"2,5","28,4","33,9","9,4"
02/05/2014 0.00,"2,7","30,6","36,1","9,4"
02/05/2014 1.00,,"20,7","25,8","11,0"
02/05/2014 2.00,"2,4",,,"11,0"
02/05/2014 3.00,"2,9","10,1","15,6","11,0"
02/05/2014 4.00,"3,4","9,6","15,3","11,0"
02/05/2014 5.00,"2,9","14,1","20,4","11,0"
02/05/2014 6.00,"2,6","16,1","23,0","11,0"
02/05/2014 7.00,"2,5","33,5","51,8","11,0"
02/05/2014 8.00,"2,0","25,4","35,2","11,0"
02/05/2014 9.00,"1,8","15,2","20,3","11,0"
02/05/2014 10.00,"2,0","9,9","13,8","11,0"
02/05/2014 11.00,"1,8","7,4","10,7","11,0"
02/05/2014 12.00,"2,2","5,2","7,9","11,0"
02/05/2014 13.00,"1,8","7,2","9,6","11,0"
02/05/2014 14.00,"2,1","6,2","8,1","11,0"
02/05/2014 15.00,"1,9","6,3","8,3","11,0"
02/05/2014 16.00,"1,6","6,1","8,3","11,0"
02/05/2014 17.00,"1,8","5,5","7,8","11,0"
02/05/2014 18.00,"1,8","6,6","8,8","11,0"
02/05/2014 19.00,"1,5","8,2","10,4","11,0"
02/05/2014 20.00,"1,5","13,0","15,2","11,0"
02/05/2014 21.00,"1,6","13,7","16,2","11,0"
02/05/2014 22.00,"2,0","10,6","13,3","11,0"
02/05/2014 23.00,"2,3","7,9","11,0","11,0"
03/05/2014 0.00,"1,9","5,4","8,7","11,0"
03/05/2014 1.00,"2,4","4,7","8,4","11,0"
03/05/2014 2.00,"2,6","4,9","9,4","11,0"
03/05/2014 3.00,"2,8","4,6","9,3","11,0"
03/05/2014 4.00,"2,4","4,2","9,0","11,0"
03/05/2014 5.00,"2,2","5,2","9,8","11,0"
03/05/2014 6.00,"2,9","7,9","12,7","11,0"
03/05/2014 7.00,"2,5","9,0","14,1","11,0"
03/05/2014 8.00,"2,2","12,7","18,0","11,0"
03/05/2014 9.00,"2,5","10,8","15,7","11,0"
