Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
05/01/2014 11.00,"1,7","9,5","16,7","22,5"
05/01/2014 12.00,"1,8","10,1","17,6","22,5"
05/01/2014 13.00,"1,8","11,0","18,1","22,5"
05/01/2014 14.00,"1,8","11,9","19,7","22,5"
05/01/2014 15.00,"2,3","9,4","16,9","22,5"
05/01/2014 16.00,"2,5","10,1","17,5","22,5"
05/01/2014 17.00,"2,6","10,3","17,5","22,5"
05/01/2014 18.00,"2,3","10,8","18,8","22,5"
05/01/2014 19.00,"2,0","15,2","22,8","22,5"
05/01/2014 20.00,"2,0","24,0","31,3","22,5"
05/01/2014 21.00,"2,3","27,4","35,6","22,5"
05/01/2014 22.00,"2,2","28,0","36,5","22,5"
05/01/2014 23.00,"2,8","18,9","26,8","22,5"
06/01/2014 0.00,"2,5","12,6","21,2","22,5"
06/01/2014 1.00,,"20,4","31,3","14,1"
06/01/2014 2.00,"2,1",,,"14,1"
06/01/2014 3.00,"2,7","11,8","21,6","14,1"
06/01/2014 4.00,"2,9","9,0","18,0","14,1"
06/01/2014 5.00,"2,9","14,0","23,5","14,1"
06/01/2014 6.00,"2,5","9,2","18,8","14,1"
06/01/2014 7.00,"2,8","12,8","22,7","14,1"
06/01/2014 8.00,"2,5","16,3","26,2","14,1"
06/01/2014 9.00,"2,6","21,4","32,8","14,1"
06/01/2014 10.00,"2,6","23,1","36,2","14,1"
06/01/2014 11.00,"2,8","17,9","28,5","14,1"
06/01/2014 12.00,"3,1","10,0","18,4","14,1"
06/01/2014 13.00,"2,2","7,0","13,5","14,1"
06/01/2014 14.00,"2,2","9,2","14,9","14,1"
06/01/2014 15.00,"1,9","7,6","14,0","14,1"
06/01/2014 16.00,"2,0","7,1","14,5","14,1"
06/01/2014 17.00,"2,2","10,9","19,0","14,1"
06/01/2014 18.00,"1,9","20,0","28,6","14,1"
06/01/2014 19.00,"2,2","23,1","32,0","14,1"
06/01/2014 20.00,"1,7","28,2","37,4","14,1"
06/01/2014 21.00,"1,9","29,0","38,2","14,1"
06/01/2014 22.00,"2,8","32,8","45,3","14,1"
06/01/2014 23.00,"2,6","18,6","27,7","14,1"
07/01/2014 0.00,"2,2","18,5","27,5","14,1"
07/01/2014 1.00,"2,8","14,7","24,1","19,8"
07/01/2014 2.00,"3,0","8,2","17,4","19,8"
07/01/2014 3.00,"2,8","7,8","17,0","19,8"
07/01/2014 4.00,"2,6","8,6","17,8","19,8"
07/01/2014 5.00,"3,2","7,7","17,0","19,8"
07/01/2014 6.00,"2,7","8,6","18,1","19,8"
07/01/2014 7.00,"3,0","12,8","23,1","19,8"
07/01/2014 8.00,"3,1","20,4","31,5","19,8"
07/01/2014 9.00,"3,2","21,4","35,1","19,8"
07/01/2014 10.00,"3,1","19,0","32,0","19,8"
07/01/2014 11.00,"3,0","12,1","23,3","19,8"
07/01/2014 12.00,"3,3","9,3","19,5","19,8"
07/01/2014 13.00,"2,5","10,4","19,1","19,8"
07/01/2014 14.00,"2,3","10,5","16,2","19,8"
07/01/2014 15.00,"1,9","9,2","13,0","19,8"
07/01/2014 16.00,"2,0","11,3","16,8","19,8"
07/01/2014 17.00,"2,8","15,3","21,8","19,8"
07/01/2014 18.00,"2,6","23,5","30,5","19,8"
07/01/2014 19.00,"2,4","45,1","54,0","19,8"
07/01/2014 20.00,"2,6","40,9","50,3","19,8"
07/01/2014 21.00,"3,1","41,2","51,4","19,8"
07/01/2014 22.00,"3,1","38,0","48,0","19,8"
07/01/2014 23.00,"3,2","28,9","37,1","19,8"
08/01/2014 0.00,"3,1","19,9","26,5","19,8"
08/01/2014 1.00,,"17,7","25,4","16,8"
08/01/2014 2.00,"2,7",,,"16,8"
08/01/2014 3.00,"3,4","11,8","19,6","16,8"
08/01/2014 4.00,"3,0","10,2","18,3","16,8"
08/01/2014 5.00,"3,0","9,1","16,8","16,8"
08/01/2014 6.00,"3,2","8,9","17,1","16,8"
08/01/2014 7.00,"3,9","16,5","27,1","16,8"
08/01/2014 8.00,"3,3","29,5","42,3","16,8"
08/01/2014 9.00,"3,7","32,2","50,7","16,8"
08/01/2014 10.00,"3,7","20,7","33,1","16,8"
08/01/2014 11.00,"3,5","12,2","21,8","16,8"
08/01/2014 12.00,"3,4","10,6","19,0","16,8"
