,Comune Bari,,,,
,Rione Japigia,,,,
Parm,SO2,NO2,CO,PM10,BENZENE
,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
04/01/2009 17.00,"4,88902715","13,03063563","0,34860528","1,53479898",
04/01/2009 18.00,"4,98113684","16,39990467","0,38518745","1,53425598",
04/01/2009 19.00,"4,87457863","21,7640092","0,44528747","1,53588402",
04/01/2009 20.00,"5,36944168","23,32014776","0,45538336","1,53154302",
04/01/2009 21.00,"5,4019511","23,242272","0,41347132","1,53520596",
04/01/2009 22.00,"4,47905004","20,33503776","0,41521183","1,53941095",
04/01/2009 23.00,"3,29246326","16,27012385","0,37573347","1,53452694",
05/01/2009 0.00,"3,54350666","13,58871402","0,36033916","1,53805494",
05/01/2009 1.00,"2,17631288","15,7574612","0,35798237",,
05/01/2009 2.00,,"12,63608105","0,35205485",,
05/01/2009 3.00,"3,04503123",,"0,32360904",,
05/01/2009 4.00,"5,21592553","27,93539072","0,35094227",,
05/01/2009 5.00,"4,59102581","19,88338512","0,32908105",,
05/01/2009 6.00,"4,29483066","17,68480118",,"4,1132822",
05/01/2009 7.00,"5,08227647","26,4298628","0,37770116","4,11016178",
05/01/2009 8.00,"5,0064215","42,0860836","0,41838995","4,10961914",
05/01/2009 9.00,"5,77761361","42,67662392","0,66896164","4,1116538",
05/01/2009 10.00,"4,69758402","34,79593352","0,61593201","4,10839796",
05/01/2009 11.00,"5,70537","37,65125696","0,67827582","4,104599",
05/01/2009 12.00,"5,29719908","38,99455168","0,66803314","4,10446405",
05/01/2009 13.00,"5,48322364","25,9522452","0,42425572","4,1047349",
05/01/2009 14.00,"5,72162471","24,59466784","0,40488177","4,10622692","2,08375978"
05/01/2009 15.00,"4,66868698","19,69000544","0,36312934","4,10446405","2,12380008"
05/01/2009 16.00,"5,18341611","18,49337259","0,36066536","4,10568523","1,94823537"
05/01/2009 17.00,"4,87457863","28,651798","0,46334147","4,10677004","1,46952534"
05/01/2009 18.00,"4,91792419","43,69415208","0,94082721","4,10704088","2,18945455"
05/01/2009 19.00,"5,40736866","58,2510876","0,96857867","4,10717678","3,26667417"
05/01/2009 20.00,"4,97391207","64,01364528","0,91141445","4,10568523","3,23635944"
05/01/2009 21.00,"4,71564492","51,50993008","0,81216111","4,10527802","3,40722357"
05/01/2009 22.00,"5,23218024","46,77658288","0,67464218","4,10568523","2,66654349"
05/01/2009 23.00,"5,57352714","39,3735292","0,61670557","4,10514212","2,17664849"
06/01/2009 0.00,"3,64464629","29,49282944","0,54071844","4,10446405","2,02929027"
06/01/2009 1.00,"4,00947165","26,17157072","0,44051796",,"1,65027776"
06/01/2009 2.00,,"21,56932936","0,38020358",,"1,57165451"
06/01/2009 3.00,"4,44834681",,"0,36541041",,"1,20852856"
06/01/2009 4.00,"4,48988618","31,45521064","0,34633586",,"0,77877589"
06/01/2009 5.00,"4,43931585","19,51478976","0,30797591",,
06/01/2009 6.00,"4,93598509","17,98721074",,"13,36168003",
06/01/2009 7.00,"5,1147859","22,97103568","0,27330085","13,36480045","0,58910742"
06/01/2009 8.00,"5,40375628","29,07622376","0,32195474","13,36425972","0,70307041"
06/01/2009 9.00,"5,40736866","31,63042632","0,42192922","13,36250019","2,07743709"
06/01/2009 10.00,"5,18702849","25,63296032","0,40173977","13,36398983","2,50670363"
06/01/2009 11.00,"4,56574116","24,81659368","0,42839963","13,36277008","2,58386851"
06/01/2009 12.00,"4,87638482","27,84453248","1,08309235","13,36398983","3,58732715"
06/01/2009 13.00,"2,60976845","20,1014296","0,32427542","13,36480045","2,55501215"
06/01/2009 14.00,"5,15451907","22,03266432","0,43448442","13,36289978","1,81644031"
06/01/2009 15.00,"4,8637425","14,02869581","0,16911723","13,36452961","1,48719571"
06/01/2009 16.00,"4,35804332","13,54977614","0,18885","13,36561966",
06/01/2009 17.00,"4,78788752","21,22928016","0,19232869","13,36289978","0,62347388"
06/01/2009 18.00,"5,19967082","41,6577956","0,43089739","13,36303997","1,24322046"
06/01/2009 19.00,"5,78303117","57,41135632","0,79626352","13,36534977","3,11266986"
06/01/2009 20.00,"6,57047698","53,85000776","1,21922493","13,36371994","3,95483027"
06/01/2009 21.00,"5,17980474","51,75912104","0,82749251","13,36303997","4,24565566"
06/01/2009 22.00,"3,09198917","48,11989672","0,72528823","13,36289978","2,87955617"
06/01/2009 23.00,"5,19605843","43,24898112","0,58641207","13,36114025","2,86480459"
07/01/2009 0.00,"5,25565972","40,09385608","0,6025613","13,35883045","2,01486311"
07/01/2009 1.00,"3,38999051","35,3176992","0,45800694",,"2,19496669"
07/01/2009 2.00,,"21,58231184","0,40229664",,"2,14098433"
07/01/2009 3.00,"4,83303927",,"0,33920024",,"1,30093115"
07/01/2009 4.00,"5,10936732","37,02698896","0,39216463",,"1,40776191"
07/01/2009 5.00,"5,87333467","33,94453904","0,30118629",,"0,59234962"
07/01/2009 6.00,"5,19244707","36,36507368",,"14,44118023","0,62233993"
07/01/2009 7.00,"4,88541477","33,74207736","0,47611104","14,44227028","0,72057806"
07/01/2009 8.00,"4,735511","35,73430488","0,46587535","14,43955994","1,35621018"
07/01/2009 9.00,"4,44473443","44,52348208","0,62298725","14,43752003","1,5218866"
07/01/2009 10.00,"5,420012","39,5422632","0,67051342","14,44307995","2,16011309"
07/01/2009 11.00,"5,61867889","39,25022432","0,65080978","14,44538975","2,11877509"
07/01/2009 12.00,"3,4116638","20,58422872","0,45917776","14,44919014","2,80595894"
07/01/2009 13.00,"5,24121018","14,38560694","0,39458201","14,43887997","2,26191784"
07/01/2009 14.00,"4,96668832","21,21629768","0,31906904","14,44132042","2,25737897"
07/01/2009 15.00,"4,17924251","16,43235514","0,29264218","14,43562031","2,20907045"
07/01/2009 16.00,"4,71383873","18,52582114","0,28703037","14,43873978","1,47665858"
07/01/2009 17.00,"4,38874655","27,60702384","0,31255552","14,43805981","1,43532058"
07/01/2009 18.00,"4,22258807","40,73500704","0,41477961","14,44145966","1,96947237"
07/01/2009 19.00,"3,61394306","32,616808","0,4415583","14,44159031","1,99087005"
07/01/2009 20.00,"3,82705948","39,05296328","0,51308581","14,44172955","2,31898069"
07/01/2009 21.00,"3,61936164","35,20865784","0,50616105","14,43968964","2,3274106"
07/01/2009 22.00,"4,11061128","39,86152896","0,57665753","14,44334984","2,37328747"
07/01/2009 23.00,"4,6470137","40,9348684","0,60120641","14,44213009","2,5971607"
08/01/2009 0.00,"5,3134538","40,57535504","0,65639013","14,44227028","2,26159341"
08/01/2009 1.00,"5,19605843","36,50264208","0,5377908",,"2,76510706"
08/01/2009 2.00,,"30,92308192","0,50992982",,"2,18653678"
08/01/2009 3.00,"4,67591073",,"0,56661406",,"2,32627563"
08/01/2009 4.00,"3,76926439","37,31900872","0,45728697",,"2,20631438"
08/01/2009 5.00,"4,24787272","31,06715112","0,4373643",,"1,92683668"
08/01/2009 6.00,"2,58087141","38,4429588",,"11,73626041","1,9850345"
08/01/2009 7.00,"4,88902715","36,53638888","0,42485337","11,73394966","1,93640156"
08/01/2009 8.00,"5,1147859","41,44753296","0,46671298","11,73707008","1,36674732"
08/01/2009 9.00,"5,10936732","48,61827864","0,80155728","11,73503971","2,50216476"
08/01/2009 10.00,"5,51573306","48,30549456","0,76718046","11,73694038","2,58678628"
08/01/2009 11.00,"5,61687269","46,4949644","0,68668595","11,74507999","3,09937767"
08/01/2009 12.00,"5,58616946","52,92851936","0,89048173","11,74561977","2,72717296"
08/01/2009 13.00,"3,13894711","52,16924504","0,64670432","11,79961967","4,46288279"
08/01/2009 14.00,,"36,1314464","0,31961426","11,91860008","2,50248919"
08/01/2009 15.00,,"36,5934812","0,29147368","11,92280006","1,90511457"
08/01/2009 16.00,,"38,91537576","0,36189793","11,92063046","1,455746"
08/01/2009 17.00,,"41,32422808","0,54348182","11,92673969","1,71414943"
08/01/2009 18.00,,"44,41836032","0,75975126","11,92103958","1,2952573"
08/01/2009 19.00,,"46,94661704","0,76410137","11,92117023","3,09905325"
08/01/2009 20.00,,"43,84988448","0,65558162","11,91804981","3,11947868"
08/01/2009 21.00,,"44,90117856","0,87512237","11,92103958","2,7625127"
08/01/2009 22.00,,"60,82477344","1,45548343","11,92022038","4,24079237"
08/01/2009 23.00,,"42,41315032","0,89764299","11,92076969","4,68335212"
09/01/2009 0.00,,"41,1191852","0,61851015","11,92063046","2,75019276"
09/01/2009 1.00,,"36,2145228","0,47161064",,"2,35740092"
09/01/2009 2.00,,"31,77579568","0,43308409",,"1,9469387"
09/01/2009 3.00,,,"0,36329127",,"1,86393828"
09/01/2009 4.00,,"25,69267208","0,32725899",,"1,69161576"
09/01/2009 5.00,,"19,45897848","0,34121802",,"1,64687387"
09/01/2009 6.00,,"20,416814",,"16,31093979","1,76424075"
09/01/2009 7.00,,"28,79846752","0,37977602","16,30904961","1,86945042"
09/01/2009 8.00,,"39,29567256","0,51174373","16,31093979","2,26807781"
09/01/2009 9.00,,"42,90505056","0,59181418","16,30932045","2,36518198"
09/01/2009 10.00,,"43,28790944","0,61807328","16,30875969","3,19615641"
09/01/2009 11.00,,"42,65974096","0,63536304","16,30957985","2,53880117"
09/01/2009 12.00,,"37,81220912","0,58738718","16,30850029","3,14946899"
09/01/2009 13.00,,"36,51042392","0,40168618","16,30957985","2,07014215"
09/01/2009 14.00,,"38,48708776","0,48572811","16,30970955","2,13239272"
09/01/2009 15.00,,"38,61297384","0,39763314","16,30945015","2,73641342"
09/01/2009 16.00,,"42,44299664","0,42440717","16,31081009","2,21247435"
09/01/2009 17.00,,"44,6610696","0,49370021","16,30891037","2,80839058"
09/01/2009 18.00,,"43,61627632","0,54486584","16,30970955","2,68048554"
