Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
12/02/2014 4.00,"5,3","13,4","12,7","0,3","6,9"
12/02/2014 5.00,"5,4","13,9","12,7","0,3","6,9"
12/02/2014 6.00,"7,1","16,2","12,7","0,3","6,9"
12/02/2014 7.00,"10,4","20,3","12,7","0,4","6,9"
12/02/2014 8.00,"17,4","28,5","12,7","0,5","6,9"
12/02/2014 9.00,"20,3","33,7","12,7","0,8","6,9"
12/02/2014 10.00,"16,4","29,8","12,7","0,8","6,9"
12/02/2014 11.00,"16,5","29,9","12,7","0,7","6,9"
12/02/2014 12.00,"12,8","23,6","12,7","0,4","6,9"
12/02/2014 13.00,"11,6","23,8","12,7","0,8","6,9"
12/02/2014 14.00,"10,3","20,6","12,7","1,0","6,9"
12/02/2014 15.00,"13,1","23,5","12,7","0,9","6,9"
12/02/2014 16.00,"23,8","36,5","12,7","0,9","6,9"
12/02/2014 17.00,"25,1","39,4","12,7","0,7","6,9"
12/02/2014 18.00,"7,3","18,4","12,7","0,5","6,9"
12/02/2014 19.00,"35,2","55,4","12,7","1,2","6,9"
12/02/2014 20.00,"41,4","66,2","12,7","1,8","6,9"
12/02/2014 21.00,"38,5","68,8","12,7","2,1","6,9"
12/02/2014 22.00,"19,3","38,5","12,7","1,3","6,9"
12/02/2014 23.00,"29,8","47,2","12,7","2,2","6,9"
13/02/2014 0.00,"17,4","32,8","12,7","2,3","6,9"
13/02/2014 1.00,"14,3","30,7","13,1","2,4","7,8"
13/02/2014 2.00,,,"13,1","2,4","7,8"
13/02/2014 3.00,"12,0","24,9","13,1","2,4","7,8"
13/02/2014 4.00,"12,2","23,8","13,1",,"7,8"
13/02/2014 5.00,"15,6","27,2","13,1",,"7,8"
13/02/2014 6.00,"12,0","22,4","13,1",,"7,8"
13/02/2014 7.00,"19,4","31,4","13,1",,"7,8"
13/02/2014 8.00,"22,8","38,0","13,1",,"7,8"
13/02/2014 9.00,"20,6","38,2","13,1",,"7,8"
13/02/2014 10.00,"13,4","28,0","13,1",,"7,8"
13/02/2014 11.00,"8,5","19,9","13,1",,"7,8"
13/02/2014 12.00,"8,9","20,5","13,1",,"7,8"
13/02/2014 13.00,"9,2","21,0","13,1",,"7,8"
13/02/2014 14.00,"9,4","21,0","13,1",,"7,8"
13/02/2014 15.00,"8,8","20,8","13,1",,"7,8"
13/02/2014 16.00,"12,3","24,1","13,1",,"7,8"
13/02/2014 17.00,"15,9","27,8","13,1",,"7,8"
13/02/2014 18.00,"21,9","33,5","13,1",,"7,8"
13/02/2014 19.00,"36,7","53,2","13,1",,"7,8"
13/02/2014 20.00,"42,7","64,8","13,1",,"7,8"
13/02/2014 21.00,"25,0","41,7","13,1",,"7,8"
13/02/2014 22.00,"13,1","24,1","13,1",,"7,8"
13/02/2014 23.00,"12,5","22,6","13,1",,"7,8"
14/02/2014 0.00,"11,5","22,5","13,1",,"7,8"
14/02/2014 1.00,"9,1","19,0","13,3",,"6,2"
14/02/2014 2.00,"7,2","15,9","13,3",,"6,2"
14/02/2014 3.00,"6,8","15,3","13,3",,"6,2"
14/02/2014 4.00,"6,7","15,3","13,3",,"6,2"
14/02/2014 5.00,"7,5","16,0","13,3",,"6,2"
14/02/2014 6.00,"9,4","18,5","13,3",,"6,2"
14/02/2014 7.00,"21,9","33,8","13,3",,"6,2"
14/02/2014 8.00,"38,2","68,1","13,3",,"6,2"
14/02/2014 9.00,"34,1","62,7","13,3",,"6,2"
14/02/2014 10.00,"17,4","33,6","13,3",,"6,2"
14/02/2014 11.00,"13,7","26,2","13,3",,"6,2"
14/02/2014 12.00,"5,6","14,5","13,3",,"6,2"
14/02/2014 13.00,"3,6","11,7","13,3",,"6,2"
14/02/2014 14.00,"3,9","11,9","13,3",,"6,2"
14/02/2014 15.00,"7,1","16,7","13,3","0,3","6,2"
14/02/2014 16.00,"7,3","16,5","13,3","0,4","6,2"
14/02/2014 17.00,"9,8","19,7","13,3","0,4","6,2"
14/02/2014 18.00,"17,2","26,9","13,3","0,5","6,2"
14/02/2014 19.00,"8,5","16,9","13,3","0,6","6,2"
14/02/2014 20.00,"7,6","16,0","13,3","0,5","6,2"
14/02/2014 21.00,"6,2","14,6","13,3","0,5","6,2"
14/02/2014 22.00,"12,6","21,5","13,3","0,5","6,2"
14/02/2014 23.00,"14,1","23,9","13,3","0,9","6,2"
15/02/2014 0.00,"12,0","21,2","13,3","0,7","6,2"
15/02/2014 1.00,"12,9","22,4","15,2","1,0","9,8"
15/02/2014 2.00,,,"15,2","0,8","9,8"
15/02/2014 3.00,"8,0","16,3","15,2","0,6","9,8"
15/02/2014 4.00,"10,4","19,6","15,2",,"9,8"
15/02/2014 5.00,"11,6","20,8","15,2","0,6","9,8"
15/02/2014 6.00,"12,6","22,1","15,2","0,6","9,8"
15/02/2014 7.00,"18,9","29,6","15,2","0,6","9,8"
15/02/2014 8.00,"26,3","41,0","15,2","0,7","9,8"
15/02/2014 9.00,"21,4","36,5","15,2","0,9","9,8"
15/02/2014 10.00,"11,2","23,6","15,2","0,8","9,8"
15/02/2014 11.00,"8,9","20,2","15,2","0,6","9,8"
15/02/2014 12.00,"9,3","21,2","15,2","0,6","9,8"
15/02/2014 13.00,"9,6","20,8","15,2","0,6","9,8"
15/02/2014 14.00,"6,9","16,4","15,2","0,5","9,8"
15/02/2014 15.00,"6,6","15,7","15,2","0,5","9,8"
15/02/2014 16.00,"12,4","22,7","15,2","0,5","9,8"
15/02/2014 17.00,"11,2","21,2","15,2","0,6","9,8"
15/02/2014 18.00,"19,0","30,7","15,2",,"9,8"
15/02/2014 19.00,"28,5","42,7","15,2",,"9,8"
15/02/2014 20.00,"41,1","59,2","15,2",,"9,8"
15/02/2014 21.00,"65,3","114,0","15,2",,"9,8"
15/02/2014 22.00,"55,7","85,1","15,2",,"9,8"
15/02/2014 23.00,"41,3","60,8","15,2",,"9,8"
16/02/2014 0.00,"21,6","37,2","15,2",,"9,8"
16/02/2014 1.00,"17,4","30,6","16,5",,"10,1"
16/02/2014 2.00,"14,4","26,2","16,5",,"10,1"
16/02/2014 3.00,"25,2","36,7","16,5",,"10,1"
16/02/2014 4.00,"23,0","35,5","16,5",,"10,1"
16/02/2014 5.00,"21,6","34,4","16,5",,"10,1"
16/02/2014 6.00,"24,5","38,5","16,5",,"10,1"
16/02/2014 7.00,"18,0","31,7","16,5",,"10,1"
16/02/2014 8.00,"17,6","32,6","16,5",,"10,1"
16/02/2014 9.00,"16,7","42,1","16,5",,"10,1"
16/02/2014 10.00,"13,2","28,3","16,5",,"10,1"
16/02/2014 11.00,"7,9","19,5","16,5",,"10,1"
16/02/2014 12.00,"9,6","21,7","16,5",,"10,1"
16/02/2014 13.00,"9,9","21,8","16,5",,"10,1"
16/02/2014 14.00,"10,2","22,9","16,5",,"10,1"
16/02/2014 15.00,"7,5","18,8","16,5",,"10,1"
16/02/2014 16.00,"9,0","20,3","16,5",,"10,1"
16/02/2014 17.00,"10,7","23,9","16,5",,"10,1"
16/02/2014 18.00,"12,2","26,1","16,5",,"10,1"
16/02/2014 19.00,"19,1","35,5","16,5",,"10,1"
16/02/2014 20.00,"16,7","31,9","16,5",,"10,1"
16/02/2014 21.00,"17,6","33,4","16,5",,"10,1"
16/02/2014 22.00,"15,0","30,5","16,5",,"10,1"
16/02/2014 23.00,"10,3","24,9","16,5",,"10,1"
17/02/2014 0.00,"10,9","24,5","16,5",,"10,1"
17/02/2014 1.00,"10,0","22,7","20,3",,"12,6"
17/02/2014 2.00,,,"20,3",,"12,6"
17/02/2014 3.00,"8,1","21,2","20,3",,"12,6"
17/02/2014 4.00,"8,6","21,8","20,3",,"12,6"
17/02/2014 5.00,"9,7","23,5","20,3",,"12,6"
17/02/2014 6.00,"13,8","28,1","20,3",,"12,6"
17/02/2014 7.00,"12,1","25,2","20,3",,"12,6"
17/02/2014 8.00,"25,4","43,5","20,3",,"12,6"
17/02/2014 9.00,"21,6","39,1","20,3",,"12,6"
17/02/2014 10.00,"18,2","34,4","20,3",,"12,6"
17/02/2014 11.00,"14,2","28,1","20,3",,"12,6"
17/02/2014 12.00,"14,0","26,9","20,3",,"12,6"
17/02/2014 13.00,"13,0","24,6","20,3",,"12,6"
17/02/2014 14.00,"10,5","21,1","20,3",,"12,6"
17/02/2014 15.00,"9,5","19,4","20,3",,"12,6"
17/02/2014 16.00,"11,4","21,5","20,3",,"12,6"
17/02/2014 17.00,"12,9","23,6","20,3",,"12,6"
17/02/2014 18.00,"17,5","30,1","20,3",,"12,6"
17/02/2014 19.00,"15,4","26,9","20,3",,"12,6"
17/02/2014 20.00,"14,6","26,1","20,3",,"12,6"
17/02/2014 21.00,"16,1","27,9","20,3",,"12,6"
17/02/2014 22.00,"17,5","28,1","20,3",,"12,6"
17/02/2014 23.00,"15,6","25,9","20,3",,"12,6"
18/02/2014 0.00,"10,8","20,4","20,3",,"12,6"
18/02/2014 1.00,"9,0","18,7","19,4",,"9,6"
18/02/2014 2.00,"9,8","19,8","19,4",,"9,6"
18/02/2014 3.00,"11,0","21,0","19,4",,"9,6"
18/02/2014 4.00,"12,7","23,1","19,4",,"9,6"
18/02/2014 5.00,"16,1","27,7","19,4",,"9,6"
18/02/2014 6.00,"32,3","60,4","19,4",,"9,6"
18/02/2014 7.00,"31,2","50,5","19,4",,"9,6"
18/02/2014 8.00,"27,4","48,0","19,4",,"9,6"
18/02/2014 9.00,"42,5","92,9","19,4",,"9,6"
18/02/2014 10.00,"18,3","37,3","19,4",,"9,6"
18/02/2014 11.00,"11,6","24,2","19,4",,"9,6"
18/02/2014 12.00,"9,9","21,2","19,4",,"9,6"
18/02/2014 13.00,"10,0","21,4","19,4",,"9,6"
18/02/2014 14.00,"12,0","24,7","19,4",,"9,6"
18/02/2014 15.00,"9,7","20,7","19,4",,"9,6"
18/02/2014 16.00,"10,1","20,9","19,4",,"9,6"
18/02/2014 17.00,"11,5","22,1","19,4",,"9,6"
18/02/2014 18.00,"13,5","24,9","19,4",,"9,6"
18/02/2014 19.00,"23,3","37,3","19,4",,"9,6"
18/02/2014 20.00,"30,5","47,4","19,4",,"9,6"
18/02/2014 21.00,"15,8","27,9","19,4",,"9,6"
18/02/2014 22.00,"12,5","22,4","19,4",,"9,6"
18/02/2014 23.00,"7,3","16,4","19,4",,"9,6"
19/02/2014 0.00,"6,6","15,5","19,4",,"9,6"
19/02/2014 1.00,"5,7","14,1","20,0",,"7,9"
19/02/2014 2.00,,,"20,0",,"7,9"
19/02/2014 3.00,"5,6","13,9","20,0",,"7,9"
19/02/2014 4.00,"3,9","11,8","20,0",,"7,9"
19/02/2014 5.00,"3,7","11,4","20,0",,"7,9"
19/02/2014 6.00,"5,6","13,7","20,0",,"7,9"
19/02/2014 7.00,"5,9","13,9","20,0",,"7,9"
19/02/2014 8.00,"11,5","21,4","20,0",,"7,9"
19/02/2014 9.00,"13,4","24,4","20,0",,"7,9"
19/02/2014 10.00,"9,0","18,2","20,0",,"7,9"
19/02/2014 11.00,"8,0","17,6","20,0",,"7,9"
19/02/2014 12.00,"6,0","14,7","20,0",,"7,9"
19/02/2014 13.00,"7,6","16,5","20,0",,"7,9"
19/02/2014 14.00,"8,8","18,3","20,0",,"7,9"
19/02/2014 15.00,"7,6","16,3","20,0","0,2","7,9"
19/02/2014 16.00,"8,5","17,5","20,0","0,3","7,9"
19/02/2014 17.00,"8,9","18,0","20,0","0,3","7,9"
19/02/2014 18.00,"10,5","19,8","20,0",,"7,9"
19/02/2014 19.00,"12,1","22,6","20,0","0,3","7,9"
19/02/2014 20.00,"11,8","22,3","20,0","0,3","7,9"
19/02/2014 21.00,"10,2","20,5","20,0","0,6","7,9"
19/02/2014 22.00,"11,0","21,4","20,0","0,5","7,9"
19/02/2014 23.00,"9,0","19,5","20,0","0,4","7,9"
20/02/2014 0.00,"6,7","15,8","20,0","0,2","7,9"
20/02/2014 1.00,"5,7","14,6","21,5","0,2","10,6"
20/02/2014 2.00,"4,7","13,0","21,5","0,2","10,6"
20/02/2014 3.00,"5,1","13,9","21,5","0,2","10,6"
20/02/2014 4.00,"6,2","15,5","21,5",,"10,6"
20/02/2014 5.00,"5,8","14,6","21,5","0,2","10,6"
20/02/2014 6.00,"7,9","17,4","21,5","0,2","10,6"
20/02/2014 7.00,"12,5","22,4","21,5","0,1","10,6"
20/02/2014 8.00,"16,3","26,8","21,5","0,4","10,6"
20/02/2014 9.00,"18,4","30,0","21,5","0,4","10,6"
20/02/2014 10.00,"12,2","22,2","21,5","0,3","10,6"
20/02/2014 11.00,"12,4","22,8","21,5","0,3","10,6"
20/02/2014 12.00,"12,1","22,9","21,5","0,2","10,6"
20/02/2014 13.00,"11,3","21,6","21,5","0,3","10,6"
20/02/2014 14.00,"13,5","24,3","21,5","0,4","10,6"
20/02/2014 15.00,"12,7","22,9","21,5","0,4","10,6"
20/02/2014 16.00,"15,8","26,9","21,5","0,4","10,6"
20/02/2014 17.00,"21,4","33,4","21,5","0,6","10,6"
20/02/2014 18.00,"26,2","38,8","21,5","0,7","10,6"
20/02/2014 19.00,"26,6","42,2","21,5","0,7","10,6"
20/02/2014 20.00,"26,4","41,7","21,5","0,8","10,6"
20/02/2014 21.00,"24,3","38,0","21,5","0,9","10,6"
20/02/2014 22.00,"24,2","37,6","21,5","1,3","10,6"
20/02/2014 23.00,"13,3","24,7","21,5","0,9","10,6"
21/02/2014 0.00,"10,0","19,8","21,5","0,5","10,6"
21/02/2014 1.00,"8,0","17,3","26,0","0,3","12,2"
21/02/2014 2.00,,,"26,0","0,3","12,2"
21/02/2014 3.00,"6,0","15,0","26,0","0,2","12,2"
21/02/2014 4.00,"4,6","13,0","26,0",,"12,2"
21/02/2014 5.00,"4,9","13,4","26,0","0,2","12,2"
21/02/2014 6.00,"5,3","13,8","26,0","0,2","12,2"
21/02/2014 7.00,"17,5","28,1","26,0","0,2","12,2"
21/02/2014 8.00,"39,5","64,3","26,0","0,4","12,2"
21/02/2014 9.00,"12,3","25,7","26,0","0,5","12,2"
21/02/2014 10.00,"16,7","28,6","26,0","0,2","12,2"
21/02/2014 11.00,"16,7","28,7","26,0","0,4","12,2"
21/02/2014 12.00,"14,3","24,5","26,0","0,1","12,2"
21/02/2014 13.00,"16,1","26,8","26,0","0,7","12,2"
21/02/2014 14.00,"15,1","25,4","26,0","0,5","12,2"
21/02/2014 15.00,"22,7","34,7","26,0","0,6","12,2"
21/02/2014 16.00,"14,7","25,0","26,0","0,3","12,2"
21/02/2014 17.00,"13,0","23,1","26,0","0,3","12,2"
21/02/2014 18.00,"23,7","35,4","26,0","0,1","12,2"
21/02/2014 19.00,"43,0","59,7","26,0","0,4","12,2"
21/02/2014 20.00,"32,2","48,2","26,0","0,8","12,2"
21/02/2014 21.00,"30,6","47,7","26,0","1,5","12,2"
21/02/2014 22.00,"26,3","40,1","26,0","1,4","12,2"
21/02/2014 23.00,"22,0","35,6","26,0","1,3","12,2"
22/02/2014 0.00,"18,5","30,1","26,0","1,2","12,2"
22/02/2014 1.00,"11,0","21,7","24,0","0,9","13,2"
22/02/2014 2.00,"11,1","21,8","24,0","0,6","13,2"
22/02/2014 3.00,"9,7","19,8","24,0","0,6","13,2"
22/02/2014 4.00,"14,3","24,8","24,0",,"13,2"
22/02/2014 5.00,"10,6","20,7","24,0","0,6","13,2"
22/02/2014 6.00,"18,2","30,1","24,0","0,5","13,2"
22/02/2014 7.00,"25,8","40,0","24,0","0,6","13,2"
22/02/2014 8.00,"23,9","40,0","24,0","0,7","13,2"
22/02/2014 9.00,"24,0","45,0","24,0","1,6","13,2"
22/02/2014 10.00,"11,1","23,2","24,0","0,7","13,2"
22/02/2014 11.00,"9,9","21,0","24,0","0,5","13,2"
22/02/2014 12.00,"10,4","21,3","24,0","0,6","13,2"
22/02/2014 13.00,"10,7","21,5","24,0","0,6","13,2"
22/02/2014 14.00,"8,2","17,6","24,0","0,6","13,2"
22/02/2014 15.00,"8,6","17,4","24,0","0,4","13,2"
22/02/2014 16.00,"11,7","21,1","24,0","0,5","13,2"
22/02/2014 17.00,"14,5","24,1","24,0","0,5","13,2"
22/02/2014 18.00,"17,9","28,4","24,0","0,7","13,2"
22/02/2014 19.00,"23,7","34,1","24,0","0,9","13,2"
22/02/2014 20.00,"44,4","61,1","24,0","1,8","13,2"
22/02/2014 21.00,"34,4","52,8","24,0","2,7","13,2"
22/02/2014 22.00,"22,5","38,8","24,0","2,8","13,2"
22/02/2014 23.00,"14,1","26,2","24,0","1,6","13,2"
23/02/2014 0.00,"10,2","20,4","24,0","0,8","13,2"
23/02/2014 1.00,"12,8","22,7","10,2","0,5","4,8"
23/02/2014 2.00,,,"10,2","0,4","4,8"
23/02/2014 3.00,"8,9","17,9","10,2","0,5","4,8"
23/02/2014 4.00,"7,9","16,3","10,2",,"4,8"
23/02/2014 5.00,"6,5","14,9","10,2","0,5","4,8"
23/02/2014 6.00,"6,7","14,7","10,2","0,4","4,8"
23/02/2014 7.00,"7,7","16,0","10,2","0,4","4,8"
23/02/2014 8.00,"8,3","17,2","10,2","0,4","4,8"
23/02/2014 9.00,"8,0","16,9","10,2","0,5","4,8"
23/02/2014 10.00,"6,8","15,6","10,2","0,6","4,8"
23/02/2014 11.00,"7,5","16,2","10,2","0,4","4,8"
23/02/2014 12.00,"7,7","16,6","10,2","0,9","4,8"
23/02/2014 13.00,"7,8","16,8","10,2","0,5","4,8"
23/02/2014 14.00,"4,0","11,9","10,2","0,4","4,8"
23/02/2014 15.00,"4,4","12,2","10,2","0,4","4,8"
23/02/2014 16.00,"7,2","15,9","10,2","0,4","4,8"
23/02/2014 17.00,"9,6","18,7","10,2","0,4","4,8"
23/02/2014 18.00,"11,3","19,9","10,2","0,5","4,8"
23/02/2014 19.00,"10,9","19,7","10,2","0,6","4,8"
23/02/2014 20.00,"11,9","21,3","10,2","0,7","4,8"
23/02/2014 21.00,"12,4","22,5","10,2","0,9","4,8"
23/02/2014 22.00,"11,0","20,8","10,2","0,9","4,8"
23/02/2014 23.00,"9,7","18,8","10,2","0,8","4,8"
24/02/2014 0.00,"13,1","22,7","10,2","0,7","4,8"
24/02/2014 1.00,"11,9","21,5","12,8","0,6","8,7"
24/02/2014 2.00,"9,8","18,9","12,8","0,5","8,7"
24/02/2014 3.00,"11,5","20,7","12,8","0,6","8,7"
24/02/2014 4.00,"12,1","21,4","12,8",,"8,7"
24/02/2014 5.00,"12,5","22,1","12,8","0,6","8,7"
24/02/2014 6.00,"13,4","23,0","12,8","0,6","8,7"
24/02/2014 7.00,"18,0","29,0","12,8","0,6","8,7"
24/02/2014 8.00,"22,1","36,4","12,8","0,6","8,7"
24/02/2014 9.00,"18,6","33,5","12,8","1,0","8,7"
24/02/2014 10.00,"12,3","24,1","12,8","0,9","8,7"
24/02/2014 11.00,"13,6","25,2","12,8","0,9","8,7"
24/02/2014 12.00,"10,4","21,0","12,8","0,9","8,7"
24/02/2014 13.00,"8,1","17,7","12,8","0,8","8,7"
24/02/2014 14.00,"6,4","15,3","12,8","0,6","8,7"
24/02/2014 15.00,,"14,7","12,8","0,5","8,7"
24/02/2014 16.00,"7,3","15,8","12,8","0,6","8,7"
24/02/2014 17.00,"7,3","15,5","12,8","1,2","8,7"
24/02/2014 18.00,"12,5","21,7","12,8","0,6","8,7"
24/02/2014 19.00,"18,2","28,7","12,8","0,6","8,7"
24/02/2014 20.00,"20,6","33,2","12,8","1,1","8,7"
24/02/2014 21.00,"22,7","35,5","12,8","1,1","8,7"
24/02/2014 22.00,"17,4","29,5","12,8","1,5","8,7"
24/02/2014 23.00,"13,6","25,2","12,8","1,2","8,7"
25/02/2014 0.00,"12,1","23,4","12,8","1,1","8,7"
25/02/2014 1.00,"11,5","22,3","24,0","1,0","17,8"
25/02/2014 2.00,,,"24,0","1,0","17,8"
25/02/2014 3.00,"13,4","23,7","24,0","1,0","17,8"
25/02/2014 4.00,"9,8","19,8","24,0",,"17,8"
25/02/2014 5.00,"11,2","20,9","24,0",,"17,8"
25/02/2014 6.00,"12,6","22,6","24,0",,"17,8"
25/02/2014 7.00,"16,4","27,2","24,0",,"17,8"
25/02/2014 8.00,"20,6","33,5","24,0",,"17,8"
25/02/2014 9.00,"17,0","30,7","24,0",,"17,8"
25/02/2014 10.00,"13,3","24,9","24,0",,"17,8"
25/02/2014 11.00,"9,8","20,1","24,0",,"17,8"
25/02/2014 12.00,"7,7","17,0","24,0",,"17,8"
25/02/2014 13.00,"7,5","16,3","24,0",,"17,8"
25/02/2014 14.00,"6,6","15,2","24,0",,"17,8"
25/02/2014 15.00,"6,8","15,3","24,0",,"17,8"
25/02/2014 16.00,"6,4","14,7","24,0",,"17,8"
25/02/2014 17.00,"8,7","17,4","24,0",,"17,8"
25/02/2014 18.00,"23,3","33,2","24,0",,"17,8"
25/02/2014 19.00,"58,3","90,6","24,0",,"17,8"
25/02/2014 20.00,"59,2","115,6","24,0",,"17,8"
25/02/2014 21.00,"36,1","62,8","24,0",,"17,8"
25/02/2014 22.00,"28,7","47,5","24,0",,"17,8"
25/02/2014 23.00,"18,9","34,1","24,0",,"17,8"
26/02/2014 0.00,"14,6","27,8","24,0",,"17,8"
26/02/2014 1.00,"13,9","26,6",,,
26/02/2014 2.00,"17,7","30,7",,,
26/02/2014 3.00,"16,0","28,4",,,
26/02/2014 4.00,"20,2","34,2",,,
26/02/2014 5.00,"26,9","43,8",,,
26/02/2014 6.00,"26,5","45,5",,,
26/02/2014 7.00,"38,9","98,8",,,
26/02/2014 8.00,"39,9","93,0",,,
26/02/2014 9.00,"32,9","67,0",,,
26/02/2014 10.00,"19,6","36,9",,,
26/02/2014 11.00,"10,5","22,4",,,
26/02/2014 12.00,"10,2","21,1",,,
26/02/2014 13.00,"12,0","22,3",,,
26/02/2014 14.00,"12,0","22,5",,,
26/02/2014 15.00,"12,3","22,6",,,
26/02/2014 16.00,"11,9","21,8",,,
26/02/2014 17.00,"14,3","24,3",,,
26/02/2014 18.00,"18,1","28,4",,,
26/02/2014 19.00,"32,1","46,8",,,
26/02/2014 20.00,"52,0","78,8",,,
26/02/2014 21.00,"33,7","53,2",,,
26/02/2014 22.00,"18,6","31,7",,,
26/02/2014 23.00,"17,1","31,5",,,
27/02/2014 0.00,"12,7","23,1",,,
27/02/2014 1.00,"13,1","24,1","20,0",,"14,8"
27/02/2014 2.00,,,"20,0",,"14,8"
27/02/2014 3.00,,,"20,0",,"14,8"
27/02/2014 4.00,,,"20,0",,"14,8"
27/02/2014 5.00,,,"20,0",,"14,8"
27/02/2014 6.00,,,"20,0",,"14,8"
27/02/2014 7.00,,,"20,0",,"14,8"
27/02/2014 8.00,,,"20,0",,"14,8"
27/02/2014 9.00,,,"20,0",,"14,8"
27/02/2014 10.00,,,"20,0",,"14,8"
27/02/2014 11.00,,,"20,0",,"14,8"
27/02/2014 12.00,,,"20,0",,"14,8"
27/02/2014 13.00,,,"20,0",,"14,8"
27/02/2014 14.00,"9,5","19,3","20,0","0,8","14,8"
27/02/2014 15.00,"9,5","18,3","20,0","0,6","14,8"
27/02/2014 16.00,"10,6","19,9","20,0","0,5","14,8"
27/02/2014 17.00,"13,8","23,4","20,0","0,5","14,8"
27/02/2014 18.00,"31,1","43,5","20,0","0,8","14,8"
27/02/2014 19.00,"28,1","44,6","20,0","1,1","14,8"
27/02/2014 20.00,"24,3","38,5","20,0","1,2","14,8"
27/02/2014 21.00,"19,8","31,7","20,0","1,1","14,8"
27/02/2014 22.00,"13,4","23,5","20,0","0,9","14,8"
27/02/2014 23.00,"10,4","20,2","20,0","0,7","14,8"
28/02/2014 0.00,"9,3","18,7","20,0","0,6","14,8"
28/02/2014 1.00,"8,7","17,6","18,3","0,5","12,2"
28/02/2014 2.00,"8,0","16,8","18,3","0,5","12,2"
28/02/2014 3.00,"9,4","18,3","18,3","0,5","12,2"
28/02/2014 4.00,"14,1","23,3","18,3","0,6","12,2"
28/02/2014 5.00,"16,7","26,4","18,3","0,6","12,2"
28/02/2014 6.00,"21,4","31,2","18,3","0,6","12,2"
28/02/2014 7.00,"21,5","32,4","18,3","0,5","12,2"
28/02/2014 8.00,"44,5","68,5","18,3","0,9","12,2"
28/02/2014 9.00,"18,0","31,3","18,3","0,6","12,2"
28/02/2014 10.00,"12,0","22,9","18,3","0,6","12,2"
28/02/2014 11.00,"9,4","19,4","18,3","0,5","12,2"
28/02/2014 12.00,"8,0","17,1","18,3","0,5","12,2"
28/02/2014 13.00,"8,6","18,1","18,3","0,5","12,2"
28/02/2014 14.00,"9,1","18,1","18,3","0,5","12,2"
28/02/2014 15.00,"9,5","18,7","18,3","0,4","12,2"
28/02/2014 16.00,"9,6","18,6","18,3","0,5","12,2"
28/02/2014 17.00,"15,1","24,5","18,3","0,5","12,2"
28/02/2014 18.00,"17,4","27,4","18,3","0,6","12,2"
28/02/2014 19.00,"61,4","98,3","18,3","2,4","12,2"
28/02/2014 20.00,"64,1","124,9","18,3","4,2","12,2"
28/02/2014 21.00,"56,5","110,2","18,3","4,7","12,2"
28/02/2014 22.00,"21,2","39,3","18,3","1,9","12,2"
28/02/2014 23.00,"14,6","30,7","18,3","1,2","12,2"
01/03/2014 0.00,"11,6","22,8","18,3","0,8","12,2"
01/03/2014 1.00,"9,8","20,0","12,8","0,7","6,7"
01/03/2014 2.00,,,"12,8","0,5","6,7"
01/03/2014 3.00,"10,4","19,5","12,8","0,4","6,7"
01/03/2014 4.00,"9,6","18,4","12,8","0,5","6,7"
01/03/2014 5.00,"15,8","26,0","12,8","0,6","6,7"
01/03/2014 6.00,"14,8","24,7","12,8","0,5","6,7"
01/03/2014 7.00,"16,9","26,8","12,8","0,6","6,7"
01/03/2014 8.00,"15,0","25,6","12,8","0,6","6,7"
01/03/2014 9.00,"12,6","23,8","12,8","0,7","6,7"
01/03/2014 10.00,"11,2","21,3","12,8","6,9","6,7"
01/03/2014 11.00,"11,9","22,0","12,8","8,6","6,7"
01/03/2014 12.00,"12,6","23,0","12,8","9,4","6,7"
01/03/2014 13.00,"10,9","20,4","12,8","9,6","6,7"
01/03/2014 14.00,"10,5","20,0","12,8","8,6","6,7"
01/03/2014 15.00,"8,9","18,1","12,8","9,8","6,7"
01/03/2014 16.00,"10,1","20,2","12,8","10,4","6,7"
01/03/2014 17.00,"10,0","19,0","12,8","11,1","6,7"
01/03/2014 18.00,"11,7","21,1","12,8","10,9","6,7"
01/03/2014 19.00,"15,2","25,4","12,8","11,2","6,7"
01/03/2014 20.00,"21,8","32,6","12,8","11,6","6,7"
01/03/2014 21.00,"22,3","33,9","12,8","11,5","6,7"
01/03/2014 22.00,"14,4","25,0","12,8","11,7","6,7"
01/03/2014 23.00,"16,6","27,4","12,8","11,8","6,7"
02/03/2014 0.00,"12,1","22,5","12,8","10,8","6,7"
02/03/2014 1.00,"12,6","23,2","8,1","11,7","5,4"
02/03/2014 2.00,"11,5","22,2","8,1","11,8","5,4"
02/03/2014 3.00,"11,4","22,7","8,1","12,0","5,4"
02/03/2014 4.00,"12,8","24,7","8,1",,"5,4"
02/03/2014 5.00,"10,2","21,9","8,1",,"5,4"
02/03/2014 6.00,"9,0","19,6","8,1",,"5,4"
02/03/2014 7.00,"8,8","18,7","8,1",,"5,4"
02/03/2014 8.00,"8,4","18,3","8,1",,"5,4"
02/03/2014 9.00,"9,2","19,1","8,1",,"5,4"
02/03/2014 10.00,"9,1","18,8","8,1",,"5,4"
02/03/2014 11.00,"8,4","18,1","8,1",,"5,4"
02/03/2014 12.00,"10,5","20,9","8,1",,"5,4"
