Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
11/01/2014 3.00,"14,4","31,8","41,7","1,2","35,7"
11/01/2014 4.00,"17,1","34,9","41,7","1,1","35,7"
11/01/2014 5.00,"13,8","31,4","41,7","1,1","35,7"
11/01/2014 6.00,"18,4","38,4","41,7","1,1","35,7"
11/01/2014 7.00,"29,1","56,0","41,7","1,1","35,7"
11/01/2014 8.00,"36,5","89,6","41,7","1,3","35,7"
11/01/2014 9.00,"36,5","100,5","41,7","1,4","35,7"
11/01/2014 10.00,"36,1","83,7","41,7","3,4","35,7"
11/01/2014 11.00,"18,6","38,3","41,7","1,9","35,7"
11/01/2014 12.00,"17,8","34,1","41,7","1,5","35,7"
11/01/2014 13.00,"13,5","27,8","41,7","1,4","35,7"
11/01/2014 14.00,"14,9","29,8","41,7","1,2","35,7"
11/01/2014 15.00,"10,0","22,5","41,7","1,0","35,7"
11/01/2014 16.00,"13,5","27,5","41,7","0,8","35,7"
11/01/2014 17.00,"34,9","54,7","41,7","1,1","35,7"
11/01/2014 18.00,"38,2","61,1","41,7","1,9","35,7"
11/01/2014 19.00,"49,4","94,1","41,7","2,3","35,7"
11/01/2014 20.00,"45,2","86,7","41,7","2,3","35,7"
11/01/2014 21.00,"41,6","83,2","41,7","2,5","35,7"
11/01/2014 22.00,"35,0","66,8","41,7","2,6","35,7"
11/01/2014 23.00,"21,1","45,9","41,7","2,1","35,7"
12/01/2014 0.00,"19,2","41,5","41,7","1,7","35,7"
12/01/2014 1.00,"22,5","45,4","40,8","1,6","36,4"
12/01/2014 2.00,,,"40,8","1,4","36,4"
12/01/2014 3.00,"20,4","41,9","40,8","1,0","36,4"
12/01/2014 4.00,"19,3","40,3","40,8","1,1","36,4"
12/01/2014 5.00,"16,7","38,2","40,8","1,2","36,4"
12/01/2014 6.00,"14,5","34,1","40,8","1,2","36,4"
12/01/2014 7.00,"13,5","30,8","40,8","0,9","36,4"
12/01/2014 8.00,"14,4","31,6","40,8","0,8","36,4"
12/01/2014 9.00,"18,1","37,3","40,8","1,0","36,4"
12/01/2014 10.00,"12,4","28,8","40,8","1,0","36,4"
12/01/2014 11.00,"9,3","22,7","40,8","1,1","36,4"
12/01/2014 12.00,"10,1","23,1","40,8","0,8","36,4"
12/01/2014 13.00,"8,5","21,0","40,8","1,0","36,4"
12/01/2014 14.00,"7,2","18,9","40,8","0,8","36,4"
12/01/2014 15.00,"6,9","18,0","40,8","0,9","36,4"
12/01/2014 16.00,"9,0","20,9","40,8","1,2","36,4"
12/01/2014 17.00,"17,6","30,3","40,8","1,4","36,4"
12/01/2014 18.00,"25,3","41,2","40,8","2,0","36,4"
12/01/2014 19.00,"26,0","43,6","40,8","2,2","36,4"
12/01/2014 20.00,"27,1","45,2","40,8","2,7","36,4"
12/01/2014 21.00,"23,4","41,5","40,8","3,0","36,4"
12/01/2014 22.00,"25,8","44,4","40,8","2,0","36,4"
12/01/2014 23.00,"25,0","43,7","40,8","1,8","36,4"
13/01/2014 0.00,"24,2","42,7","40,8","1,9","36,4"
13/01/2014 1.00,"14,1","31,2","47,5","1,5","39,9"
13/01/2014 2.00,"14,0","30,2","47,5","1,3","39,9"
13/01/2014 3.00,"17,9","33,6","47,5","1,1","39,9"
13/01/2014 4.00,"13,7","29,0","47,5","1,0","39,9"
13/01/2014 5.00,"11,9","25,3","47,5","0,8","39,9"
13/01/2014 6.00,"12,0","25,8","47,5","0,9","39,9"
13/01/2014 7.00,"21,6","38,4","47,5","0,9","39,9"
13/01/2014 8.00,"20,8","38,4","47,5","1,0","39,9"
13/01/2014 9.00,"24,6","45,4","47,5","1,4","39,9"
13/01/2014 10.00,"24,2","46,7","47,5","1,6","39,9"
13/01/2014 11.00,"26,3","50,5","47,5","1,1","39,9"
13/01/2014 12.00,"17,8","35,7","47,5","1,1","39,9"
13/01/2014 13.00,"15,7","32,6","47,5","0,9","39,9"
13/01/2014 14.00,"17,0","35,6","47,5","1,1","39,9"
13/01/2014 15.00,"11,8","27,3","47,5","0,8","39,9"
13/01/2014 16.00,"11,6","27,0","47,5","0,8","39,9"
13/01/2014 17.00,"23,3","42,1","47,5","0,8","39,9"
13/01/2014 18.00,"50,9","103,6","47,5","1,9","39,9"
13/01/2014 19.00,"59,1","135,1","47,5","2,7","39,9"
13/01/2014 20.00,"53,0","93,8","47,5","2,2","39,9"
13/01/2014 21.00,"48,0","90,0","47,5","3,2","39,9"
13/01/2014 22.00,"30,6","53,8","47,5","2,3","39,9"
13/01/2014 23.00,"36,6","62,1","47,5","2,0","39,9"
14/01/2014 0.00,"20,0","40,8","47,5","1,9","39,9"
14/01/2014 1.00,"13,7","32,8","16,3","1,2","12,8"
14/01/2014 2.00,,,"16,3","1,1","12,8"
14/01/2014 3.00,"8,2","24,1","16,3","0,8","12,8"
14/01/2014 4.00,"12,2","28,9","16,3","0,7","12,8"
14/01/2014 5.00,"15,4","33,1","16,3","0,7","12,8"
14/01/2014 6.00,"20,6","40,8","16,3","0,7","12,8"
14/01/2014 7.00,"22,9","39,6","16,3","0,5","12,8"
14/01/2014 8.00,"36,2","59,0","16,3","0,8","12,8"
14/01/2014 9.00,"32,9","58,9","16,3","0,9","12,8"
14/01/2014 10.00,"23,3","45,3","16,3","1,0","12,8"
14/01/2014 11.00,"14,4","30,5","16,3","0,6","12,8"
14/01/2014 12.00,"17,7","34,0","16,3","0,6","12,8"
14/01/2014 13.00,"14,9","28,9","16,3","0,5","12,8"
14/01/2014 14.00,"15,6","29,6","16,3","0,5","12,8"
14/01/2014 15.00,"12,4","24,9","16,3","0,3","12,8"
14/01/2014 16.00,"15,4","28,2","16,3","0,3","12,8"
14/01/2014 17.00,"17,3","29,8","16,3","0,4","12,8"
14/01/2014 18.00,"23,9","38,1","16,3","0,8","12,8"
14/01/2014 19.00,"22,7","38,1","16,3","0,8","12,8"
14/01/2014 20.00,"22,9","40,5","16,3","1,0","12,8"
14/01/2014 21.00,"33,3","54,7","16,3","1,1","12,8"
14/01/2014 22.00,"30,1","48,6","16,3","1,6","12,8"
14/01/2014 23.00,"16,9","32,5","16,3","0,9","12,8"
15/01/2014 0.00,"12,3","26,7","16,3","0,9","12,8"
15/01/2014 1.00,"8,4","21,7","16,6","0,5","11,1"
15/01/2014 2.00,"9,7","23,8","16,6","0,5","11,1"
15/01/2014 3.00,"9,8","23,9","16,6","0,4","11,1"
15/01/2014 4.00,"9,5","23,6","16,6","0,5","11,1"
15/01/2014 5.00,"10,1","24,3","16,6","0,4","11,1"
15/01/2014 6.00,"16,4","31,2","16,6","0,4","11,1"
15/01/2014 7.00,"19,9","36,0","16,6","0,4","11,1"
15/01/2014 8.00,"34,8","56,0","16,6","0,6","11,1"
15/01/2014 9.00,"52,8","121,4","16,6","1,3","11,1"
