TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
02/01/2011 18.00,"0,503308","28,598605","14,5","11,2","1,057875"
02/01/2011 19.00,"0,653628","36,954294","14,5","11,2","1,500242"
02/01/2011 20.00,"0,704411","40,554589","14,5","11,2","1,577073"
02/01/2011 21.00,"0,704256","47,782446","14,5","11,2","1,679593"
02/01/2011 22.00,"0,627175","54,271812","14,5","11,2","1,736094"
02/01/2011 23.00,"0,559536","45,627967","14,5","11,2","2,905327"
03/01/2011 0.00,"0,543572","68,222624","14,5","11,2","5,317499"
03/01/2011 1.00,"0,564641","56,583325","22,4","15,6","2,6314"
03/01/2011 2.00,"0,509829","44,674031","22,4","15,6","1,575758"
03/01/2011 3.00,"0,813759","39,633099","22,4","15,6","1,779237"
03/01/2011 4.00,"0,727725","41,8888","22,4","15,6","1,705058"
03/01/2011 5.00,"0,521057","34,509114","22,4","15,6","1,432704"
03/01/2011 6.00,"0,793027","45,647449","22,4","15,6","3,70799"
03/01/2011 7.00,"0,832552","52,905133","22,4","15,6","3,362565"
03/01/2011 8.00,"1,013138","44,23018","22,4","15,6","2,456416"
03/01/2011 9.00,"0,860173","50,576776","22,4","15,6","2,437555"
03/01/2011 10.00,"1,0116","54,983039","22,4","15,6","2,788101"
03/01/2011 11.00,"0,947806","41,912166","22,4","15,6","2,717621"
03/01/2011 12.00,"0,760361","42,201605","22,4","15,6","2,40761"
03/01/2011 13.00,"0,842426","38,962104","22,4","15,6","2,126935"
03/01/2011 14.00,"0,763745","35,335862","22,4","15,6","1,907359"
03/01/2011 15.00,"0,70318","31,635626","22,4","15,6","2,393601"
03/01/2011 16.00,"0,781646","24,245537","22,4","15,6","1,915355"
03/01/2011 17.00,"0,587003","29,443518","22,4","15,6","1,84353"
03/01/2011 18.00,"0,684755","39,58379","22,4","15,6","2,021696"
03/01/2011 19.00,"0,733754","45,494299","22,4","15,6","2,298944"
03/01/2011 20.00,"0,617363","41,734353","22,4","15,6","1,598294"
03/01/2011 21.00,"0,587096","33,906891","22,4","15,6","1,391733"
03/01/2011 22.00,"0,773803","71,362205","22,4","15,6","2,313171"
03/01/2011 23.00,"0,902714","48,605296","22,4","15,6","2,061694"
04/01/2011 0.00,"1,124916","39,203511","22,4","15,6","1,654375"
04/01/2011 1.00,,"26,529783","26,1","13,8","0,967121"
04/01/2011 2.00,"0,696172",,"26,1","13,8","0,930812"
04/01/2011 3.00,"1,485146","79,917242","26,1","13,8","3,242814"
04/01/2011 4.00,"3,099768","49,176371","26,1","13,8",
04/01/2011 5.00,"2,113226","17,709458","26,1","13,8","1,787569"
04/01/2011 6.00,"1,353744","14,380418","26,1","13,8","0,797672"
04/01/2011 7.00,"2,509564","70,818372","26,1","13,8","2,67091"
04/01/2011 8.00,"4,102905","65,667122","26,1","13,8","4,561126"
04/01/2011 9.00,"5,815984","82,342193","26,1","13,8","4,048395"
04/01/2011 10.00,"6,223508","73,834653","26,1","13,8","4,236495"
04/01/2011 11.00,"6,555428","63,835827","26,1","13,8","3,590182"
04/01/2011 12.00,"6,3028","51,990146","26,1","13,8","2,54105"
04/01/2011 13.00,"5,242499","43,661706","26,1","13,8","2,326424"
04/01/2011 14.00,"3,593961","30,385771","26,1","13,8","1,535516"
