TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
04/03/2011 10.00,"0,782768","68,351131","25,6","15,8","3,202772"
04/03/2011 11.00,"0,799744","56,966182","25,6","15,8","2,801519"
04/03/2011 12.00,"0,814837","38,979886","25,6","15,8","2,229856"
04/03/2011 13.00,"0,6054","37,723929","25,6","15,8","1,875689"
04/03/2011 14.00,"0,616048","41,120464","25,6","15,8","2,222876"
04/03/2011 15.00,"0,73057","38,035432","25,6","15,8","1,718839"
04/03/2011 16.00,"0,831751","33,51883","25,6","15,8","1,633986"
04/03/2011 17.00,"0,724922","37,909529","25,6","15,8","1,757342"
04/03/2011 18.00,"1,000582","44,191232","25,6","15,8","1,965074"
04/03/2011 19.00,"0,958675","50,829849","25,6","15,8","2,376461"
04/03/2011 20.00,"0,975262","49,067348","25,6","15,8","2,272037"
04/03/2011 21.00,"0,81432","57,430838","25,6","15,8","2,667696"
04/03/2011 22.00,"0,590079","42,350856","25,6","15,8","2,059108"
04/03/2011 23.00,"0,771601","39,400773","25,6","15,8","2,185797"
05/03/2011 0.00,"0,830875","31,080134","25,6","15,8","2,027538"
05/03/2011 1.00,,"23,365577","16,6","11,9","1,836188"
05/03/2011 2.00,"1,314991",,"16,6","11,9","1,568528"
05/03/2011 3.00,"1,550292","14,437268","16,6","11,9","1,372948"
05/03/2011 4.00,"1,548592","10,2441","16,6","11,9",
05/03/2011 5.00,"0,863612","11,579613","16,6","11,9","1,23201"
05/03/2011 6.00,"1,34467","21,959988","16,6","11,9","1,161128"
05/03/2011 7.00,"1,344735","25,077467","16,6","11,9","1,292217"
05/03/2011 8.00,"1,031368","39,742144","16,6","11,9","1,623644"
05/03/2011 9.00,"1,221695","55,432109","16,6","11,9","2,085615"
05/03/2011 10.00,"1,364456","52,19651","16,6","11,9","2,220678"
05/03/2011 11.00,"1,633436","52,284768","16,6","11,9","2,441475"
05/03/2011 12.00,"1,168888","44,963471","16,6","11,9","2,155413"
05/03/2011 13.00,"1,338675","44,132821","16,6","11,9","2,083666"
05/03/2011 14.00,"1,361869","51,286701","16,6","11,9","2,406607"
05/03/2011 15.00,"1,410482","27,025565","16,6","11,9","1,68108"
05/03/2011 16.00,"1,450218","22,015781","16,6","11,9","1,290307"
05/03/2011 17.00,"1,091185","22,734807","16,6","11,9","1,322758"
05/03/2011 18.00,"1,058558","27,051529","16,6","11,9","1,350094"
05/03/2011 19.00,"1,079752","30,790712","16,6","11,9","1,349566"
05/03/2011 20.00,"1,124762","34,620719","16,6","11,9","1,537403"
05/03/2011 21.00,"0,647832","38,676567","16,6","11,9","1,343632"
05/03/2011 22.00,"0,783812","30,165126","16,6","11,9","1,09948"
05/03/2011 23.00,"1,101766","29,40847","16,6","11,9","3,157304"
06/03/2011 0.00,"0,892931","36,296279","16,6","11,9","2,104949"
06/03/2011 1.00,"0,840222","47,056938","21,29999","14,9","2,499872"
06/03/2011 2.00,"1,233488","62,977935","21,29999","14,9","3,377106"
06/03/2011 3.00,"1,078016","41,494262","21,29999","14,9","2,93396"
06/03/2011 4.00,"0,939808","22,215661","21,29999","14,9","2,091357"
06/03/2011 5.00,"0,787678","27,604423","21,29999","14,9","2,098294"
06/03/2011 6.00,"0,896502","33,376063","21,29999","14,9","2,313541"
06/03/2011 7.00,"1,015808","31,109979","21,29999","14,9","2,197342"
06/03/2011 8.00,"1,027274","25,461644","21,29999","14,9","1,854289"
06/03/2011 9.00,"1,541188","21,613457","21,29999","14,9","1,83069"
06/03/2011 10.00,"1,662394","22,907441","21,29999","14,9","1,960851"
06/03/2011 11.00,"1,633731","23,346112","21,29999","14,9","2,019379"
06/03/2011 12.00,"1,512","27,953554","21,29999","14,9","2,077596"
06/03/2011 13.00,"1,506039","23,518727","21,29999","14,9","1,876587"
06/03/2011 14.00,"1,293468","22,615403","21,29999","14,9","1,900257"
06/03/2011 15.00,"1,281938","21,539464","21,29999","14,9","1,830024"
06/03/2011 16.00,"1,118243","20,015772","21,29999","14,9","1,760979"
06/03/2011 17.00,"1,444452","22,25589","21,29999","14,9","1,971668"
06/03/2011 18.00,"1,112609","22,511581","21,29999","14,9","1,826402"
06/03/2011 19.00,"1,489529","27,908125","21,29999","14,9","1,724726"
06/03/2011 20.00,"1,806532","26,266329","21,29999","14,9","1,656346"
06/03/2011 21.00,"1,448023","42,302827","21,29999","14,9","2,391448"
06/03/2011 22.00,"1,414151","30,838723","21,29999","14,9","2,391818"
06/03/2011 23.00,"1,063636","30,405235","21,29999","14,9","1,528703"
07/03/2011 0.00,"1,281806","41,213925","21,29999","14,9","1,928733"
07/03/2011 1.00,,"42,685703","21,200001","11,6","2,360443"
07/03/2011 2.00,"0,821664",,"21,200001","11,6","2,257101"
07/03/2011 3.00,"1,287878","39,839693","21,200001","11,6","3,421716"
07/03/2011 4.00,"1,220442","9,576999","21,200001","11,6",
07/03/2011 5.00,"1,313911","6,407596","21,200001","11,6","1,225314"
07/03/2011 6.00,"0,935982","6,327127","21,200001","11,6","0,648982"
07/03/2011 7.00,"1,162739","10,685374","21,200001","11,6","0,618279"
07/03/2011 8.00,"0,947245","31,007459","21,200001","11,6","1,044696"
07/03/2011 9.00,"1,840938","33,277423","21,200001","11,6","1,130599"
07/03/2011 10.00,"1,809518","26,357167","21,200001","11,6","1,063682"
07/03/2011 11.00,"1,959306","25,834141","21,200001","11,6","1,047668"
07/03/2011 12.00,"2,54611","25,943162","21,200001","11,6","1,132676"
07/03/2011 13.00,"2,894003","23,97168","21,200001","11,6","1,187467"
07/03/2011 14.00,"3,03569","20,701051","21,200001","11,6","1,103706"
07/03/2011 15.00,"3,245354","20,617994","21,200001","11,6","0,891853"
07/03/2011 16.00,"2,692243","13,584828","21,200001","11,6","0,841725"
07/03/2011 17.00,"2,096942","19,652358","21,200001","11,6","1,023467"
07/03/2011 18.00,"2,198414","22,633567","21,200001","11,6","1,09162"
07/03/2011 19.00,"2,481491","33,076259","21,200001","11,6","1,1367"
07/03/2011 20.00,"2,863275","28,046993","21,200001","11,6","1,120574"
07/03/2011 21.00,"2,363024","27,217663","21,200001","11,6","1,20778"
07/03/2011 22.00,"2,524373","15,865182","21,200001","11,6","1,090212"
07/03/2011 23.00,"2,214619","10,059806","21,200001","11,6","0,795138"
08/03/2011 0.00,"2,730777","8,48419","21,200001","11,6","0,831188"
08/03/2011 1.00,"3,115623","5,953341","14,4",8,"0,755418"
08/03/2011 2.00,"3,028872","5,021466","14,4",8,"0,771646"
08/03/2011 3.00,"2,773856","3,195361","14,4",8,"0,675667"
08/03/2011 4.00,"2,739175","1,684638","14,4",8,"0,625646"
08/03/2011 5.00,"3,271537","1,45751","14,4",8,"0,589611"
08/03/2011 6.00,"3,564198","4,642489","14,4",8,"0,591292"
08/03/2011 7.00,"3,54424","14,057249","14,4",8,"0,734885"
08/03/2011 8.00,"3,74185","26,873732","14,4",8,"1,011695"
08/03/2011 9.00,"4,270359","29,9393","14,4",8,"1,389715"
08/03/2011 10.00,"3,999632","28,283222","14,4",8,"1,158561"
08/03/2011 11.00,"4,294072","23,021646","14,4",8,"1,09424"
08/03/2011 12.00,"3,671688","20,513656","14,4",8,"1,006823"
08/03/2011 13.00,"3,21018","18,437568","14,4",8,"0,977149"
08/03/2011 14.00,"2,831756","17,063119","14,4",8,"1,028128"
08/03/2011 15.00,"2,857346","13,012458","14,4",8,"0,727429"
08/03/2011 16.00,"3,095368","15,309697","14,4",8,"0,813789"
08/03/2011 17.00,"3,923849","20,232515","14,4",8,"0,86876"
08/03/2011 18.00,"3,346333","27,143689","14,4",8,"0,948527"
08/03/2011 19.00,"3,356015","44,601357","14,4",8,"1,378887"
08/03/2011 20.00,"4,157721","41,108801","14,4",8,"1,730186"
08/03/2011 21.00,"6,432216","48,433978","14,4",8,"2,548827"
08/03/2011 22.00,"5,62399","37,104844","14,4",8,"1,893261"
08/03/2011 23.00,"4,24467","22,096256","14,4",8,"1,60979"
09/03/2011 0.00,"3,476163","24,149497","14,4",8,"1,070799"
09/03/2011 1.00,,"28,506447","20,1","10,8","1,353246"
09/03/2011 2.00,"2,288177",,"20,1","10,8","1,133427"
09/03/2011 3.00,"3,860368","19,550716","20,1","10,8","0,787572"
09/03/2011 4.00,"3,481429","47,094566","20,1","10,8",
09/03/2011 5.00,"5,961297","40,518263","20,1","10,8","3,797006"
09/03/2011 6.00,"4,031573","10,237611","20,1","10,8","1,153156"
09/03/2011 7.00,"4,193368","53,173808","20,1","10,8","2,168676"
09/03/2011 8.00,"7,770941","63,711222","20,1","10,8","3,23174"
09/03/2011 9.00,"12,671473","67,959153","20,1","10,8","4,517461"
09/03/2011 10.00,"5,476077","39,130837","20,1","10,8","1,850922"
09/03/2011 11.00,"3,36648","35,943249","20,1","10,8","1,245656"
09/03/2011 12.00,"3,243156","31,4111","20,1","10,8","1,203638"
09/03/2011 13.00,"2,452058","35,411137","20,1","10,8","1,275814"
09/03/2011 14.00,"2,618322","33,403327","20,1","10,8","1,255949"
09/03/2011 15.00,"2,470366","24,490826","20,1","10,8","0,998479"
09/03/2011 16.00,"2,130653","19,627712","20,1","10,8","0,937611"
09/03/2011 17.00,"1,884864","28,81665","20,1","10,8","1,033409"
09/03/2011 18.00,"1,878706","50,727329","20,1","10,8","1,422739"
09/03/2011 19.00,"1,764056","64,264113","20,1","10,8","1,661841"
09/03/2011 20.00,"1,916316","68,105822","20,1","10,8","1,688241"
09/03/2011 21.00,"2,108901","69,825509","20,1","10,8","1,936625"
09/03/2011 22.00,"1,957833","51,637116","20,1","10,8","1,561199"
09/03/2011 23.00,"2,026927","45,337248","20,1","10,8","1,41062"
10/03/2011 0.00,"1,840467","33,159316","20,1","10,8","1,051183"
10/03/2011 1.00,"1,834111","36,640228",27,"17,6","1,046444"
10/03/2011 2.00,"2,21001","20,785408",27,"17,6","0,976163"
10/03/2011 3.00,"1,832488","14,049456",27,"17,6","0,986015"
10/03/2011 4.00,"2,048976","16,874929",27,"17,6","0,905683"
10/03/2011 5.00,"2,170083","19,475861",27,"17,6","1,004862"
10/03/2011 6.00,"1,967699","27,814685",27,"17,6","1,081821"
10/03/2011 7.00,"1,955316","63,89034",27,"17,6","1,70678"
10/03/2011 8.00,"2,294732","76,779513",27,"17,6","3,11433"
10/03/2011 9.00,"1,598452","85,501197",27,"17,6","4,200639"
10/03/2011 10.00,"1,64477","80,811996",27,"17,6","4,086236"
10/03/2011 11.00,"2,685464","47,194505",27,"17,6","2,5869"
10/03/2011 12.00,"1,782099","33,168419",27,"17,6","1,827414"
10/03/2011 13.00,"1,386301","28,292302",27,"17,6","1,560939"
10/03/2011 14.00,"1,315452","32,644071",27,"17,6","1,812685"
10/03/2011 15.00,"1,127932","30,599916",27,"17,6","1,400399"
10/03/2011 16.00,"1,057579","26,438944",27,"17,6","1,172669"
10/03/2011 17.00,"0,661981","41,513725",27,"17,6","1,136744"
10/03/2011 18.00,"0,554812","52,561221",27,"17,6","1,412358"
10/03/2011 19.00,"0,412881","74,653597",27,"17,6","1,737717"
10/03/2011 20.00,"0,781067","81,501178",27,"17,6","2,218233"
10/03/2011 21.00,"1,499694","75,907333",27,"17,6","1,991355"
10/03/2011 22.00,"1,565412","86,286415",27,"17,6","2,463387"
10/03/2011 23.00,"1,373753","66,101929",27,"17,6","2,072083"
11/03/2011 0.00,"1,054004","61,696928",27,"17,6","2,061692"
11/03/2011 1.00,,"40,840127","36,900002","26,700001","1,892305"
11/03/2011 2.00,"0,434984",,"36,900002","26,700001","1,623832"
11/03/2011 3.00,"0,462998","47,387314","36,900002","26,700001","1,598388"
11/03/2011 4.00,"0,765314","29,228073","36,900002","26,700001",
11/03/2011 5.00,"0,346201","32,084677","36,900002","26,700001","1,364575"
11/03/2011 6.00,"0,597172","47,451498","36,900002","26,700001","1,451676"
11/03/2011 7.00,"0,709762","87,228688","36,900002","26,700001","1,539012"
11/03/2011 8.00,"0,977101","101,706429","36,900002","26,700001","3,122512"
11/03/2011 9.00,"0,429528","85,942488","36,900002","26,700001","5,2952"
11/03/2011 10.00,"0,594518","54,792718","36,900002","26,700001","2,701073"
11/03/2011 11.00,"1,233528","49,974553","36,900002","26,700001","1,936108"
11/03/2011 12.00,"2,141686","45,480014","36,900002","26,700001","1,918713"
11/03/2011 13.00,"0,841696","38,331334","36,900002","26,700001","1,735565"
11/03/2011 14.00,"0,404728","36,263833","36,900002","26,700001","1,777815"
11/03/2011 15.00,"0,426552","22,655632","36,900002","26,700001","1,33734"
11/03/2011 16.00,"0,18798","27,88866","36,900002","26,700001","1,233766"
11/03/2011 17.00,"0,261387","37,212586","36,900002","26,700001","1,358244"
11/03/2011 18.00,"0,287675","52,508013","36,900002","26,700001","1,717763"
11/03/2011 19.00,"0,320906","66,588609","36,900002","26,700001","2,192354"
11/03/2011 20.00,"0,367529","81,619278","36,900002","26,700001","2,438304"
11/03/2011 21.00,"0,49847","107,169185","36,900002","26,700001","3,723854"
11/03/2011 22.00,"0,356121","83,10793","36,900002","26,700001","2,90837"
11/03/2011 23.00,"0,459287","96,805668","36,900002","26,700001","3,359921"
12/03/2011 0.00,"0,42308","67,878697","36,900002","26,700001","2,774568"
12/03/2011 1.00,"0,332314","57,561906","25,79999","17,9","1,947794"
12/03/2011 2.00,"0,284699","46,258734","25,79999","17,9","1,815698"
12/03/2011 3.00,"0,376457","51,136152","25,79999","17,9","2,068413"
12/03/2011 4.00,"0,50839","37,281359","25,79999","17,9","1,757348"
12/03/2011 5.00,"0,570885","22,702361","25,79999","17,9","1,603111"
12/03/2011 6.00,"0,644787","45,151648","25,79999","17,9","1,583055"
12/03/2011 7.00,"0,947342","49,743529","25,79999","17,9","1,733437"
12/03/2011 8.00,"0,670579","71,003974","25,79999","17,9","2,871619"
12/03/2011 9.00,"0,268331","52,005729","25,79999","17,9","2,619298"
12/03/2011 10.00,"0,068447","24,577785","25,79999","17,9","1,6228"
12/03/2011 11.00,"0,112094","19,732834","25,79999","17,9","1,158664"
12/03/2011 12.00,"0,065967","18,852884","25,79999","17,9","1,161347"
12/03/2011 13.00,"0,058031","19,558918","25,79999","17,9","1,026005"
12/03/2011 14.00,"0,026287","22,401259","25,79999","17,9","1,073523"
12/03/2011 15.00,"0,035711","11,138337","25,79999","17,9","0,692238"
12/03/2011 16.00,"0,06051","9,116253","25,79999","17,9","0,673179"
12/03/2011 17.00,"0,038688","12,620508","25,79999","17,9","0,721214"
12/03/2011 18.00,"0,044639","16,689335","25,79999","17,9","0,800901"
12/03/2011 19.00,"0,034223","25,664107","25,79999","17,9","0,958581"
12/03/2011 20.00,"0,047615","27,678417","25,79999","17,9","0,956064"
12/03/2011 21.00,"0,027775","26,069049","25,79999","17,9","0,978831"
12/03/2011 22.00,"0,022815","16,460904","25,79999","17,9","0,842676"
12/03/2011 23.00,"0,043151","11,549757","25,79999","17,9","0,661683"
13/03/2011 0.00,"0,049103","10,327165","25,79999","17,9","0,57216"
13/03/2011 1.00,,"16,040402","23,29999","10,4","0,613846"
13/03/2011 2.00,"0,292929",,"23,29999","10,4","0,510839"
13/03/2011 3.00,"0,341584","13,534751","23,29999","10,4","0,499238"
13/03/2011 4.00,"0,304796","9,827489","23,29999","10,4",
13/03/2011 5.00,"0,386352","5,429","23,29999","10,4","0,521998"
13/03/2011 6.00,"0,438635","4,802128","23,29999","10,4","0,466911"
13/03/2011 7.00,"0,365749","4,467275","23,29999","10,4","0,463711"
13/03/2011 8.00,"0,443777","5,509468","23,29999","10,4","0,473715"
13/03/2011 9.00,"0,173133","6,550361","23,29999","10,4","0,596514"
13/03/2011 10.00,"0,130608","8,974786","23,29999","10,4","0,672523"
13/03/2011 11.00,"0,117191","8,463424","23,29999","10,4","0,710027"
13/03/2011 12.00,"0,143498","10,952743","23,29999","10,4","0,743603"
13/03/2011 13.00,"0,279643","13,980674","23,29999","10,4","0,749074"
13/03/2011 14.00,"0,200197","9,739232","23,29999","10,4","0,674587"
13/03/2011 15.00,"0,240844","6,005253","23,29999","10,4","0,630391"
13/03/2011 16.00,"0,244997","5,229127","23,29999","10,4","0,59945"
13/03/2011 17.00,"0,293258","7,30053","23,29999","10,4","0,55242"
13/03/2011 18.00,"0,087654","11,653592","23,29999","10,4","0,667449"
13/03/2011 19.00,"0,206527","12,912519","23,29999","10,4","0,781582"
13/03/2011 20.00,"0,269557","13,567953","23,29999","10,4","0,671216"
13/03/2011 21.00,"0,181671","17,107244","23,29999","10,4","0,838448"
13/03/2011 22.00,"0,089006","12,687997","23,29999","10,4","0,633268"
13/03/2011 23.00,"0,157014","11,01893","23,29999","10,4","0,613536"
14/03/2011 0.00,"0,187572","6,88651","23,29999","10,4","0,565586"
14/03/2011 1.00,"0,178968","4,260913","36,200001","12,7","0,48033"
14/03/2011 2.00,"0,17521","4,377723","36,200001","12,7","0,535819"
14/03/2011 3.00,"0,143827","1,249851","36,200001","12,7","0,447037"
14/03/2011 4.00,"0,169705","0,706042","36,200001","12,7","0,378422"
14/03/2011 5.00,"0,207022","0,986384","36,200001","12,7","0,404905"
14/03/2011 6.00,"0,255414","2,715149","36,200001","12,7","0,468323"
14/03/2011 7.00,"0,189879","7,430317","36,200001","12,7","0,578494"
14/03/2011 8.00,"0,131004","18,782801","36,200001","12,7","0,862979"
14/03/2011 9.00,"0,212659","27,540829","36,200001","12,7","1,388383"
14/03/2011 10.00,"0,093687","18,28961","36,200001","12,7","1,045135"
14/03/2011 11.00,"0,048656","14,575097","36,200001","12,7","0,824106"
14/03/2011 12.00,"0,031087","14,742525","36,200001","12,7","0,907713"
14/03/2011 13.00,"0,115411","17,617311","36,200001","12,7","0,789959"
14/03/2011 14.00,"0,03036","16,629635","36,200001","12,7","0,93745"
14/03/2011 15.00,"0,03379","11,043588","36,200001","12,7","0,715758"
14/03/2011 16.00,"0,358694","14,135125","36,200001","12,7","0,709612"
14/03/2011 17.00,"0,239394","15,609503","36,200001","12,7","0,764791"
14/03/2011 18.00,"0,387901","26,669952","36,200001","12,7","0,986944"
14/03/2011 19.00,"0,350849","31,342306","36,200001","12,7","1,334925"
14/03/2011 20.00,"0,362518","33,805669","36,200001","12,7","1,217685"
14/03/2011 21.00,"0,210779","32,322185","36,200001","12,7","1,200358"
14/03/2011 22.00,"0,187802","20,246798","36,200001","12,7","0,97996"
14/03/2011 23.00,"0,364166","10,85021","36,200001","12,7","0,683672"
15/03/2011 0.00,"0,294083","6,829402","36,200001","12,7","0,597325"
15/03/2011 1.00,,"6,750234","32,799992","11,1","0,562479"
15/03/2011 2.00,"0,849302",,"32,799992","11,1","0,513451"
15/03/2011 3.00,"0,904441","5,829984","32,799992","11,1","0,461542"
15/03/2011 4.00,"1,204717","2,643764","32,799992","11,1",
15/03/2011 5.00,"0,768856","2,011701","32,799992","11,1",
15/03/2011 6.00,"0,636977","3,418595","32,799992","11,1","0,489079"
15/03/2011 7.00,"0,825564","11,000765","32,799992","11,1","0,568693"
15/03/2011 8.00,"1,381435","24,219589","32,799992","11,1","1,028421"
15/03/2011 9.00,"1,043164","32,73103","32,799992","11,1","1,296893"
15/03/2011 10.00,"0,628797","21,298495","32,799992","11,1","1,220182"
15/03/2011 11.00,"0,660055","15,370698","32,799992","11,1","0,835885"
15/03/2011 12.00,"0,602028","14,437523","32,799992","11,1","0,82222"
15/03/2011 13.00,"0,346843","16,926847","32,799992","11,1","0,86827"
15/03/2011 14.00,"0,534111","17,199402","32,799992","11,1","1,001151"
15/03/2011 15.00,"0,801166","11,932637","32,799992","11,1","0,710896"
15/03/2011 16.00,"0,879635","13,226606","32,799992","11,1","0,821382"
15/03/2011 17.00,"0,799847","23,653715","32,799992","11,1","0,871782"
15/03/2011 18.00,"1,128886","28,81535","32,799992","11,1","1,042363"
15/03/2011 19.00,"1,045142","29,274784","32,799992","11,1","1,194372"
15/03/2011 20.00,"1,283184","26,51552","32,799992","11,1","1,105631"
15/03/2011 21.00,"1,113061","18,519332","32,799992","11,1","0,850235"
15/03/2011 22.00,"1,105807","11,461509","32,799992","11,1","0,746671"
15/03/2011 23.00,"1,139437","8,053298","32,799992","11,1","0,595939"
16/03/2011 0.00,"0,970631","8,702232","32,799992","11,1","0,590317"
16/03/2011 1.00,"1,040527","3,867659","48,299992","11,8","0,568669"
16/03/2011 2.00,"0,967334","2,610021","48,299992","11,8","0,528521"
16/03/2011 3.00,"0,995029","1,426362","48,299992","11,8","0,519251"
16/03/2011 4.00,"1,05899","1,404297","48,299992","11,8","0,504216"
16/03/2011 5.00,"1,224498","2,241424","48,299992","11,8","0,506946"
16/03/2011 6.00,"1,151306","3,205743","48,299992","11,8","0,505388"
16/03/2011 7.00,"1,085366","8,13636","48,299992","11,8","0,605527"
16/03/2011 8.00,"0,995029","24,048256","48,299992","11,8","0,731135"
16/03/2011 9.00,"1,007557","32,037968","48,299992","11,8","1,317269"
16/03/2011 10.00,"0,946233","22,969715","48,299992","11,8","1,181808"
16/03/2011 11.00,"0,954805","26,937326","48,299992","11,8","1,015761"
16/03/2011 12.00,"1,032614","22,667333","48,299992","11,8","1,107735"
16/03/2011 13.00,"1,17966","20,092346","48,299992","11,8","0,936693"
16/03/2011 14.00,"0,910626","21,590093","48,299992","11,8","1,05777"
16/03/2011 15.00,"0,995688","15,99887","48,299992","11,8","0,619337"
16/03/2011 16.00,"0,923154","13,669184","48,299992","11,8","0,673724"
16/03/2011 17.00,"0,999645","14,63869","48,299992","11,8","0,719809"
16/03/2011 18.00,"0,992392","13,570548","48,299992","11,8","0,660293"
16/03/2011 19.00,"0,979862","18,954111","48,299992","11,8","0,798377"
16/03/2011 20.00,"0,810397","16,436249","48,299992","11,8","0,74914"
16/03/2011 21.00,"1,054375","16,8282","48,299992","11,8","0,738753"
16/03/2011 22.00,"0,844027","8,799572","48,299992","11,8","0,524975"
16/03/2011 23.00,"0,832158","5,841722","48,299992","11,8","0,430173"
17/03/2011 0.00,"0,964037","3,447148","48,299992","11,8","0,37917"
17/03/2011 1.00,,"3,423786","33,5","10,3","0,360962"
17/03/2011 2.00,"0,829994",,"33,5","10,3","0,404769"
17/03/2011 3.00,"0,718315","9,650506","33,5","10,3","0,374923"
17/03/2011 4.00,"0,95452","4,436126","33,5","10,3",
17/03/2011 5.00,"0,7852","3,229106","33,5","10,3","0,397824"
17/03/2011 6.00,"0,881107","3,001978","33,5","10,3","0,307657"
17/03/2011 7.00,"0,682613","8,687956","33,5","10,3","0,339735"
17/03/2011 8.00,"0,590177","11,056566","33,5","10,3","0,458107"
17/03/2011 9.00,"0,44535","9,386213","33,5","10,3","0,51617"
17/03/2011 10.00,"0,315914","11,8275","33,5","10,3","0,525227"
17/03/2011 11.00,"0,398985","14,919037","33,5","10,3","0,670677"
17/03/2011 12.00,"0,201015","15,906712","33,5","10,3","0,818119"
17/03/2011 13.00,"0,318894","13,148739","33,5","10,3","0,381954"
17/03/2011 14.00,"0,433301","13,51344","33,5","10,3","0,076395"
17/03/2011 15.00,"0,336149","9,096785","33,5","10,3","0,108174"
17/03/2011 16.00,"0,643386","8,985169","33,5","10,3",
17/03/2011 17.00,"0,750492","10,010488","33,5","10,3","0,281276"
17/03/2011 18.00,"0,905337","14,46348","33,5","10,3","0,341762"
17/03/2011 19.00,"1,411199","26,815321","33,5","10,3","0,063552"
17/03/2011 20.00,"1,357827","31,426665","33,5","10,3","0,637143"
17/03/2011 21.00,"1,302228","35,351427","33,5","10,3",
17/03/2011 22.00,"1,617879","47,581264","33,5","10,3",
17/03/2011 23.00,"1,563197","45,622785","33,5","10,3",
18/03/2011 0.00,"1,631959","28,392243","33,5","10,3",
18/03/2011 1.00,"1,619091","18,990458","18,29999","8,4",
18/03/2011 2.00,"1,511691","9,674339","18,29999","8,4",
18/03/2011 3.00,"1,707042","8,970891","18,29999","8,4",
18/03/2011 4.00,"1,633466","8,717808","18,29999","8,4",
18/03/2011 5.00,"1,404912","7,541935","18,29999","8,4",
18/03/2011 6.00,"1,111297","11,467996","18,29999","8,4",
18/03/2011 7.00,"1,060741","21,038482","18,29999","8,4",
18/03/2011 8.00,"1,329405","70,445897","18,29999","8,4","1,044863"
18/03/2011 9.00,"1,254782","72,14999","18,29999","8,4","2,101353"
18/03/2011 10.00,"0,827605","52,736879","18,29999","8,4","1,700399"
18/03/2011 11.00,"0,819582","38,339135","18,29999","8,4","1,448397"
18/03/2011 12.00,"1,151441","33,574641","18,29999","8,4","1,325014"
18/03/2011 13.00,"1,235528","51,363278","18,29999","8,4","1,455979"
18/03/2011 14.00,"1,262935","38,837517","18,29999","8,4","1,532466"
18/03/2011 15.00,"1,278063","32,98282","18,29999","8,4","1,244675"
18/03/2011 16.00,"1,483302","45,368392","18,29999","8,4","1,270104"
18/03/2011 17.00,"1,610906","65,081781","18,29999","8,4","2,274873"
18/03/2011 18.00,"1,076589","68,770337","18,29999","8,4","1,787804"
18/03/2011 19.00,"1,161134","72,978037","18,29999","8,4","2,594193"
18/03/2011 20.00,"1,610905","76,534204","18,29999","8,4","2,249962"
18/03/2011 21.00,"1,446301","76,883332","18,29999","8,4","2,529024"
18/03/2011 22.00,"1,545057","47,012808","18,29999","8,4","1,4371"
18/03/2011 23.00,"1,620532","47,191926","18,29999","8,4","1,165691"
19/03/2011 0.00,"1,309431","41,027024","18,29999","8,4","1,517648"
19/03/2011 1.00,,"33,165818","15,9","9,4","1,196458"
19/03/2011 2.00,"0,590102",,"15,9","9,4","1,14506"
19/03/2011 3.00,"0,505325","36,78403","15,9","9,4","1,523685"
19/03/2011 4.00,"0,624421","29,247538","15,9","9,4",
19/03/2011 5.00,"0,713493","26,431143","15,9","9,4","1,24416"
19/03/2011 6.00,"0,669677","15,944358","15,9","9,4","1,305156"
19/03/2011 7.00,"0,663259","10,677594","15,9","9,4","0,84081"
19/03/2011 8.00,"0,636865","24,106668","15,9","9,4","1,621279"
19/03/2011 9.00,"0,478631","50,831148","15,9","9,4","2,782926"
19/03/2011 10.00,"0,324065","35,150263","15,9","9,4","1,822758"
19/03/2011 11.00,"0,202115","27,134586","15,9","9,4","2,617331"
19/03/2011 12.00,"0,256213","22,306519","15,9","9,4","1,835731"
19/03/2011 13.00,"0,188688","21,286391","15,9","9,4","1,816232"
19/03/2011 14.00,"0,13315","20,856783","15,9","9,4","1,64731"
19/03/2011 15.00,"0,245865","11,931335","15,9","9,4","1,245567"
19/03/2011 16.00,"0,227199","13,065676","15,9","9,4","1,089199"
19/03/2011 17.00,"0,16629","17,679605","15,9","9,4","1,175498"
19/03/2011 18.00,"0,163015","24,681625","15,9","9,4","1,389021"
19/03/2011 19.00,"0,176703","32,876379","15,9","9,4","1,667944"
19/03/2011 20.00,"0,376264","32,812789","15,9","9,4","1,923511"
19/03/2011 21.00,"0,493957","40,641548","15,9","9,4","2,230167"
19/03/2011 22.00,"0,269181","43,059483","15,9","9,4","2,579088"
19/03/2011 23.00,"0,56803","54,607961","15,9","9,4","2,862081"
20/03/2011 0.00,"0,510068","47,237337","15,9","9,4","2,805651"
20/03/2011 1.00,"0,735498","42,402766","18,5","8,7","2,7881"
20/03/2011 2.00,"0,788156","42,440394","18,5","8,7","2,80973"
20/03/2011 3.00,"0,947896","45,077676","18,5","8,7","2,914955"
20/03/2011 4.00,"0,774599","30,664808","18,5","8,7","2,137565"
20/03/2011 5.00,"0,685265","29,163181","18,5","8,7","2,135616"
20/03/2011 6.00,"0,805904","23,063175","18,5","8,7","2,45038"
20/03/2011 7.00,"0,880765","32,990584","18,5","8,7","2,692422"
20/03/2011 8.00,"0,917703","37,550015","18,5","8,7","2,554854"
20/03/2011 9.00,"1,100039","27,421425","18,5","8,7","2,197449"
20/03/2011 10.00,"0,364802","12,815186","18,5","8,7","1,549151"
20/03/2011 11.00,"0,663718","11,185058","18,5","8,7","1,467129"
